transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
comp1000350_c0_seq1|m.22503 comp1000350_c0_seq1|g.22503  ,mlei1,_,3,-,-,-,N,-,108,-,-
comp1004656_c0_seq1|m.22510 comp1004656_c0_seq1|g.22510  ,mlei26,_,3,-,-,-,N,-,103,-,-
comp1004841_c0_seq1|m.22512 comp1004841_c0_seq1|g.22512  ,mlei27,_,1,-,-,-,N,-,202,-,-
comp1004895_c0_seq1|m.22514 comp1004895_c0_seq1|g.22514  ,mlei28,S,5,-,-,-,N,-,121,-,-
comp10049_c0_seq1|m.3606 comp10049_c0_seq1|g.3606  ,mlei29,_,4,-,-,-,N,-,185,-,-
comp1005017_c0_seq1|m.22515 comp1005017_c0_seq1|g.22515  ,mlei30,_,4,-,-,-,N,-,127,-,-
comp1005315_c0_seq1|m.22516 comp1005315_c0_seq1|g.22516  ,mlei31,_,2,-,-,-,N,-,191,-,-
comp1005398_c0_seq1|m.22517 comp1005398_c0_seq1|g.22517  ,mlei32,_,2,-,-,-,N,-,134,-,-
comp10053_c0_seq1|m.3608 comp10053_c0_seq1|g.3608  ,mlei33,_,2,-,-,-,N,-,437,-,-
comp1005470_c0_seq1|m.22518 comp1005470_c0_seq1|g.22518  ,mlei34,_,1,-,-,-,N,-,101,-,-
comp1005619_c0_seq1|m.22519 comp1005619_c0_seq1|g.22519  ,mlei35,_,3,-,-,-,N,-,122,-,-
comp1005867_c0_seq1|m.22520 comp1005867_c0_seq1|g.22520  ,mlei36,M,5,-,-,-,N,-,223,-,-
comp1005_c0_seq1|m.254 comp1005_c0_seq1|g.254  ,mlei37,_,3,-,-,-,N,-,265,-,-
comp1006052_c0_seq1|m.22521 comp1006052_c0_seq1|g.22521  ,mlei38,_,1,-,-,-,N,-,115,-,-
comp10060_c0_seq1|m.3610 comp10060_c0_seq1|g.3610  ,mlei39,S,2,-,-,-,N,-,256,-,-
comp1006150_c0_seq1|m.22523 comp1006150_c0_seq1|g.22523  ,mlei40,_,4,-,-,-,N,-,161,-,-
comp1006317_c0_seq1|m.22525 comp1006317_c0_seq1|g.22525  ,mlei41,_,3,-,-,-,N,-,140,-,-
comp1006359_c0_seq1|m.22526 comp1006359_c0_seq1|g.22526  ,mlei42,_,4,-,-,-,N,-,108,-,-
comp10063_c0_seq1|m.3611 comp10063_c0_seq1|g.3611  ,mlei43,_,2,-,-,-,N,-,556,-,-
comp1006458_c0_seq1|m.22528 comp1006458_c0_seq1|g.22528  ,mlei44,_,4,-,-,-,N,-,170,-,-
comp1006460_c0_seq1|m.22529 comp1006460_c0_seq1|g.22529  ,mlei45,_,1,-,-,-,N,-,113,-,-
comp1006535_c0_seq1|m.22530 comp1006535_c0_seq1|g.22530  ,mlei46,_,2,-,-,-,N,-,159,-,-
comp1006560_c0_seq1|m.22531 comp1006560_c0_seq1|g.22531  ,mlei47,_,1,-,-,-,N,-,109,-,-
comp100658_c0_seq1|m.17713 comp100658_c0_seq1|g.17713  ,mlei48,_,1,-,-,-,N,-,566,-,-
comp10065_c0_seq1|m.3613 comp10065_c0_seq1|g.3613  ,mlei49,_,2,-,-,-,N,-,107,-,-
comp10067_c0_seq1|m.3615 comp10067_c0_seq1|g.3615  ,mlei50,_,2,-,-,-,N,-,148,-,-
comp1006810_c0_seq1|m.22532 comp1006810_c0_seq1|g.22532  ,mlei51,_,2,-,-,-,N,-,299,-,-
comp1006890_c0_seq1|m.22533 comp1006890_c0_seq1|g.22533  ,mlei52,_,1,-,-,-,N,-,116,-,-
comp1006923_c0_seq1|m.22534 comp1006923_c0_seq1|g.22534  ,mlei53,_,1,-,-,-,N,-,151,-,-
comp1006959_c0_seq1|m.22535 comp1006959_c0_seq1|g.22535  ,mlei54,_,2,-,-,-,N,-,101,-,-
comp1006_c0_seq1|m.255 comp1006_c0_seq1|g.255  ,mlei55,_,1,-,-,-,N,-,105,-,-
comp1007050_c0_seq1|m.22536 comp1007050_c0_seq1|g.22536  ,mlei56,_,2,-,-,-,N,-,284,-,-
comp1007148_c0_seq1|m.22538 comp1007148_c0_seq1|g.22538  ,mlei57,S,3,-,-,-,N,-,118,-,-
comp1007375_c0_seq1|m.22539 comp1007375_c0_seq1|g.22539  ,mlei58,_,2,-,-,-,N,-,152,-,-
comp1007412_c0_seq1|m.22540 comp1007412_c0_seq1|g.22540  ,mlei59,_,1,-,-,-,N,-,101,-,-
comp10075_c0_seq1|m.3616 comp10075_c0_seq1|g.3616  ,mlei60,_,2,-,-,-,N,-,237,-,-
comp10076_c0_seq1|m.3617 comp10076_c0_seq1|g.3617  ,mlei61,_,4,-,-,-,N,-,138,-,-
comp10076_c0_seq2|m.3618 comp10076_c0_seq2|g.3618  ,mlei62,_,4,-,-,-,N,-,138,-,-
comp1007726_c0_seq1|m.22541 comp1007726_c0_seq1|g.22541  ,mlei63,_,1,-,-,-,N,-,99,-,-
comp1007929_c0_seq1|m.22542 comp1007929_c0_seq1|g.22542  ,mlei64,_,4,-,-,-,N,-,112,-,-
comp100810_c0_seq1|m.17714 comp100810_c0_seq1|g.17714  ,mlei65,M,5,-,-,-,N,-,452,-,-
comp1008245_c0_seq1|m.22543 comp1008245_c0_seq1|g.22543  ,mlei66,_,3,-,-,-,N,-,167,-,-
comp1008453_c0_seq1|m.22544 comp1008453_c0_seq1|g.22544  ,mlei67,M,5,-,-,-,N,-,162,-,-
comp1008850_c0_seq1|m.22545 comp1008850_c0_seq1|g.22545  ,mlei68,S,1,-,-,-,N,-,111,-,-
comp10088_c0_seq1|m.3619 comp10088_c0_seq1|g.3619  ,mlei69,_,3,-,-,-,N,-,561,-,-
comp1008915_c0_seq1|m.22546 comp1008915_c0_seq1|g.22546  ,mlei70,_,5,-,-,-,N,-,135,-,-
comp1009172_c0_seq1|m.22547 comp1009172_c0_seq1|g.22547  ,mlei71,S,3,-,-,-,N,-,109,-,-
comp1009345_c0_seq1|m.22548 comp1009345_c0_seq1|g.22548  ,mlei72,_,2,-,-,-,N,-,116,-,-
comp1009442_c0_seq1|m.22549 comp1009442_c0_seq1|g.22549  ,mlei73,_,1,-,-,-,N,-,222,-,-
comp1009486_c0_seq1|m.22551 comp1009486_c0_seq1|g.22551  ,mlei74,_,1,-,-,-,N,-,105,-,-
comp10098_c0_seq1|m.3620 comp10098_c0_seq1|g.3620  ,mlei75,M,2,hsap2252,mmus971,-,Y,NIPSNAP1,269,Nipsnap1,-
comp1009943_c0_seq1|m.22553 comp1009943_c0_seq1|g.22553  ,mlei76,_,1,-,-,-,N,-,145,-,-
comp1010024_c0_seq1|m.22554 comp1010024_c0_seq1|g.22554  ,mlei77,M,3,-,-,-,Y,-,124,-,-
comp10100_c0_seq1|m.3621 comp10100_c0_seq1|g.3621  ,mlei78,_,4,-,-,-,N,-,340,-,-
comp1010176_c0_seq1|m.22556 comp1010176_c0_seq1|g.22556  ,mlei79,_,1,-,-,-,N,-,316,-,-
comp101017_c0_seq1|m.17715 comp101017_c0_seq1|g.17715  ,mlei80,_,1,-,-,-,N,-,540,-,-
comp10101_c0_seq1|m.3622 comp10101_c0_seq1|g.3622  ,mlei81,M,4,-,-,-,N,-,423,-,-
comp1010208_c0_seq1|m.22559 comp1010208_c0_seq1|g.22559  ,mlei82,_,3,-,-,-,N,-,164,-,-
comp1010337_c0_seq1|m.22560 comp1010337_c0_seq1|g.22560  ,mlei83,_,4,-,-,-,N,-,126,-,-
comp1010376_c0_seq1|m.22561 comp1010376_c0_seq1|g.22561  ,mlei84,_,2,-,-,-,N,-,156,-,-
comp1010506_c0_seq1|m.22562 comp1010506_c0_seq1|g.22562  ,mlei85,_,2,-,-,-,N,-,119,-,-
comp1010510_c0_seq1|m.22563 comp1010510_c0_seq1|g.22563  ,mlei86,_,2,-,-,-,N,-,151,-,-
comp1010582_c0_seq1|m.22564 comp1010582_c0_seq1|g.22564  ,mlei87,S,1,-,-,-,N,-,159,-,-
comp1010588_c0_seq1|m.22565 comp1010588_c0_seq1|g.22565  ,mlei88,_,2,-,-,-,N,-,227,-,-
comp1010640_c0_seq1|m.22567 comp1010640_c0_seq1|g.22567  ,mlei89,_,1,-,-,-,N,-,111,-,-
comp1010739_c0_seq1|m.22568 comp1010739_c0_seq1|g.22568  ,mlei90,_,1,-,-,-,N,-,165,-,-
comp10107_c0_seq1|m.3624 comp10107_c0_seq1|g.3624  ,mlei91,_,2,-,-,-,N,-,494,-,-
comp1010808_c0_seq1|m.22570 comp1010808_c0_seq1|g.22570  ,mlei92,_,3,-,-,-,N,-,140,-,-
comp10108_c0_seq1|m.3625 comp10108_c0_seq1|g.3625  ,mlei93,S,3,-,-,-,N,-,213,-,-
comp1010976_c0_seq1|m.22571 comp1010976_c0_seq1|g.22571  ,mlei94,_,1,-,-,-,N,-,125,-,-
comp10109_c0_seq1|m.3626 comp10109_c0_seq1|g.3626  ,mlei95,M,4,-,-,-,N,-,550,-,-
comp101132_c0_seq1|m.17716 comp101132_c0_seq1|g.17716  ,mlei96,_,1,-,-,-,N,-,123,-,-
comp10113_c0_seq1|m.3627 comp10113_c0_seq1|g.3627  ,mlei97,_,4,-,-,-,N,-,165,-,-
comp1011410_c0_seq1|m.22572 comp1011410_c0_seq1|g.22572  ,mlei98,_,1,-,-,-,N,-,159,-,-
comp1011459_c0_seq1|m.22574 comp1011459_c0_seq1|g.22574  ,mlei99,_,1,-,-,-,N,-,105,-,-
comp1011735_c0_seq1|m.22575 comp1011735_c0_seq1|g.22575  ,mlei100,_,5,-,-,-,N,-,118,-,-
comp1011754_c0_seq1|m.22576 comp1011754_c0_seq1|g.22576  ,mlei101,_,3,-,-,-,N,-,99,-,-
comp1011893_c0_seq1|m.22577 comp1011893_c0_seq1|g.22577  ,mlei102,_,3,-,-,-,N,-,120,-,-
comp10119_c0_seq1|m.3630 comp10119_c0_seq1|g.3630  ,mlei103,_,2,-,-,-,N,-,358,-,-
comp1012326_c0_seq1|m.22578 comp1012326_c0_seq1|g.22578  ,mlei104,M,5,-,-,-,N,-,117,-,-
comp1012576_c0_seq1|m.22579 comp1012576_c0_seq1|g.22579  ,mlei105,_,1,-,-,-,N,-,152,-,-
comp1012591_c0_seq1|m.22580 comp1012591_c0_seq1|g.22580  ,mlei106,_,2,-,-,-,N,-,107,-,-
comp10125_c0_seq1|m.3631 comp10125_c0_seq1|g.3631  ,mlei107,_,3,-,-,-,N,-,475,-,-
comp1012618_c0_seq1|m.22581 comp1012618_c0_seq1|g.22581  ,mlei108,_,5,-,-,-,N,-,106,-,-
comp1012657_c0_seq1|m.22582 comp1012657_c0_seq1|g.22582  ,mlei109,_,1,-,-,-,N,-,119,-,-
comp1012696_c0_seq1|m.22583 comp1012696_c0_seq1|g.22583  ,mlei110,S,1,-,-,-,N,-,151,-,-
comp1012709_c0_seq1|m.22584 comp1012709_c0_seq1|g.22584  ,mlei111,_,2,-,-,-,N,-,125,-,-
comp1012785_c0_seq1|m.22585 comp1012785_c0_seq1|g.22585  ,mlei112,_,1,-,-,-,N,-,159,-,-
comp10127_c0_seq1|m.3633 comp10127_c0_seq1|g.3633  ,mlei113,_,3,-,-,-,N,-,220,-,-
comp101294_c0_seq1|m.17717 comp101294_c0_seq1|g.17717  ,mlei114,_,4,-,-,-,N,-,168,-,-
comp1013140_c0_seq1|m.22588 comp1013140_c0_seq1|g.22588  ,mlei115,_,3,-,-,-,N,-,125,-,-
comp1013338_c0_seq1|m.22589 comp1013338_c0_seq1|g.22589  ,mlei116,_,2,-,-,-,N,-,177,-,-
comp101353_c0_seq1|m.17718 comp101353_c0_seq1|g.17718  ,mlei117,_,1,-,-,-,N,-,113,-,-
comp1013568_c0_seq1|m.22590 comp1013568_c0_seq1|g.22590  ,mlei118,_,1,-,-,-,N,-,128,-,-
comp10135_c0_seq1|m.3634 comp10135_c0_seq1|g.3634  ,mlei119,_,4,-,-,-,N,-,648,-,-
comp1014065_c0_seq1|m.22591 comp1014065_c0_seq1|g.22591  ,mlei120,_,2,-,-,-,N,-,130,-,-
comp10140_c0_seq1|m.3636 comp10140_c0_seq1|g.3636  ,mlei121,M,4,hsap799,mmus1395,scer604,Y,HSD17B8,259,H2-Ke6,OAR1
comp1014198_c0_seq1|m.22592 comp1014198_c0_seq1|g.22592  ,mlei122,_,2,-,-,-,N,-,120,-,-
comp1014482_c0_seq1|m.22593 comp1014482_c0_seq1|g.22593  ,mlei123,S,1,-,-,-,N,-,106,-,-
comp1014626_c0_seq1|m.22594 comp1014626_c0_seq1|g.22594  ,mlei124,_,2,-,-,-,N,-,109,-,-
comp1014677_c0_seq1|m.22595 comp1014677_c0_seq1|g.22595  ,mlei125,_,3,-,-,-,N,-,217,-,-
comp1014856_c0_seq1|m.22596 comp1014856_c0_seq1|g.22596  ,mlei126,_,2,-,-,-,N,-,126,-,-
comp1014917_c0_seq1|m.22597 comp1014917_c0_seq1|g.22597  ,mlei127,_,3,-,-,-,N,-,149,-,-
comp1015097_c0_seq1|m.22598 comp1015097_c0_seq1|g.22598  ,mlei128,_,2,-,-,-,N,-,107,-,-
comp10151_c0_seq1|m.3637 comp10151_c0_seq1|g.3637  ,mlei129,_,3,-,-,-,N,-,106,-,-
comp10153_c0_seq1|m.3639 comp10153_c0_seq1|g.3639  ,mlei130,_,3,hsap2292,mmus1292,scer849,Y,SAMM50,436,Samm50,SAM50
comp10157_c0_seq1|m.3640 comp10157_c0_seq1|g.3640  ,mlei131,_,2,-,-,scer293,Y,-,319,-,ILV1
comp10158_c0_seq1|m.3642 comp10158_c0_seq1|g.3642  ,mlei132,_,2,-,-,-,N,-,661,-,-
comp1015926_c0_seq1|m.22600 comp1015926_c0_seq1|g.22600  ,mlei133,_,1,-,-,-,N,-,102,-,-
comp101645_c0_seq1|m.17719 comp101645_c0_seq1|g.17719  ,mlei134,_,1,-,-,-,N,-,492,-,-
comp10165_c0_seq1|m.3644 comp10165_c0_seq1|g.3644  ,mlei135,_,3,-,-,-,N,-,128,-,-
comp1016801_c0_seq1|m.22601 comp1016801_c0_seq1|g.22601  ,mlei136,_,2,-,-,-,N,-,171,-,-
comp1016960_c0_seq1|m.22602 comp1016960_c0_seq1|g.22602  ,mlei137,M,5,-,-,-,N,-,109,-,-
comp1016983_c0_seq1|m.22603 comp1016983_c0_seq1|g.22603  ,mlei138,_,3,-,-,-,N,-,136,-,-
comp10169_c0_seq1|m.3645 comp10169_c0_seq1|g.3645  ,mlei139,_,2,-,-,-,N,-,221,-,-
comp1016_c0_seq1|m.256 comp1016_c0_seq1|g.256  ,mlei140,_,2,-,-,-,N,-,271,-,-
comp10172_c0_seq1|m.3646 comp10172_c0_seq1|g.3646  ,mlei141,_,5,-,-,-,N,-,201,-,-
comp1017421_c0_seq1|m.22605 comp1017421_c0_seq1|g.22605  ,mlei142,_,3,-,-,-,N,-,136,-,-
comp1017486_c0_seq1|m.22606 comp1017486_c0_seq1|g.22606  ,mlei143,_,1,-,-,-,N,-,127,-,-
comp10175_c0_seq1|m.3647 comp10175_c0_seq1|g.3647  ,mlei144,_,5,-,-,-,N,-,330,-,-
comp1017707_c0_seq1|m.22607 comp1017707_c0_seq1|g.22607  ,mlei145,_,4,-,-,-,N,-,103,-,-
comp1017935_c0_seq1|m.22608 comp1017935_c0_seq1|g.22608  ,mlei146,_,1,-,-,-,N,-,130,-,-
comp1017_c0_seq1|m.257 comp1017_c0_seq1|g.257  ,mlei147,S,2,-,-,-,N,-,288,-,-
comp1018040_c0_seq1|m.22609 comp1018040_c0_seq1|g.22609  ,mlei148,_,1,-,-,-,N,-,129,-,-
comp1018238_c0_seq1|m.22610 comp1018238_c0_seq1|g.22610  ,mlei149,_,4,-,-,-,N,-,116,-,-
comp1018408_c0_seq1|m.22611 comp1018408_c0_seq1|g.22611  ,mlei150,_,1,-,-,-,N,-,124,-,-
comp1018452_c0_seq1|m.22612 comp1018452_c0_seq1|g.22612  ,mlei151,_,1,-,-,-,N,-,119,-,-
comp1018502_c0_seq1|m.22613 comp1018502_c0_seq1|g.22613  ,mlei152,_,2,-,-,-,N,-,99,-,-
comp10186_c0_seq1|m.3651 comp10186_c0_seq1|g.3651  ,mlei153,S,1,-,-,-,N,-,145,-,-
comp101871_c0_seq1|m.17720 comp101871_c0_seq1|g.17720  ,mlei154,_,2,-,-,-,N,-,184,-,-
comp101879_c0_seq1|m.17721 comp101879_c0_seq1|g.17721  ,mlei155,_,2,-,-,-,N,-,201,-,-
comp1018990_c0_seq1|m.22614 comp1018990_c0_seq1|g.22614  ,mlei156,_,2,-,-,-,N,-,146,-,-
comp1019241_c0_seq1|m.22615 comp1019241_c0_seq1|g.22615  ,mlei157,_,1,-,-,-,N,-,119,-,-
comp10192_c0_seq1|m.3652 comp10192_c0_seq1|g.3652  ,mlei158,S,3,-,-,-,N,-,511,-,-
comp1019_c0_seq1|m.258 comp1019_c0_seq1|g.258  ,mlei159,_,1,-,-,-,N,-,170,-,-
comp10203_c0_seq1|m.3653 comp10203_c0_seq1|g.3653  ,mlei160,_,5,-,-,-,N,-,516,-,-
comp10204_c0_seq1|m.3654 comp10204_c0_seq1|g.3654  ,mlei161,_,3,-,-,-,N,-,359,-,-
comp10205_c0_seq1|m.3655 comp10205_c0_seq1|g.3655  ,mlei162,S,2,-,-,-,N,-,302,-,-
comp1020646_c0_seq1|m.22616 comp1020646_c0_seq1|g.22616  ,mlei163,_,3,-,-,-,N,-,198,-,-
comp10206_c0_seq1|m.3656 comp10206_c0_seq1|g.3656  ,mlei164,S,2,-,-,-,N,-,168,-,-
comp1020811_c0_seq1|m.22617 comp1020811_c0_seq1|g.22617  ,mlei165,S,2,-,-,-,N,-,161,-,-
comp10208_c0_seq1|m.3657 comp10208_c0_seq1|g.3657  ,mlei166,M,5,-,-,-,N,-,124,-,-
comp10209_c0_seq1|m.3658 comp10209_c0_seq1|g.3658  ,mlei167,_,1,-,-,-,N,-,1018,-,-
comp1021170_c0_seq1|m.22618 comp1021170_c0_seq1|g.22618  ,mlei168,_,2,-,-,-,N,-,132,-,-
comp10211_c0_seq1|m.3659 comp10211_c0_seq1|g.3659  ,mlei169,_,1,-,-,-,N,-,133,-,-
comp1021390_c0_seq1|m.22619 comp1021390_c0_seq1|g.22619  ,mlei170,_,1,-,-,-,N,-,143,-,-
comp1021413_c0_seq1|m.22620 comp1021413_c0_seq1|g.22620  ,mlei171,S,3,-,-,-,N,-,137,-,-
comp1021415_c0_seq1|m.22621 comp1021415_c0_seq1|g.22621  ,mlei172,S,1,-,-,-,N,-,200,-,-
comp102176_c0_seq1|m.17722 comp102176_c0_seq1|g.17722  ,mlei173,_,2,-,-,-,N,-,109,-,-
comp10217_c0_seq1|m.3660 comp10217_c0_seq1|g.3660  ,mlei174,_,1,-,-,-,N,-,476,-,-
comp10218_c0_seq1|m.3661 comp10218_c0_seq1|g.3661  ,mlei175,M,5,-,-,-,N,-,292,-,-
comp1022098_c0_seq1|m.22622 comp1022098_c0_seq1|g.22622  ,mlei176,_,2,-,-,-,N,-,134,-,-
comp10220_c0_seq1|m.3662 comp10220_c0_seq1|g.3662  ,mlei177,_,2,-,-,-,N,-,282,-,-
comp1022294_c0_seq1|m.22623 comp1022294_c0_seq1|g.22623  ,mlei178,M,5,-,-,-,N,-,197,-,-
comp10224_c0_seq1|m.3663 comp10224_c0_seq1|g.3663  ,mlei179,_,2,-,-,-,N,-,209,-,-
comp10227_c0_seq1|m.3664 comp10227_c0_seq1|g.3664  ,mlei180,_,1,-,-,-,N,-,206,-,-
comp1022806_c0_seq1|m.22624 comp1022806_c0_seq1|g.22624  ,mlei181,S,1,-,-,-,N,-,186,-,-
comp1022_c0_seq1|m.259 comp1022_c0_seq1|g.259  ,mlei182,S,1,-,-,-,N,-,586,-,-
comp10231_c0_seq1|m.3666 comp10231_c0_seq1|g.3666  ,mlei183,_,1,hsap1093,mmus332,-,Y,STX17,278,Stx17,-
comp1023378_c0_seq1|m.22625 comp1023378_c0_seq1|g.22625  ,mlei184,_,3,-,-,-,N,-,103,-,-
comp102398_c0_seq1|m.17723 comp102398_c0_seq1|g.17723  ,mlei185,S,2,-,-,-,N,-,420,-,-
comp10239_c0_seq1|m.3667 comp10239_c0_seq1|g.3667  ,mlei186,_,5,-,-,-,N,-,120,-,-
comp1024071_c0_seq1|m.22626 comp1024071_c0_seq1|g.22626  ,mlei187,_,2,-,-,-,N,-,99,-,-
comp1024154_c0_seq1|m.22628 comp1024154_c0_seq1|g.22628  ,mlei188,S,4,-,-,-,N,-,101,-,-
comp1024154_c0_seq1|m.22627 comp1024154_c0_seq1|g.22627  ,mlei189,_,5,-,-,-,N,-,302,-,-
comp10242_c0_seq1|m.3668 comp10242_c0_seq1|g.3668  ,mlei190,M,2,-,-,-,Y,-,220,-,-
comp1024484_c0_seq1|m.22629 comp1024484_c0_seq1|g.22629  ,mlei191,_,1,-,-,-,N,-,104,-,-
comp1024634_c0_seq1|m.22630 comp1024634_c0_seq1|g.22630  ,mlei192,_,1,-,-,-,N,-,120,-,-
comp10248_c0_seq1|m.3669 comp10248_c0_seq1|g.3669  ,mlei193,_,1,-,-,-,N,-,337,-,-
comp10248_c0_seq2|m.3670 comp10248_c0_seq2|g.3670  ,mlei194,_,1,-,-,-,N,-,344,-,-
comp1025265_c0_seq1|m.22632 comp1025265_c0_seq1|g.22632  ,mlei195,_,2,-,-,-,N,-,205,-,-
comp10252_c0_seq1|m.3671 comp10252_c0_seq1|g.3671  ,mlei196,S,4,-,-,-,N,-,133,-,-
comp10255_c0_seq1|m.3672 comp10255_c0_seq1|g.3672  ,mlei197,_,1,-,-,-,N,-,117,-,-
comp1025627_c0_seq1|m.22633 comp1025627_c0_seq1|g.22633  ,mlei198,S,4,-,-,-,N,-,99,-,-
comp10257_c0_seq1|m.3674 comp10257_c0_seq1|g.3674  ,mlei199,_,3,-,-,-,N,-,287,-,-
comp1025934_c0_seq1|m.22634 comp1025934_c0_seq1|g.22634  ,mlei200,_,3,-,-,-,N,-,128,-,-
comp1025965_c0_seq1|m.22635 comp1025965_c0_seq1|g.22635  ,mlei201,S,4,-,-,-,N,-,196,-,-
comp10259_c0_seq1|m.3677 comp10259_c0_seq1|g.3677  ,mlei202,S,2,-,-,-,N,-,428,-,-
comp10259_c0_seq2|m.3678 comp10259_c0_seq2|g.3678  ,mlei203,S,2,-,-,-,N,-,428,-,-
comp1026236_c0_seq1|m.22636 comp1026236_c0_seq1|g.22636  ,mlei204,_,2,-,-,-,N,-,117,-,-
comp10262_c0_seq1|m.3679 comp10262_c0_seq1|g.3679  ,mlei205,_,1,-,-,-,N,-,397,-,-
comp10263_c0_seq1|m.3680 comp10263_c0_seq1|g.3680  ,mlei206,_,5,-,-,-,N,-,115,-,-
comp10264_c0_seq2|m.3681 comp10264_c0_seq2|g.3681  ,mlei207,_,3,-,-,-,N,-,254,-,-
comp1026661_c0_seq1|m.22637 comp1026661_c0_seq1|g.22637  ,mlei208,_,4,-,-,-,N,-,169,-,-
comp1026773_c0_seq1|m.22638 comp1026773_c0_seq1|g.22638  ,mlei209,_,2,-,-,-,N,-,104,-,-
comp10269_c0_seq1|m.3682 comp10269_c0_seq1|g.3682  ,mlei210,_,4,-,-,-,N,-,744,-,-
comp10273_c0_seq1|m.3683 comp10273_c0_seq1|g.3683  ,mlei211,_,2,-,-,-,N,-,285,-,-
comp1027408_c0_seq1|m.22639 comp1027408_c0_seq1|g.22639  ,mlei212,_,4,-,-,-,N,-,125,-,-
comp10274_c0_seq1|m.3684 comp10274_c0_seq1|g.3684  ,mlei213,_,3,-,-,-,N,-,283,-,-
comp1027584_c0_seq1|m.22641 comp1027584_c0_seq1|g.22641  ,mlei214,_,3,-,-,-,N,-,196,-,-
comp10276_c0_seq1|m.3685 comp10276_c0_seq1|g.3685  ,mlei215,_,3,-,-,-,N,-,619,-,-
comp1027988_c0_seq1|m.22643 comp1027988_c0_seq1|g.22643  ,mlei216,_,1,-,-,-,N,-,102,-,-
comp10279_c0_seq1|m.3686 comp10279_c0_seq1|g.3686  ,mlei217,_,2,-,-,-,N,-,406,-,-
comp1028143_c0_seq1|m.22644 comp1028143_c0_seq1|g.22644  ,mlei218,_,1,-,-,-,N,-,116,-,-
comp10281_c0_seq1|m.3687 comp10281_c0_seq1|g.3687  ,mlei219,_,1,-,-,-,N,-,477,-,-
