Transcript,Protein,TargetP,RC,HSAP_ortho,MMUS_ortho,SCER_ortho,MitoProt,HSAP_Gene,Seqlength,MMUS_Gene
comp112613_c0_seq1,emue35,_ , 1, -, -, -,  N,-,105,-
comp113299_c0_seq1,emue36,_ , 3, -, -, -,  N,-,183,-
comp114105_c0_seq1,emue37,_ , 3, -, -, -,  N,-,103,-
comp114561_c0_seq1,emue38,_ , 4, -, -, -,  N,-,447,-
comp114664_c0_seq1,emue39,S , 4, -, -, -,  N,-,319,-
comp115045_c0_seq1,emue40,_ , 5, -, -, -,  N,-,105,-
comp1151_c0_seq1,emue41,_ , 2, -, -, -,  N,-,123,-
comp115294_c0_seq1,emue42,_ , 4, -, -, -,  N,-,301,-
comp115621_c0_seq1,emue43,S , 1, -, -, -,  N,-,173,-
comp11706_c0_seq2,emue44,_ , 5, -, -, -,  N,-,99,-
comp117549_c0_seq1,emue45,S , 4, -, -, -,  N,-,214,-
comp117659_c0_seq1,emue46,_ , 1, -, -, -,  N,-,168,-
comp117666_c0_seq1,emue47,_ , 2, -, -, -,  N,-,208,-
comp117666_c0_seq1,emue48,S , 1, -, -, -,  N,-,110,-
comp117773_c0_seq1,emue49,S , 3, -, -, -,  N,-,102,-
comp11778_c0_seq1,emue50,_ , 5, -, -, -,  N,-,117,-
comp11782_c0_seq1,emue51,_ , 2, -, -, -,  N,-,108,-
comp118198_c0_seq1,emue52,M , 5, -, -, -,  N,-,123,-
comp11821_c0_seq1,emue53,_ , 2, -, -, -,  N,-,131,-
comp118581_c0_seq1,emue54,S , 1, -, -, -,  N,-,232,-
comp11890_c0_seq1,emue55,_ , 2, -, -, -,  N,-,224,-
comp119023_c0_seq1,emue56,_ , 2, -, -, -,  N,-,118,-
comp119104_c0_seq1,emue57,_ , 4, -, -, -,  N,-,234,-
comp119126_c0_seq1,emue58,_ , 1, -, -, -,  N,-,102,-
comp119542_c0_seq1,emue59,_ , 2, -, -, -,  N,-,131,-
comp11991_c0_seq1,emue60,_ , 5, -, -, -,  N,-,112,-
comp11991_c0_seq2,emue61,M , 4, -, -, -,  N,-,114,-
comp121215_c0_seq1,emue62,_ , 1, -, -, -,  N,-,99,-
comp121447_c0_seq1,emue63,M , 4, -, -, -,  N,-,141,-
comp12196_c0_seq1,emue64,_ , 2, -, -, -,  N,-,100,-
comp122534_c0_seq1,emue65,_ , 3, -, -, -,  N,-,127,-
comp122563_c0_seq1,emue66,_ , 2, -, -, -,  N,-,114,-
comp122583_c0_seq1,emue67,_ , 4, -, -, -,  N,-,113,-
comp1227_c1_seq1,emue68,_ , 1, -, -, -,  N,-,196,-
comp12291_c0_seq1,emue69,_ , 1, -, -, -,  N,-,102,-
comp123110_c0_seq1,emue70,S , 3, -, -, -,  N,-,146,-
comp123302_c0_seq1,emue71,_ , 2, -, -, -,  N,-,164,-
comp124453_c0_seq1,emue72,_ , 2, -, -, -,  N,-,200,-
comp12461_c0_seq1,emue73,_ , 1, -, -, -,  N,-,162,-
comp124855_c0_seq1,emue74,S , 1, -, -, -,  N,-,151,-
comp125060_c0_seq1,emue75,S , 5, -, -, -,  N,-,128,-
comp12538_c0_seq1,emue76,_ , 2, -, -, -,  N,-,106,-
comp12550_c0_seq1,emue77,_ , 1, -, -, -,  N,-,192,-
comp126002_c0_seq1,emue78,_ , 4, -, -, -,  N,-,151,-
comp126070_c0_seq1,emue79,_ , 1, -, -, -,  N,-,104,-
comp126645_c0_seq1,emue80,_ , 1, -, -, -,  N,-,156,-
comp127235_c0_seq1,emue81,M , 3, -, -, -,  Y,-,295,-
comp127307_c0_seq1,emue82,_ , 1, -, -, -,  N,-,726,-
comp127384_c0_seq1,emue83,M , 4, -, -, -,  N,-,109,-
comp12775_c0_seq1,emue84,M , 2, -, -, -,  Y,-,142,-
comp12775_c0_seq2,emue85,_ , 1, -, -, -,  N,-,112,-
comp128651_c0_seq1,emue86,M , 3, -, -, -,  Y,-,111,-
comp128834_c0_seq1,emue87,_ , 2, -, -, -,  N,-,110,-
comp129041_c0_seq2,emue88,S , 2, -, -, -,  N,-,128,-
comp129537_c0_seq1,emue89,S , 1, -, -, -,  N,-,161,-
comp12966_c0_seq1,emue90,M , 5, -, -, -,  N,-,104,-
comp130064_c0_seq1,emue91,_ , 1, -, -, -,  N,-,132,-
comp130116_c0_seq1,emue92,S , 1, -, -, -,  N,-,111,-
comp130701_c0_seq1,emue93,M , 5, -, -, -,  N,-,192,-
comp131225_c0_seq1,emue94,_ , 2, -, -, -,  N,-,305,-
comp13137_c0_seq1,emue95,_ , 3, -, -, -,  N,-,117,-
comp131522_c0_seq1,emue96,_ , 2, -, -, -,  N,-,121,-
comp132267_c0_seq1,emue97,_ , 1, -, -, -,  N,-,155,-
comp132502_c0_seq1,emue98,M , 5, -, -, -,  N,-,152,-
comp132502_c0_seq1,emue99,S , 5, -, -, -,  N,-,219,-
comp132594_c0_seq1,emue100,S , 2, -, -, -,  N,-,101,-
comp132882_c0_seq1,emue101,_ , 4, -, -, -,  N,-,153,-
comp133404_c0_seq1,emue102,_ , 1, -, -, -,  N,-,128,-
comp133970_c0_seq1,emue103,_ , 1, -, -, -,  N,-,102,-
comp134153_c0_seq1,emue104,_ , 2, -, -, -,  N,-,138,-
comp13424_c0_seq1,emue105,M , 4, -, -, -,  N,-,155,-
comp134612_c0_seq1,emue106,_ , 1, -, -, -,  N,-,244,-
comp134969_c0_seq1,emue107,_ , 1, -, -, -,  N,-,220,-
comp135004_c0_seq1,emue108,_ , 5, -, -, -,  N,-,353,-
comp135004_c0_seq1,emue109,S , 2, -, -, -,  N,-,157,-
comp135449_c0_seq1,emue110,_ , 1, -, -, -,  N,-,134,-
comp135918_c0_seq1,emue111,_ , 1, -, -, -,  N,-,177,-
comp13634_c0_seq1,emue112,_ , 4, -, -, -,  N,-,109,-
comp13673_c0_seq1,emue113,_ , 3, -, -, -,  N,-,180,-
comp137159_c0_seq1,emue114,_ , 1, -, -, -,  N,-,539,-
comp137188_c0_seq1,emue115,_ , 5, -, -, -,  N,-,371,-
comp137259_c0_seq1,emue116,S , 1, -, -, -,  N,-,121,-
comp137427_c0_seq1,emue117,_ , 5, -, -, -,  N,-,372,-
comp137526_c0_seq1,emue118,_ , 2, -, -, -,  N,-,245,-
comp137531_c0_seq1,emue119,S , 5, -, -, -,  N,-,164,-
comp137650_c0_seq1,emue120,_ , 5, -, -, -,  N,-,166,-
comp137705_c0_seq1,emue121,M , 5, -, -, -,  N,-,139,-
comp13794_c0_seq1,emue122,_ , 2, -, -, -,  N,-,109,-
comp137983_c0_seq1,emue123,_ , 2, -, -, -,  N,-,167,-
comp1382_c0_seq1,emue124,_ , 2, -, -, -,  N,-,117,-
comp138362_c0_seq1,emue125,_ , 2, -, -, -,  N,-,120,-
comp13878_c0_seq2,emue126,_ , 2, -, -, -,  N,-,105,-
comp13955_c0_seq1,emue127,_ , 4, -, -, -,  N,-,112,-
comp140071_c0_seq1,emue128,_ , 4, -, -, -,  N,-,124,-
comp14010_c0_seq1,emue129,_ , 5, -, -, -,  N,-,194,-
comp140418_c0_seq1,emue130,S , 3, -, -, -,  N,-,118,-
comp140418_c0_seq1,emue131,M , 4, -, -, -,  N,-,110,-
comp140418_c0_seq1,emue132,_ , 5, -, -, -,  N,-,101,-
comp140592_c0_seq1,emue133,_ , 5, -, -, -,  N,-,234,-
comp14071_c0_seq1,emue134,_ , 2, -, -, -,  N,-,101,-
comp14084_c0_seq2,emue135,_ , 1, -, -, -,  N,-,126,-
comp14158_c0_seq1,emue136,_ , 2, -, -, -,  N,-,117,-
comp1418_c0_seq1,emue137,_ , 4, -, -, -,  N,-,102,-
comp142070_c0_seq1,emue138,_ , 2, -, -, -,  N,-,482,-
comp142176_c0_seq1,emue139,_ , 3, -, -, -,  N,-,147,-
comp14227_c0_seq1,emue140,_ , 1, -, -, -,  N,-,190,-
comp14229_c0_seq1,emue141,_ , 1, -, -, -,  N,-,99,-
comp1427_c0_seq1,emue142,M , 4, -, -, -,  N,-,151,-
comp14280_c0_seq1,emue143,S , 1, -, -, -,  N,-,103,-
comp14282_c0_seq1,emue144,S , 3, -, -, -,  N,-,131,-
comp14287_c0_seq1,emue145,_ , 2, -, -, -,  N,-,118,-
comp142940_c0_seq1,emue146,_ , 3, -, -, -,  N,-,150,-
comp143723_c0_seq1,emue147,_ , 3, -, -, -,  N,-,172,-
comp14378_c0_seq1,emue148,_ , 4, -, -, -,  N,-,112,-
comp143803_c0_seq1,emue149,M , 5, -, -, -,  N,-,99,-
comp143819_c0_seq1,emue150,_ , 4, -, -, -,  N,-,558,-
comp143832_c0_seq1,emue151,_ , 2, -, -, -,  N,-,182,-
comp14387_c0_seq1,emue152,_ , 2, -, -, -,  N,-,114,-
comp14390_c0_seq1,emue153,S , 3, -, -, -,  N,-,179,-
comp143953_c0_seq1,emue154,_ , 1, -, -, -,  N,-,143,-
comp14454_c0_seq1,emue155,_ , 1, -, -, -,  N,-,102,-
comp144706_c0_seq1,emue156,_ , 2, -, -, -,  N,-,171,-
comp145026_c0_seq1,emue157,_ , 5, -, -, -,  N,-,106,-
comp145128_c0_seq1,emue158,S , 1, -, -, -,  N,-,155,-
comp145302_c0_seq1,emue159,S , 1, -, -, -,  N,-,114,-
comp145507_c0_seq1,emue160,S , 3, -, -, -,  N,-,110,-
comp147640_c0_seq1,emue161,_ , 2, -, -, -,  N,-,148,-
comp147804_c0_seq1,emue162,_ , 1, -, -, -,  N,-,104,-
comp147911_c0_seq1,emue163,S , 2, -, -, -,  N,-,110,-
comp14802_c0_seq1,emue164,M , 4, -, -, -,  N,-,128,-
comp148040_c0_seq1,emue165,_ , 1, -, -, -,  N,-,149,-
comp148044_c0_seq1,emue166,_ , 1, -, -, -,  N,-,118,-
comp148112_c0_seq1,emue167,_ , 5, -, -, -,  N,-,340,-
comp148226_c0_seq1,emue168,S , 2, -, -, -,  N,-,120,-
comp148243_c0_seq1,emue169,_ , 1, -, -, -,  N,-,100,-
comp148351_c0_seq1,emue170,M , 3, -, -, -,  Y,-,104,-
comp148407_c0_seq1,emue171,_ , 3, -, -, -,  N,-,251,-
comp148866_c0_seq1,emue172,S , 1, -, -, -,  N,-,146,-
comp149147_c0_seq1,emue173,S , 2, -, -, -,  N,-,137,-
comp149937_c0_seq1,emue174,_ , 2, -, -, -,  N,-,146,-
comp150144_c0_seq1,emue175,_ , 2, -, -, -,  N,-,100,-
comp150229_c0_seq1,emue176,_ , 3, -, -, -,  N,-,99,-
comp15057_c0_seq1,emue177,_ , 2, -, -, -,  N,-,264,-
comp1505_c0_seq1,emue178,_ , 4, -, -, -,  N,-,169,-
comp15087_c0_seq1,emue179,_ , 2, -, -, -,  N,-,115,-
comp15142_c0_seq1,emue180,S , 1, -, -, -,  N,-,122,-
comp151612_c0_seq1,emue181,_ , 1, -, -, -,  N,-,157,-
comp15167_c0_seq1,emue182,_ , 2, -, -, -,  N,-,135,-
comp152189_c0_seq1,emue183,_ , 2, -, -, -,  N,-,111,-
comp15244_c0_seq1,emue184,_ , 1, -, -, -,  N,-,159,-
comp152479_c0_seq1,emue185,S , 1, -, -, -,  N,-,132,-
comp152506_c0_seq1,emue186,S , 1, -, -, -,  N,-,376,-
comp152562_c0_seq1,emue187,_ , 2, -, -, -,  N,-,143,-
comp152895_c0_seq1,emue188,_ , 2, -, -, -,  N,-,344,-
comp153003_c0_seq1,emue189,_ , 4, -, -, -,  N,-,143,-
comp153165_c0_seq1,emue190,_ , 2, -, -, -,  N,-,123,-
comp153586_c0_seq1,emue191,_ , 1, -, -, -,  N,-,384,-
comp15362_c0_seq1,emue192,_ , 1, -, -, -,  N,-,99,-
comp15389_c0_seq1,emue193,_ , 2, -, -, -,  N,-,122,-
comp154006_c0_seq1,emue194,_ , 3, -, -, -,  N,-,152,-
comp154159_c0_seq1,emue195,_ , 5, -, -, -,  N,-,133,-
comp154202_c0_seq1,emue196,_ , 4, -, -, -,  N,-,119,-
comp154306_c0_seq1,emue197,_ , 3, -, -, -,  N,-,105,-
comp154420_c0_seq1,emue198,_ , 2, -, -, -,  N,-,187,-
comp154470_c0_seq1,emue199,_ , 2, -, -, -,  N,-,131,-
comp154586_c0_seq1,emue200,_ , 2, -, -, -,  N,-,117,-
comp154643_c0_seq1,emue201,_ , 2, -, -, -,  N,-,171,-
comp15482_c0_seq1,emue202,_ , 2, -, -, -,  N,-,154,-
comp15558_c0_seq1,emue203,_ , 1, -, -, -,  N,-,126,-
comp156340_c0_seq1,emue204,M , 5, -, -, -,  N,-,315,-
comp15670_c0_seq1,emue205,S , 3, -, -, -,  N,-,129,-
comp15670_c0_seq2,emue206,S , 3, -, -, -,  N,-,131,-
comp156748_c0_seq1,emue207,_ , 3, -, -, -,  N,-,147,-
comp156864_c0_seq1,emue208,_ , 3, -, -, -,  N,-,138,-
comp156901_c0_seq1,emue209,_ , 3, -, -, -,  N,-,349,-
comp157117_c0_seq1,emue210,_ , 5, -, -, -,  N,-,114,-
comp157132_c0_seq1,emue211,M , 3, -, -, -,  Y,-,158,-
comp1571_c0_seq1,emue212,_ , 3, -, -, -,  N,-,114,-
comp157315_c0_seq1,emue213,_ , 3, -, -, -,  N,-,144,-
comp157394_c0_seq1,emue214,_ , 1, -, -, -,  N,-,175,-
comp157423_c0_seq1,emue215,_ , 2, -, -, -,  N,-,220,-
comp157508_c0_seq1,emue216,_ , 2, -, -, -,  N,-,103,-
comp157675_c0_seq1,emue217,_ , 2, -, -, -,  N,-,158,-
comp157761_c0_seq1,emue218,_ , 5, -, -, -,  N,-,185,-
comp157786_c0_seq1,emue219,_ , 2, -, -, -,  N,-,115,-
comp157826_c0_seq1,emue220,M , 5, -, -, -,  N,-,163,-
comp158360_c0_seq1,emue221,M , 5, -, -, -,  N,-,106,-
comp158446_c0_seq1,emue222,_ , 3, -, -, -,  N,-,118,-
comp158587_c0_seq1,emue223,_ , 1, -, -, -,  N,-,113,-
comp15867_c0_seq1,emue224,_ , 2, -, -, -,  N,-,109,-
comp158713_c0_seq1,emue225,S , 3, -, -, -,  N,-,413,-
comp15873_c0_seq1,emue226,_ , 2, -, -, -,  N,-,99,-
comp158841_c0_seq1,emue227,_ , 1, -, -, -,  N,-,104,-
comp158925_c0_seq1,emue228,_ , 3, -, -, -,  N,-,102,-
comp159074_c0_seq1,emue229,_ , 4, -, -, -,  N,-,146,-
comp159259_c0_seq1,emue230,_ , 4, -, -, -,  N,-,146,-
comp159309_c0_seq1,emue231,_ , 5, -, -, -,  N,-,219,-
comp15931_c0_seq1,emue232,_ , 1, -, -, -,  N,-,143,-
comp159400_c0_seq1,emue233,S , 1, -, -, -,  N,-,156,-
comp159629_c0_seq1,emue234,_ , 4, -, -, -,  N,-,302,-
comp15992_c0_seq1,emue235,_ , 2, -, -, -,  N,-,124,-
comp15995_c0_seq1,emue236,_ , 2, -, -, -,  N,-,110,-
comp159990_c0_seq1,emue237,_ , 3, -, -, -,  N,-,137,-
comp16001_c0_seq1,emue238,_ , 1, -, -, -,  N,-,119,-
comp160096_c0_seq1,emue239,_ , 3, -, -, -,  N,-,139,-
comp160757_c0_seq1,emue240,_ , 2, -, -, -,  N,-,273,-
comp161145_c0_seq1,emue241,_ , 4, -, -, -,  N,-,142,-
comp161182_c0_seq1,emue242,S , 3, -, -, -,  N,-,173,-
comp16165_c0_seq1,emue243,_ , 2, -, -, -,  N,-,102,-
comp161936_c0_seq1,emue244,_ , 2, -, -, -,  N,-,129,-
comp16193_c0_seq1,emue245,S , 2, -, -, -,  N,-,140,-
comp162146_c0_seq1,emue246,_ , 1, -, -, -,  N,-,126,-
comp162173_c0_seq1,emue247,_ , 2, -, -, -,  N,-,124,-
comp162173_c0_seq1,emue248,M , 4, -, -, -,  N,-,151,-
comp16265_c0_seq1,emue249,M , 3, -, -, -,  Y,-,161,-
comp16273_c0_seq1,emue250,_ , 2, -, -, -,  N,-,111,-
comp16282_c0_seq1,emue251,_ , 2, -, -, -,  N,-,158,-
comp16308_c0_seq1,emue252,_ , 3, -, -, -,  N,-,151,-
comp163230_c0_seq1,emue253,_ , 1, -, -, -,  N,-,102,-
comp163390_c0_seq1,emue254,_ , 1, -, -, -,  N,-,100,-
comp163486_c0_seq1,emue255,_ , 2, -, -, -,  N,-,99,-
comp163614_c0_seq1,emue256,M , 2, -, -, -,  Y,-,240,-
comp163712_c0_seq1,emue257,_ , 3, -, -, -,  N,-,111,-
comp163884_c0_seq1,emue258,_ , 1, -, -, -,  N,-,253,-
comp163985_c0_seq1,emue259,_ , 4, -, -, -,  N,-,477,-
comp16460_c0_seq1,emue260,S , 1, -, -, -,  N,-,109,-
comp164755_c0_seq1,emue261,M , 3, -, -, -,  Y,-,269,-
comp164872_c0_seq1,emue262,_ , 1, -, -, -,  N,-,286,-
comp16531_c0_seq1,emue263,S , 1, -, -, -,  N,-,108,-
comp165508_c0_seq1,emue264,S , 1, -, -, -,  N,-,106,-
comp16582_c0_seq1,emue265,_ , 2, -, -, -,  N,-,130,-
comp16635_c0_seq1,emue266,_ , 5, -, -, -,  N,-,128,-
comp166544_c0_seq1,emue267,_ , 3, -, -, -,  N,-,156,-
comp166627_c0_seq1,emue268,S , 4, -, -, -,  N,-,105,-
comp166686_c0_seq1,emue269,_ , 2, -, -, -,  N,-,135,-
comp16701_c0_seq1,emue270,_ , 3, -, -, -,  N,-,113,-
comp16761_c0_seq1,emue271,_ , 2, -, -, -,  N,-,136,-
comp16768_c0_seq1,emue272,_ , 4, -, -, -,  N,-,100,-
comp168285_c0_seq1,emue273,_ , 1, -, -, -,  N,-,300,-
comp168339_c0_seq1,emue274,_ , 3, -, -, -,  N,-,114,-
comp168454_c0_seq1,emue275,_ , 3, -, -, -,  N,-,241,-
comp168722_c0_seq1,emue276,_ , 1, -, -, -,  N,-,104,-
comp168735_c0_seq1,emue277,_ , 1, -, -, -,  N,-,205,-
comp168735_c0_seq1,emue278,_ , 2, -, -, -,  N,-,224,-
comp168948_c0_seq1,emue279,_ , 2, -, -, -,  N,-,136,-
comp169028_c0_seq1,emue280,_ , 1, -, -, -,  N,-,130,-
comp169164_c0_seq1,emue281,_ , 1, -, -, -,  N,-,758,-
comp169315_c0_seq1,emue282,S , 1, -, -, -,  N,-,350,-
comp16932_c0_seq1,emue283,S , 1, -, -, -,  N,-,106,-
comp1693_c0_seq1,emue284,S , 2, -, -, -,  N,-,128,-
comp16947_c0_seq1,emue285,_ , 4, -, -, -,  N,-,100,-
comp169484_c0_seq1,emue286,_ , 4, -, -, -,  N,-,134,-
comp16950_c0_seq1,emue287,_ , 4, -, -, -,  N,-,339,-
comp16985_c0_seq1,emue288,S , 1, -, -, -,  N,-,217,-
comp170331_c0_seq1,emue289,_ , 1, -, -, -,  N,-,176,-
comp170516_c0_seq1,emue290,M , 5, -, -, -,  N,-,165,-
comp17097_c0_seq1,emue291,_ , 2, -, -, -,  N,-,737,-
comp17098_c0_seq1,emue292,_ , 2, -, -, -,  N,-,238,-
comp17101_c0_seq1,emue293,_ , 2, -, -, -,  N,-,179,-
comp17139_c0_seq1,emue294,_ , 5, -, -, -,  N,-,106,-
comp171437_c0_seq1,emue295,S , 5, -, -, -,  N,-,111,-
comp17147_c0_seq1,emue296,S , 3, -, -, -,  N,-,554,-
comp171608_c0_seq1,emue297,_ , 1, -, -, -,  N,-,102,-
comp17190_c0_seq1,emue298,_ , 2, -, -, -,  N,-,114,-
comp1722_c0_seq1,emue299,S , 2, -, -, -,  N,-,160,-
comp172338_c0_seq1,emue300,M , 3, -, -, -,  Y,-,111,-
comp172634_c0_seq1,emue301,_ , 1, -, -, -,  N,-,106,-
comp17344_c0_seq1,emue302,S , 1, -, -, -,  N,-,104,-
comp173546_c0_seq1,emue303,_ , 1, -, -, -,  N,-,125,-
comp17387_c0_seq1,emue304,_ , 3, -, -, -,  N,-,193,-
comp17390_c0_seq1,emue305,_ , 1, -, -, -,  N,-,100,-
comp17395_c0_seq1,emue306,S , 3, -, -, -,  N,-,200,-
comp17398_c0_seq1,emue307,_ , 1, -, -, -,  N,-,421,-
comp17398_c0_seq1,emue308,_ , 4, -, -, -,  N,-,277,-
comp17398_c0_seq1,emue309,M , 4, -, -, -,  N,-,104,-
comp17405_c0_seq1,emue310,_ , 1, -, -, -,  N,-,240,-
comp17414_c0_seq1,emue311,_ , 2, -, -, -,  N,-,347,-
comp17445_c0_seq2,emue312,_ , 4, -, -, -,  N,-,302,-
comp17448_c0_seq1,emue313,_ , 1, -, mmus813, -,  Y,-,477,Ppm1m
comp17465_c0_seq1,emue314,_ , 5, -, -, -,  N,-,193,-
comp17465_c0_seq2,emue315,_ , 5, -, -, -,  N,-,102,-
comp174891_c0_seq1,emue316,_ , 5, -, -, -,  N,-,103,-
comp174912_c0_seq1,emue317,S , 1, -, -, -,  N,-,330,-
comp174973_c0_seq1,emue318,_ , 3, -, -, -,  N,-,99,-
comp17498_c0_seq1,emue319,M , 5, -, -, -,  N,-,193,-
comp175008_c0_seq1,emue320,M , 4, -, -, -,  N,-,216,-
comp175163_c0_seq1,emue321,_ , 3, -, -, -,  N,-,112,-
comp17517_c0_seq1,emue322,_ , 5, -, -, -,  N,-,106,-
comp17517_c0_seq2,emue323,_ , 5, -, -, -,  N,-,106,-
comp175183_c0_seq1,emue324,_ , 4, -, -, -,  N,-,176,-
comp17518_c0_seq1,emue325,_ , 2, -, -, -,  N,-,128,-
comp175207_c0_seq1,emue326,_ , 3, -, -, -,  N,-,169,-
comp175308_c0_seq1,emue327,_ , 2, -, -, -,  N,-,150,-
comp175430_c0_seq1,emue328,_ , 2, -, -, -,  N,-,159,-
comp175430_c0_seq1,emue329,_ , 2, -, -, -,  N,-,132,-
comp175771_c0_seq1,emue330,_ , 2, -, -, -,  N,-,105,-
comp175874_c0_seq1,emue331,_ , 1, -, -, -,  N,-,214,-
comp176020_c0_seq1,emue332,_ , 2, -, -, -,  N,-,298,-
comp17602_c0_seq1,emue333,_ , 4, -, -, -,  N,-,398,-
comp17606_c0_seq1,emue334,_ , 3, -, -, -,  N,-,325,-
comp17606_c0_seq2,emue335,_ , 3, -, -, -,  N,-,127,-
comp17613_c0_seq2,emue336,S , 4, -, -, -,  N,-,261,-
comp17616_c0_seq1,emue337,_ , 1, -, -, -,  N,-,132,-
comp176299_c0_seq1,emue338,_ , 2, -, -, -,  N,-,377,-
comp176550_c0_seq1,emue339,S , 5, -, -, -,  N,-,165,-
comp17668_c1_seq1,emue340,S , 1, -, -, -,  N,-,337,-
comp176751_c0_seq1,emue341,_ , 2, -, -, -,  N,-,109,-
comp17681_c0_seq1,emue342,_ , 3, -, -, -,  N,-,207,-
comp176973_c0_seq1,emue343,_ , 1, -, -, -,  N,-,237,-
comp17701_c0_seq1,emue344,M , 5, -, -, -,  N,-,116,-
comp17701_c0_seq1,emue345,S , 4, -, -, -,  N,-,159,-
comp177074_c0_seq1,emue346,_ , 4, -, -, -,  N,-,193,-
comp177081_c0_seq1,emue347,_ , 2, -, -, -,  N,-,104,-
comp17711_c0_seq1,emue348,_ , 4, -, -, -,  N,-,155,-
comp177186_c0_seq1,emue349,_ , 3, -, -, -,  N,-,138,-
comp177265_c0_seq1,emue350,_ , 3, -, -, -,  N,-,123,-
comp17749_c0_seq1,emue351,S , 5, -, -, -,  N,-,110,-
comp17749_c0_seq2,emue352,_ , 2, -, -, -,  N,-,99,-
comp17774_c0_seq1,emue353,_ , 1, -, -, -,  N,-,207,-
comp17781_c0_seq1,emue354,_ , 4, -, -, -,  N,-,104,-
comp17791_c0_seq1,emue355,S , 2, -, -, -,  N,-,106,-
comp17797_c0_seq1,emue356,_ , 2, -, -, -,  N,-,726,-
comp177981_c0_seq1,emue357,S , 5, -, -, -,  N,-,142,-
comp177981_c0_seq1,emue358,_ , 5, -, -, -,  N,-,303,-
comp17827_c0_seq1,emue359,_ , 2, -, -, -,  N,-,180,-
comp178369_c0_seq1,emue360,S , 1, -, -, -,  N,-,154,-
comp17846_c0_seq1,emue361,_ , 3, -, -, -,  N,-,213,-
comp17886_c0_seq2,emue362,_ , 3, -, -, -,  N,-,141,-
comp178918_c0_seq1,emue363,S , 1, -, -, -,  N,-,109,-
comp17916_c0_seq1,emue364,_ , 1, -, -, -,  N,-,356,-
comp179388_c0_seq1,emue365,S , 3, -, -, -,  N,-,181,-
comp179417_c0_seq1,emue366,_ , 2, -, -, -,  N,-,175,-
comp17994_c0_seq1,emue367,_ , 2, -, -, -,  N,-,126,-
comp179978_c0_seq1,emue368,_ , 5, -, -, -,  N,-,129,-
comp17999_c0_seq1,emue369,S , 1, -, -, -,  N,-,142,-
comp18001_c0_seq2,emue370,_ , 3, -, -, -,  N,-,99,-
comp18006_c0_seq1,emue371,_ , 1, -, -, -,  N,-,234,-
comp18007_c0_seq1,emue372,_ , 2, -, -, -,  N,-,144,-
comp18016_c0_seq1,emue373,S , 1, -, -, -,  N,-,342,-
comp18038_c0_seq1,emue374,_ , 4, -, -, -,  N,-,104,-
comp18039_c0_seq1,emue375,S , 3, -, -, -,  N,-,186,-
comp18070_c0_seq1,emue376,_ , 1, -, -, -,  N,-,232,-
