transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100150|m.57371,ccan30,_ , 1, -, -, -,  N,-,101,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10016|m.9900,ccan31,_ , 4, -, -, -,  N,-,524,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10017|m.9902,ccan32,_ , 3, -, -, -,  N,-,173,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100171|m.57379,ccan33,S , 1, hsap2, mmus11, -,  Y,ND5,345,ND5,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100172|m.57383,ccan34,_ , 5, -, -, -,  N,-,207,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10018|m.9903,ccan35,_ , 1, -, -, -,  N,-,208,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100182|m.57385,ccan36,_ , 2, -, -, -,  N,-,110,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100186|m.57389,ccan37,_ , 3, -, -, -,  N,-,108,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10019|m.9904,ccan38,_ , 3, -, -, -,  N,-,449,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100191|m.57390,ccan39,S , 1, -, -, -,  N,-,338,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_1002|m.1147,ccan40,_ , 2, -, -, -,  N,-,217,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100201|m.57394,ccan41,_ , 1, -, -, -,  N,-,145,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10021|m.9905,ccan42,S , 5, -, -, -,  N,-,194,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10022|m.9906,ccan43,_ , 3, -, -, -,  N,-,172,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100221|m.57402,ccan44,_ , 2, -, -, -,  N,-,102,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100224|m.57403,ccan45,S , 1, -, -, -,  N,-,119,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100236|m.57406,ccan46,S , 4, -, -, -,  N,-,165,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100239|m.57411,ccan47,_ , 4, hsap1723, mmus797, scer18,  Y,MTFMT,108,Mtfmt,FMT1
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100240|m.57412,ccan48,_ , 4, -, -, -,  N,-,99,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10025|m.9909,ccan49,_ , 5, -, -, -,  N,-,100,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100254|m.57418,ccan50,_ , 1, -, -, -,  N,-,107,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100258|m.57421,ccan51,_ , 3, -, -, -,  N,-,113,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10026|m.9910,ccan52,_ , 2, -, -, -,  N,-,262,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100260|m.57422,ccan53,_ , 4, -, -, -,  N,-,144,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100272|m.57431,ccan54,_ , 3, -, -, -,  N,-,116,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100276|m.57433,ccan55,_ , 1, -, -, -,  N,-,106,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100291|m.57439,ccan56,_ , 5, -, -, -,  N,-,116,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_1003|m.1149,ccan57,S , 2, -, -, -,  N,-,339,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_1003|m.1150,ccan58,_ , 4, -, -, -,  N,-,313,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_1003|m.1148,ccan59,_ , 2, -, -, -,  N,-,413,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100302|m.57444,ccan60,_ , 4, -, -, -,  N,-,117,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100306|m.57446,ccan61,M , 2, -, -, -,  Y,-,237,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10031|m.9916,ccan62,_ , 2, -, -, -,  N,-,99,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100310|m.57447,ccan63,_ , 3, -, -, -,  N,-,120,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100312|m.57450,ccan64,_ , 4, -, -, -,  N,-,112,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10032|m.9917,ccan65,_ , 5, -, -, -,  N,-,424,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100336|m.57460,ccan66,M , 5, -, -, -,  N,-,124,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10035|m.9919,ccan67,_ , 1, -, -, -,  N,-,414,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10036|m.9921,ccan68,M , 2, -, -, -,  Y,-,245,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100360|m.57467,ccan69,S , 4, -, -, -,  N,-,134,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100368|m.57468,ccan70,_ , 1, -, -, -,  N,-,113,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10037|m.9922,ccan71,_ , 1, -, -, -,  N,-,289,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100379|m.57472,ccan72,_ , 1, -, -, -,  N,-,220,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100393|m.57478,ccan73,_ , 2, -, -, -,  N,-,120,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_1004|m.1158,ccan74,_ , 4, -, -, -,  N,-,395,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_1004|m.1157,ccan75,_ , 4, -, -, -,  N,-,3468,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100400|m.57485,ccan76,_ , 4, -, -, -,  N,-,254,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10041|m.9924,ccan77,_ , 1, -, -, -,  N,-,2449,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100416|m.57489,ccan78,_ , 1, -, -, -,  N,-,99,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100419|m.57490,ccan79,_ , 2, -, -, -,  N,-,105,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100427|m.57491,ccan80,_ , 1, -, -, -,  N,-,344,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10043|m.9926,ccan81,_ , 2, -, -, -,  N,-,775,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100441|m.57499,ccan82,_ , 1, -, -, -,  N,-,189,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100448|m.57500,ccan83,S , 4, -, -, -,  N,-,131,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10045|m.9929,ccan84,_ , 1, -, -, -,  N,-,212,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100450|m.57501,ccan85,_ , 4, -, -, -,  N,-,313,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100452|m.57503,ccan86,_ , 2, -, -, -,  N,-,102,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100454|m.57504,ccan87,_ , 1, -, -, -,  N,-,221,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100470|m.57507,ccan88,_ , 1, -, -, -,  N,-,135,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100478|m.57508,ccan89,S , 1, -, -, -,  N,-,346,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100493|m.57512,ccan90,_ , 2, -, -, -,  N,-,104,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100499|m.57514,ccan91,M , 1, -, mmus781, -,  Y,-,118,Atp5l,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10050|m.9930,ccan92,_ , 2, -, -, -,  N,-,299,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100506|m.57518,ccan93,_ , 2, -, -, -,  N,-,100,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100509|m.57521,ccan94,_ , 2, -, -, -,  N,-,108,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100516|m.57523,ccan95,_ , 3, -, -, -,  N,-,203,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10053|m.9932,ccan96,_ , 2, -, -, -,  N,-,108,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100534|m.57535,ccan97,_ , 3, -, -, -,  N,-,133,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100535|m.57538,ccan98,_ , 1, -, -, -,  N,-,121,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100538|m.57541,ccan99,S , 1, -, -, -,  N,-,102,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10054|m.9934,ccan100,_ , 1, -, -, -,  N,-,115,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100547|m.57544,ccan101,_ , 1, -, -, -,  N,-,111,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10055|m.9935,ccan102,S , 3, -, -, -,  N,-,127,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10056|m.9936,ccan103,S , 2, hsap1858, mmus951, -,  Y,COX10,175,Cox10,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100560|m.57546,ccan104,_ , 3, -, -, -,  N,-,175,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100568|m.57549,ccan105,_ , 2, -, -, -,  N,-,182,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100578|m.57554,ccan106,_ , 2, -, -, -,  N,-,124,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10058|m.9938,ccan107,_ , 3, -, -, -,  N,-,139,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100588|m.57558,ccan108,S , 3, -, -, -,  N,-,236,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10059|m.9939,ccan109,_ , 1, -, -, -,  N,-,719,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_1006|m.1163,ccan110,_ , 2, -, -, -,  N,-,421,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100600|m.57560,ccan111,_ , 3, -, -, -,  N,-,117,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100606|m.57561,ccan112,_ , 4, -, -, -,  N,-,113,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100608|m.57562,ccan113,_ , 1, -, -, -,  N,-,99,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10061|m.9940,ccan114,_ , 3, -, -, -,  N,-,290,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100618|m.57563,ccan115,S , 4, -, -, -,  N,-,156,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10062|m.9941,ccan116,_ , 5, -, -, -,  N,-,106,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100621|m.57564,ccan117,_ , 2, -, -, -,  N,-,201,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100624|m.57565,ccan118,_ , 1, -, -, -,  N,-,132,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10063|m.9944,ccan119,M , 4, -, -, -,  N,-,100,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100634|m.57569,ccan120,_ , 3, -, -, -,  N,-,103,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100635|m.57570,ccan121,_ , 5, -, -, -,  N,-,102,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10064|m.9946,ccan122,_ , 5, -, -, -,  N,-,118,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10064|m.9945,ccan123,_ , 1, -, -, -,  N,-,740,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100642|m.57574,ccan124,M , 2, -, -, -,  Y,-,135,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100649|m.57577,ccan125,_ , 3, -, -, -,  N,-,299,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100654|m.57578,ccan126,S , 2, -, -, -,  N,-,523,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10066|m.9949,ccan127,_ , 1, -, -, -,  N,-,2042,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100666|m.57579,ccan128,_ , 4, -, -, -,  N,-,99,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10067|m.9957,ccan129,_ , 2, -, -, -,  N,-,364,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10068|m.9959,ccan130,_ , 5, -, -, -,  N,-,102,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100681|m.57588,ccan131,_ , 1, -, -, -,  N,-,127,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10069|m.9960,ccan132,_ , 2, -, -, -,  N,-,153,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10070|m.9961,ccan133,_ , 1, -, -, -,  N,-,622,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100707|m.57598,ccan134,_ , 1, -, -, -,  N,-,229,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100735|m.57608,ccan135,_ , 5, -, -, -,  N,-,105,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100736|m.57609,ccan136,M , 5, -, -, -,  N,-,108,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100747|m.57611,ccan137,_ , 3, -, -, -,  N,-,118,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100759|m.57615,ccan138,S , 4, -, -, -,  N,-,99,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10076|m.9966,ccan139,_ , 1, -, -, -,  N,-,733,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10078|m.9967,ccan140,_ , 1, -, -, -,  N,-,347,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100781|m.57622,ccan141,_ , 5, -, -, -,  N,-,135,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100782|m.57623,ccan142,_ , 5, -, -, -,  N,-,135,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100789|m.57627,ccan143,_ , 3, -, -, -,  N,-,101,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10079|m.9970,ccan144,_ , 3, -, -, -,  N,-,163,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100794|m.57630,ccan145,_ , 3, -, -, -,  N,-,101,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100802|m.57631,ccan146,_ , 1, -, -, -,  N,-,101,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100807|m.57633,ccan147,_ , 2, -, -, -,  N,-,104,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100816|m.57636,ccan148,M , 5, -, -, -,  N,-,244,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100832|m.57637,ccan149,S , 4, -, -, -,  N,-,134,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100832|m.57638,ccan150,S , 3, -, -, -,  N,-,100,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10084|m.9973,ccan151,_ , 2, -, -, -,  N,-,232,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100842|m.57641,ccan152,M , 4, -, -, -,  N,-,183,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10085|m.9974,ccan153,_ , 1, -, -, -,  N,-,720,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100868|m.57647,ccan154,S , 3, -, -, -,  N,-,116,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100883|m.57654,ccan155,_ , 2, -, -, -,  N,-,268,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100892|m.57656,ccan156,_ , 1, -, -, -,  N,-,249,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100894|m.57658,ccan157,S , 1, -, -, -,  N,-,142,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_1009|m.1164,ccan158,_ , 4, -, -, -,  N,-,1386,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100904|m.57660,ccan159,_ , 1, -, -, -,  N,-,121,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100907|m.57664,ccan160,_ , 3, -, -, -,  N,-,120,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100911|m.57665,ccan161,_ , 5, -, -, -,  N,-,111,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100919|m.57666,ccan162,_ , 5, -, -, -,  N,-,124,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10092|m.9976,ccan163,_ , 2, -, -, -,  N,-,143,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10093|m.9977,ccan164,_ , 3, -, -, -,  N,-,265,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10094|m.9978,ccan165,M , 3, -, -, -,  Y,-,150,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10095|m.9980,ccan166,_ , 2, -, -, -,  N,-,122,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10096|m.9981,ccan167,_ , 2, -, -, -,  N,-,116,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100961|m.57678,ccan168,_ , 1, -, -, -,  N,-,277,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100962|m.57679,ccan169,_ , 2, -, -, -,  N,-,107,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10097|m.9983,ccan170,_ , 3, -, -, -,  N,-,109,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100972|m.57680,ccan171,_ , 1, -, -, -,  N,-,104,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100976|m.57684,ccan172,_ , 4, -, -, -,  N,-,182,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100980|m.57685,ccan173,_ , 1, -, -, -,  N,-,99,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100982|m.57686,ccan174,_ , 2, -, -, -,  N,-,106,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_100995|m.57688,ccan175,_ , 3, -, -, -,  N,-,104,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_101|m.104,ccan176,_ , 3, -, -, -,  N,-,654,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_1010|m.1168,ccan177,_ , 1, -, -, -,  N,-,120,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_10100|m.9984,ccan178,_ , 1, -, -, -,  N,-,259,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_101007|m.57694,ccan179,_ , 2, -, -, -,  N,-,114,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_101016|m.57700,ccan180,_ , 2, -, -, -,  N,-,116,-,-
SpoMult2_CTTGTA_L001_R1_001_(paired)_trimmed_(paired)_contig_101020|m.57701,ccan181,_ , 3, -, -, -,  N,-,283,-,-
