transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
comp10160_c0_seq1,ocar36,_ , 2, -, -, -,  N,-,346,-,-
comp1016172_c0_seq1,ocar37,_ , 1, -, -, -,  N,-,111,-,-
comp10161_c0_seq1,ocar38,M , 3, -, -, scer739,  Y,-,1125,-,SMC6
comp10162_c0_seq1,ocar39,_ , 2, -, -, -,  N,-,111,-,-
comp10163_c0_seq2,ocar40,_ , 1, -, -, -,  N,-,236,-,-
comp10173_c0_seq1,ocar41,_ , 2, -, -, -,  N,-,201,-,-
comp10179_c0_seq2,ocar42,_ , 2, -, -, -,  N,-,188,-,-
comp10182_c0_seq1,ocar43,_ , 4, -, -, -,  N,-,123,-,-
comp10183_c0_seq1,ocar44,S , 1, -, -, -,  N,-,239,-,-
comp10183_c0_seq1,ocar45,_ , 2, -, -, -,  N,-,195,-,-
comp10183_c0_seq2,ocar46,S , 2, -, -, -,  N,-,207,-,-
comp10195_c0_seq1,ocar47,_ , 4, -, -, -,  N,-,722,-,-
comp10212_c0_seq1,ocar48,_ , 2, -, -, -,  N,-,412,-,-
comp10213_c0_seq2,ocar49,_ , 3, -, -, -,  N,-,216,-,-
comp10236_c0_seq2,ocar50,_ , 5, -, -, -,  N,-,192,-,-
comp10237_c0_seq1,ocar51,S , 2, -, -, -,  N,-,614,-,-
comp10241_c0_seq1,ocar52,_ , 2, -, -, -,  N,-,199,-,-
comp10243_c0_seq1,ocar53,_ , 1, -, -, -,  N,-,211,-,-
comp10246_c0_seq1,ocar54,S , 1, -, -, -,  N,-,1787,-,-
comp10251_c0_seq1,ocar55,M , 2, hsap587, mmus285, -,  Y,HADH,316,Hadh,-
comp10253_c0_seq2,ocar56,_ , 2, -, -, -,  N,-,233,-,-
comp10261_c0_seq1,ocar57,_ , 3, -, -, -,  N,-,145,-,-
comp10268_c0_seq1,ocar58,_ , 1, -, -, -,  N,-,222,-,-
comp10279_c0_seq2,ocar59,S , 1, -, -, -,  N,-,166,-,-
comp10286_c0_seq1,ocar60,M , 5, -, -, -,  N,-,385,-,-
comp10299_c0_seq1,ocar61,S , 1, -, -, -,  N,-,290,-,-
comp10302_c0_seq1,ocar62,M , 3, -, -, -,  Y,-,384,-,-
comp10314_c0_seq1,ocar63,M , 3, hsap1576, mmus445, -,  Y,PGAM5,269,Pgam5,-
comp103299_c0_seq1,ocar64,_ , 4, -, -, -,  N,-,140,-,-
comp10330_c0_seq1,ocar65,_ , 2, -, -, -,  N,-,910,-,-
comp10332_c0_seq2,ocar66,_ , 3, -, -, -,  N,-,117,-,-
comp10333_c0_seq2,ocar67,_ , 1, -, -, -,  N,-,218,-,-
comp10346_c0_seq1,ocar68,M , 4, -, -, -,  N,-,403,-,-
comp10350_c0_seq1,ocar69,_ , 4, -, -, -,  N,-,112,-,-
comp10352_c0_seq1,ocar70,M , 2, -, -, -,  Y,-,457,-,-
comp10359_c0_seq1,ocar71,M , 4, hsap79, mmus370, scer450,  Y,ALDH4A1,573,Aldh4a1,PUT2
comp10364_c0_seq1,ocar72,_ , 1, -, -, -,  N,-,117,-,-
comp10365_c0_seq1,ocar73,_ , 3, -, -, -,  N,-,336,-,-
comp10369_c0_seq1,ocar74,_ , 1, -, -, -,  N,-,536,-,-
comp10370_c0_seq1,ocar75,_ , 2, -, -, -,  N,-,176,-,-
comp10376_c0_seq1,ocar76,S , 1, -, -, -,  N,-,275,-,-
comp10381_c0_seq2,ocar77,_ , 3, -, -, -,  N,-,115,-,-
comp10381_c0_seq2,ocar78,S , 1, -, -, -,  N,-,327,-,-
comp10382_c0_seq1,ocar79,_ , 5, -, -, -,  N,-,216,-,-
comp10384_c0_seq2,ocar80,S , 2, -, -, -,  N,-,300,-,-
comp10402_c0_seq1,ocar81,_ , 1, -, -, -,  N,-,101,-,-
comp10405_c0_seq1,ocar82,_ , 4, -, -, -,  N,-,425,-,-
comp10408_c0_seq1,ocar83,_ , 5, -, -, -,  N,-,190,-,-
comp10419_c0_seq1,ocar84,_ , 5, -, -, -,  N,-,116,-,-
comp10419_c0_seq1,ocar85,S , 2, -, -, -,  N,-,174,-,-
comp10419_c0_seq2,ocar86,M , 5, -, -, -,  N,-,221,-,-
comp10421_c0_seq1,ocar87,_ , 1, -, -, -,  N,-,191,-,-
comp10426_c0_seq1,ocar88,_ , 3, -, -, -,  N,-,555,-,-
comp10429_c0_seq1,ocar89,_ , 2, -, -, -,  N,-,349,-,-
comp10429_c0_seq2,ocar90,_ , 2, -, -, -,  N,-,136,-,-
comp10429_c0_seq2,ocar91,_ , 1, -, -, -,  N,-,141,-,-
comp10431_c0_seq1,ocar92,_ , 5, -, -, -,  N,-,214,-,-
comp10434_c0_seq1,ocar93,_ , 3, -, -, -,  N,-,199,-,-
comp10445_c0_seq1,ocar94,_ , 1, -, -, -,  N,-,369,-,-
comp10452_c0_seq1,ocar95,_ , 2, -, -, -,  N,-,944,-,-
comp10454_c0_seq1,ocar96,M , 4, -, -, -,  N,-,194,-,-
comp10454_c0_seq1,ocar97,M , 3, -, -, -,  Y,-,211,-,-
comp10454_c0_seq2,ocar98,M , 4, -, -, -,  N,-,344,-,-
comp10455_c0_seq1,ocar99,_ , 3, -, -, -,  N,-,143,-,-
comp10459_c0_seq2,ocar100,S , 2, -, -, -,  N,-,280,-,-
comp10472_c0_seq1,ocar101,_ , 3, -, -, -,  N,-,305,-,-
comp10487_c0_seq2,ocar102,M , 3, -, -, -,  Y,-,360,-,-
comp10487_c0_seq2,ocar103,M , 4, -, -, -,  N,-,112,-,-
comp10494_c0_seq1,ocar104,S , 3, -, -, -,  N,-,107,-,-
comp10495_c0_seq1,ocar105,_ , 5, -, -, scer259,  Y,-,1014,-,SPF1
comp10495_c0_seq1,ocar106,M , 5, -, -, -,  N,-,183,-,-
comp1049631_c0_seq1,ocar107,_ , 2, -, -, -,  N,-,111,-,-
comp10497_c0_seq2,ocar108,_ , 2, -, -, -,  N,-,555,-,-
comp10505_c0_seq1,ocar109,_ , 2, -, -, -,  N,-,247,-,-
comp10512_c0_seq1,ocar110,M , 3, -, -, -,  Y,-,236,-,-
comp1051371_c0_seq1,ocar111,_ , 2, -, -, -,  N,-,112,-,-
comp10516_c0_seq1,ocar112,_ , 2, -, -, -,  N,-,124,-,-
comp10516_c0_seq1,ocar113,_ , 5, -, -, -,  N,-,142,-,-
comp10517_c0_seq2,ocar114,_ , 5, -, -, -,  N,-,1133,-,-
comp10518_c0_seq1,ocar115,_ , 2, -, -, -,  N,-,150,-,-
comp10519_c0_seq1,ocar116,_ , 1, -, -, -,  N,-,405,-,-
comp10523_c0_seq1,ocar117,_ , 1, -, -, -,  N,-,137,-,-
comp10534_c0_seq1,ocar118,S , 5, -, -, -,  N,-,464,-,-
comp10540_c0_seq1,ocar119,M , 5, hsap671, mmus1435, -,  Y,CDC25C,569,Cdc25c,-
comp10560_c0_seq1,ocar120,M , 4, -, -, -,  N,-,491,-,-
comp10570_c0_seq1,ocar121,S , 3, -, -, -,  N,-,599,-,-
comp10573_c0_seq1,ocar122,_ , 4, -, -, -,  N,-,335,-,-
comp10574_c0_seq1,ocar123,M , 4, hsap136, mmus290, -,  Y,ACADM,423,Acadm,-
comp10576_c0_seq1,ocar124,_ , 2, -, -, -,  N,-,131,-,-
comp10584_c0_seq2,ocar125,_ , 3, -, -, -,  N,-,130,-,-
comp10584_c0_seq2,ocar126,S , 2, -, -, -,  N,-,146,-,-
comp10586_c0_seq2,ocar127,_ , 5, -, -, -,  N,-,641,-,-
comp10591_c0_seq1,ocar128,S , 2, -, -, -,  N,-,210,-,-
comp10591_c0_seq1,ocar129,_ , 1, -, -, -,  N,-,811,-,-
comp1060458_c0_seq1,ocar130,_ , 5, -, -, -,  N,-,118,-,-
comp10613_c0_seq1,ocar131,_ , 1, -, -, -,  N,-,167,-,-
comp10615_c0_seq2,ocar132,S , 3, -, -, -,  N,-,1002,-,-
comp10621_c0_seq1,ocar133,_ , 3, -, -, -,  N,-,316,-,-
comp10630_c0_seq1,ocar134,_ , 3, -, -, -,  N,-,139,-,-
comp10633_c0_seq1,ocar135,_ , 2, -, -, -,  N,-,181,-,-
comp10635_c0_seq1,ocar136,M , 5, -, -, -,  N,-,896,-,-
comp10636_c0_seq1,ocar137,_ , 1, -, -, -,  N,-,470,-,-
comp10640_c0_seq1,ocar138,M , 4, -, -, -,  N,-,266,-,-
comp10644_c0_seq2,ocar139,S , 3, -, -, -,  N,-,873,-,-
comp10646_c0_seq1,ocar140,M , 3, -, -, -,  Y,-,432,-,-
comp10650_c0_seq1,ocar141,_ , 1, -, -, scer361,  Y,-,220,-,YPT32
comp10660_c0_seq2,ocar142,S , 1, -, -, -,  N,-,877,-,-
comp10682_c0_seq1,ocar143,_ , 3, -, -, -,  N,-,298,-,-
comp10683_c0_seq1,ocar144,_ , 1, -, -, -,  N,-,331,-,-
comp10688_c0_seq1,ocar145,_ , 2, -, -, -,  N,-,278,-,-
comp10695_c0_seq1,ocar146,S , 2, -, -, -,  N,-,429,-,-
comp10700_c0_seq1,ocar147,S , 2, -, -, -,  N,-,501,-,-
comp10704_c0_seq2,ocar148,S , 5, -, -, -,  N,-,179,-,-
comp10709_c0_seq1,ocar149,S , 2, hsap1057, mmus160, -,  Y,STOM,309,Stom,-
comp10712_c0_seq2,ocar150,_ , 2, -, -, -,  N,-,404,-,-
comp10717_c0_seq1,ocar151,_ , 2, -, -, -,  N,-,206,-,-
comp10721_c0_seq1,ocar152,_ , 1, -, -, -,  N,-,323,-,-
comp1072550_c0_seq1,ocar153,_ , 3, -, -, -,  N,-,100,-,-
comp10726_c0_seq1,ocar154,_ , 3, -, -, -,  N,-,101,-,-
comp10726_c0_seq1,ocar155,_ , 2, -, -, -,  N,-,135,-,-
comp10730_c0_seq1,ocar156,_ , 2, -, -, scer609,  Y,-,448,-,TEF4
comp10733_c0_seq2,ocar157,_ , 5, -, -, -,  N,-,502,-,-
comp10749_c0_seq2,ocar158,S , 2, -, -, -,  N,-,300,-,-
comp10751_c0_seq1,ocar159,_ , 3, -, -, -,  N,-,761,-,-
comp10757_c0_seq2,ocar160,_ , 2, -, -, -,  N,-,584,-,-
comp10766_c0_seq2,ocar161,_ , 1, -, -, -,  N,-,280,-,-
comp10772_c0_seq1,ocar162,S , 3, -, -, -,  N,-,118,-,-
comp10781_c0_seq1,ocar163,_ , 5, -, -, -,  N,-,789,-,-
comp10782_c0_seq1,ocar164,_ , 3, -, -, -,  N,-,507,-,-
comp10789_c0_seq1,ocar165,_ , 5, -, -, -,  N,-,220,-,-
comp10795_c0_seq1,ocar166,S , 3, hsap1736, mmus790, -,  Y,RCN2,328,Rcn2,-
comp10801_c0_seq1,ocar167,_ , 1, -, -, -,  N,-,145,-,-
comp10810_c0_seq1,ocar168,S , 3, -, -, -,  N,-,245,-,-
comp10815_c0_seq1,ocar169,M , 4, -, -, -,  N,-,572,-,-
comp10818_c0_seq2,ocar170,_ , 2, -, -, -,  N,-,452,-,-
comp10825_c0_seq1,ocar171,S , 1, -, -, -,  N,-,494,-,-
comp10840_c0_seq1,ocar172,_ , 1, -, -, -,  N,-,261,-,-
comp10840_c0_seq2,ocar173,_ , 5, -, -, -,  N,-,102,-,-
comp10840_c0_seq2,ocar174,_ , 1, -, -, -,  N,-,178,-,-
comp10847_c0_seq1,ocar175,_ , 4, -, -, -,  N,-,168,-,-
comp10859_c0_seq1,ocar176,_ , 2, -, -, -,  N,-,352,-,-
comp10882_c0_seq1,ocar177,S , 4, -, -, -,  N,-,433,-,-
comp10885_c0_seq1,ocar178,S , 1, -, -, -,  N,-,338,-,-
comp10888_c0_seq1,ocar179,_ , 2, -, -, -,  N,-,188,-,-
comp10890_c0_seq1,ocar180,_ , 2, -, -, scer639,  Y,-,847,-,LOS1
comp10895_c0_seq2,ocar181,_ , 2, -, -, -,  N,-,414,-,-
comp10895_c0_seq2,ocar182,_ , 3, -, -, -,  N,-,154,-,-
comp10900_c0_seq1,ocar183,_ , 2, -, -, -,  N,-,528,-,-
comp10919_c0_seq2,ocar184,_ , 1, -, -, -,  N,-,363,-,-
comp10926_c0_seq2,ocar185,_ , 2, -, -, -,  N,-,438,-,-
comp10932_c0_seq2,ocar186,_ , 5, -, -, scer371,  Y,-,1354,-,GUS1
comp10938_c0_seq2,ocar187,_ , 5, -, -, -,  N,-,1307,-,-
comp10948_c0_seq1,ocar188,M , 2, -, -, -,  Y,-,1336,-,-
comp10950_c0_seq2,ocar189,_ , 5, -, -, -,  N,-,116,-,-
comp10955_c0_seq1,ocar190,_ , 1, -, -, -,  N,-,181,-,-
comp10964_c0_seq1,ocar191,_ , 3, -, -, -,  N,-,1704,-,-
comp10970_c0_seq2,ocar192,_ , 1, -, -, -,  N,-,171,-,-
comp10970_c0_seq2,ocar193,_ , 2, -, -, -,  N,-,143,-,-
comp10972_c0_seq1,ocar194,_ , 2, -, -, -,  N,-,178,-,-
comp10982_c0_seq2,ocar195,M , 5, -, -, -,  N,-,102,-,-
comp10983_c0_seq1,ocar196,_ , 3, -, -, -,  N,-,415,-,-
comp10983_c0_seq2,ocar197,_ , 5, -, -, -,  N,-,312,-,-
comp10983_c0_seq2,ocar198,_ , 3, -, -, -,  N,-,160,-,-
comp10984_c0_seq1,ocar199,_ , 5, -, -, -,  N,-,210,-,-
comp10993_c0_seq1,ocar200,S , 3, -, -, -,  N,-,276,-,-
comp11003_c0_seq1,ocar201,M , 2, hsap1046, mmus1496, scer306,  Y,AK3,222,Ak3,ADK2
comp11004_c0_seq1,ocar202,_ , 2, hsap42, mmus274, -,  Y,HAO2,362,Hao2,-
comp11009_c0_seq1,ocar203,_ , 2, -, -, -,  N,-,318,-,-
comp11010_c0_seq1,ocar204,S , 1, -, -, -,  N,-,443,-,-
comp11012_c0_seq1,ocar205,_ , 1, -, -, -,  N,-,146,-,-
comp11016_c0_seq1,ocar206,M , 5, -, -, -,  N,-,241,-,-
comp11023_c0_seq1,ocar207,S , 1, -, -, -,  N,-,551,-,-
comp11025_c0_seq1,ocar208,M , 5, -, -, -,  N,-,262,-,-
comp11028_c0_seq1,ocar209,_ , 2, -, -, -,  N,-,390,-,-
comp11028_c0_seq2,ocar210,_ , 2, -, -, -,  N,-,387,-,-
comp11029_c0_seq2,ocar211,_ , 2, -, -, -,  N,-,330,-,-
comp11035_c0_seq1,ocar212,M , 5, -, -, -,  N,-,243,-,-
comp11038_c0_seq1,ocar213,_ , 2, -, -, -,  N,-,115,-,-
comp11055_c0_seq2,ocar214,_ , 5, -, -, -,  N,-,318,-,-
comp11061_c0_seq1,ocar215,_ , 3, -, -, -,  N,-,103,-,-
comp11062_c0_seq2,ocar216,_ , 4, -, -, -,  N,-,135,-,-
comp11064_c0_seq1,ocar217,_ , 1, -, -, -,  N,-,524,-,-
comp11081_c0_seq1,ocar218,_ , 3, hsap831, mmus898, -,  Y,RAB32,210,Rab32,-
comp11082_c0_seq1,ocar219,S , 4, -, -, -,  N,-,200,-,-
comp11097_c0_seq1,ocar220,_ , 3, -, -, -,  N,-,826,-,-
comp11098_c0_seq2,ocar221,M , 4, -, -, -,  N,-,802,-,-
comp11100_c0_seq1,ocar222,S , 1, -, -, -,  N,-,188,-,-
comp11102_c0_seq1,ocar223,_ , 1, -, -, -,  N,-,512,-,-
comp11104_c0_seq1,ocar224,S , 3, -, -, -,  N,-,555,-,-
comp11112_c0_seq1,ocar225,_ , 1, -, -, -,  N,-,197,-,-
comp11115_c0_seq1,ocar226,_ , 5, -, -, -,  N,-,128,-,-
comp11116_c0_seq1,ocar227,_ , 4, -, -, -,  N,-,386,-,-
comp11121_c0_seq1,ocar228,S , 1, -, -, -,  N,-,147,-,-
comp11124_c0_seq1,ocar229,_ , 2, -, -, -,  N,-,127,-,-
comp11125_c0_seq2,ocar230,_ , 1, -, -, -,  N,-,284,-,-
comp11126_c0_seq1,ocar231,_ , 1, -, -, -,  N,-,470,-,-
comp11133_c0_seq1,ocar232,M , 2, -, -, -,  Y,-,407,-,-
comp11135_c0_seq1,ocar233,S , 2, -, -, -,  N,-,433,-,-
comp1114524_c0_seq1,ocar234,S , 4, -, -, -,  N,-,104,-,-
comp111464_c0_seq1,ocar235,_ , 4, -, -, -,  N,-,100,-,-
comp11148_c0_seq1,ocar236,_ , 5, -, -, -,  N,-,769,-,-
comp11150_c0_seq1,ocar237,_ , 4, -, -, -,  N,-,333,-,-
comp11152_c0_seq1,ocar238,_ , 3, -, -, -,  N,-,367,-,-
comp11160_c0_seq1,ocar239,_ , 2, -, -, -,  N,-,124,-,-
comp11167_c0_seq1,ocar240,M , 2, -, -, -,  Y,-,723,-,-
comp11176_c0_seq1,ocar241,_ , 1, -, -, -,  N,-,265,-,-
comp11177_c0_seq2,ocar242,_ , 2, -, -, -,  N,-,414,-,-
comp11181_c0_seq1,ocar243,_ , 5, -, -, -,  N,-,262,-,-
comp11183_c0_seq1,ocar244,_ , 1, -, -, -,  N,-,195,-,-
comp11199_c0_seq1,ocar245,_ , 5, -, -, -,  N,-,543,-,-
comp11203_c0_seq1,ocar246,M , 2, -, -, -,  Y,-,115,-,-
comp11213_c0_seq1,ocar247,M , 5, -, -, -,  N,-,100,-,-
comp11215_c0_seq2,ocar248,M , 2, hsap439, mmus827, scer738,  Y,LARS2,812,Lars2,NAM2
comp11217_c0_seq1,ocar249,_ , 1, -, -, -,  N,-,550,-,-
comp11219_c0_seq2,ocar250,_ , 2, -, -, -,  N,-,538,-,-
comp11230_c0_seq1,ocar251,_ , 1, -, -, -,  N,-,291,-,-
comp11238_c0_seq1,ocar252,_ , 4, -, -, -,  N,-,435,-,-
comp11243_c0_seq1,ocar253,_ , 2, -, -, -,  N,-,209,-,-
comp11251_c0_seq1,ocar254,_ , 1, -, -, -,  N,-,450,-,-
comp11255_c0_seq1,ocar255,S , 1, -, -, -,  N,-,384,-,-
comp11264_c0_seq1,ocar256,_ , 3, -, -, -,  N,-,190,-,-
comp11270_c0_seq1,ocar257,_ , 4, -, -, -,  N,-,466,-,-
comp11273_c0_seq1,ocar258,M , 4, -, -, -,  N,-,271,-,-
comp11275_c0_seq2,ocar259,_ , 4, -, -, -,  N,-,146,-,-
comp11277_c0_seq1,ocar260,_ , 5, -, -, -,  N,-,651,-,-
comp11279_c0_seq1,ocar261,_ , 5, -, -, -,  N,-,270,-,-
comp11287_c0_seq1,ocar262,_ , 4, -, -, -,  N,-,1453,-,-
comp11290_c0_seq2,ocar263,_ , 2, -, -, -,  N,-,834,-,-
comp11292_c0_seq1,ocar264,_ , 1, -, -, -,  N,-,553,-,-
comp11292_c0_seq2,ocar265,_ , 1, -, -, -,  N,-,523,-,-
comp11293_c0_seq1,ocar266,M , 2, -, -, -,  N,-,399,-,-
comp11293_c0_seq2,ocar267,_ , 2, -, -, -,  N,-,117,-,-
comp11299_c0_seq1,ocar268,M , 5, -, -, -,  N,-,180,-,-
comp11300_c0_seq1,ocar269,_ , 1, -, -, -,  N,-,447,-,-
comp11307_c0_seq1,ocar270,S , 2, -, -, -,  N,-,376,-,-
comp11329_c0_seq1,ocar271,_ , 3, -, -, -,  N,-,184,-,-
comp11335_c0_seq1,ocar272,_ , 3, -, -, -,  N,-,944,-,-
comp11353_c0_seq1,ocar273,_ , 4, -, -, -,  N,-,979,-,-
comp11374_c0_seq1,ocar274,_ , 3, -, -, -,  N,-,707,-,-
comp11388_c0_seq1,ocar275,_ , 3, -, -, -,  N,-,198,-,-
comp11388_c0_seq2,ocar276,_ , 5, -, -, -,  N,-,128,-,-
comp11390_c0_seq2,ocar277,M , 3, -, -, -,  Y,-,490,-,-
comp11406_c0_seq1,ocar278,_ , 1, -, -, -,  N,-,602,-,-
comp11414_c0_seq1,ocar279,M , 4, hsap1767, mmus1387, scer819,  Y,MRPL28,171,Mrpl28,MRPL24
comp11414_c0_seq2,ocar280,_ , 2, -, -, -,  N,-,113,-,-
comp11438_c0_seq1,ocar281,M , 5, -, -, -,  N,-,193,-,-
comp11449_c0_seq1,ocar282,S , 2, -, -, -,  N,-,424,-,-
comp11455_c0_seq1,ocar283,_ , 3, -, -, -,  N,-,2830,-,-
comp11461_c0_seq1,ocar284,S , 4, -, -, -,  N,-,1819,-,-
comp11463_c0_seq1,ocar285,_ , 5, -, -, -,  N,-,243,-,-
comp11469_c0_seq1,ocar286,_ , 2, -, -, -,  N,-,213,-,-
comp11474_c0_seq1,ocar287,_ , 4, -, -, -,  N,-,155,-,-
comp11497_c0_seq1,ocar288,_ , 4, -, -, -,  N,-,169,-,-
comp11497_c0_seq2,ocar289,_ , 3, -, -, -,  N,-,170,-,-
comp11504_c0_seq1,ocar290,_ , 2, -, -, -,  N,-,177,-,-
comp11517_c0_seq1,ocar291,S , 1, -, -, -,  N,-,1233,-,-
comp11517_c0_seq1,ocar292,M , 3, -, -, -,  N,-,455,-,-
comp11528_c0_seq1,ocar293,S , 1, -, -, -,  N,-,100,-,-
comp11570_c0_seq1,ocar294,M , 3, -, -, -,  Y,-,186,-,-
comp11590_c0_seq1,ocar295,M , 3, -, -, -,  Y,-,315,-,-
comp11600_c0_seq1,ocar296,S , 3, -, -, -,  N,-,118,-,-
comp11613_c0_seq1,ocar297,_ , 3, -, -, -,  N,-,1015,-,-
comp11617_c0_seq1,ocar298,_ , 1, -, -, -,  N,-,246,-,-
comp11617_c0_seq2,ocar299,_ , 5, -, -, -,  N,-,223,-,-
comp11619_c0_seq1,ocar300,M , 4, -, -, -,  N,-,163,-,-
comp11619_c0_seq2,ocar301,M , 5, hsap1320, mmus1489, scer932,  Y,SDHAF2,146,Sdhaf2,SDH5
comp11625_c0_seq1,ocar302,_ , 2, -, -, -,  N,-,262,-,-
comp11629_c0_seq1,ocar303,_ , 3, -, -, -,  N,-,139,-,-
comp11634_c0_seq1,ocar304,_ , 2, -, -, -,  N,-,354,-,-
comp11635_c0_seq1,ocar305,_ , 1, hsap1430, -, -,  Y,NLRX1,450,-,-
comp1164399_c0_seq1,ocar306,_ , 5, -, -, -,  N,-,108,-,-
comp11662_c0_seq2,ocar307,_ , 3, -, -, -,  N,-,301,-,-
comp11684_c0_seq1,ocar308,S , 2, -, -, -,  N,-,460,-,-
comp116920_c0_seq1,ocar309,_ , 1, -, -, -,  N,-,204,-,-
comp11693_c0_seq1,ocar310,_ , 2, -, -, -,  N,-,257,-,-
comp11719_c0_seq1,ocar311,_ , 2, -, -, -,  N,-,336,-,-
comp11723_c0_seq1,ocar312,_ , 2, -, -, -,  N,-,260,-,-
comp11724_c0_seq1,ocar313,_ , 2, -, -, -,  N,-,173,-,-
comp117380_c0_seq1,ocar314,_ , 2, -, -, -,  N,-,400,-,-
comp11744_c0_seq2,ocar315,S , 2, -, -, -,  N,-,329,-,-
comp11748_c0_seq2,ocar316,S , 1, -, -, -,  N,-,225,-,-
comp11752_c0_seq1,ocar317,M , 3, -, -, -,  Y,-,1005,-,-
comp11754_c0_seq1,ocar318,S , 5, -, -, -,  N,-,307,-,-
comp11757_c0_seq1,ocar319,_ , 3, -, -, -,  N,-,144,-,-
comp11770_c0_seq1,ocar320,M , 3, -, -, -,  Y,-,119,-,-
comp11786_c0_seq1,ocar321,_ , 2, -, -, -,  N,-,131,-,-
comp11788_c0_seq1,ocar322,M , 4, -, -, -,  N,-,110,-,-
comp11798_c0_seq1,ocar323,_ , 1, -, -, -,  N,-,120,-,-
comp1181026_c0_seq1,ocar324,M , 3, -, -, -,  Y,-,109,-,-
comp11815_c0_seq1,ocar325,_ , 4, -, -, -,  N,-,411,-,-
comp11815_c0_seq2,ocar326,_ , 4, -, -, -,  N,-,157,-,-
comp11815_c0_seq2,ocar327,_ , 3, -, -, -,  N,-,306,-,-
comp11816_c0_seq1,ocar328,_ , 4, -, -, -,  N,-,268,-,-
comp118174_c0_seq1,ocar329,_ , 1, -, -, -,  N,-,343,-,-
comp11845_c0_seq1,ocar330,_ , 2, -, -, -,  N,-,762,-,-
comp11849_c0_seq1,ocar331,_ , 2, -, -, -,  N,-,2043,-,-
comp11890_c0_seq1,ocar332,_ , 2, -, -, -,  N,-,290,-,-
comp11931_c0_seq1,ocar333,_ , 1, -, -, -,  N,-,236,-,-
comp11932_c0_seq1,ocar334,_ , 4, -, -, -,  N,-,229,-,-
comp11948_c0_seq2,ocar335,M , 2, -, -, -,  Y,-,409,-,-
comp11955_c0_seq1,ocar336,_ , 3, -, -, -,  N,-,244,-,-
comp11964_c0_seq1,ocar337,S , 2, -, -, -,  N,-,211,-,-
comp11984_c0_seq1,ocar338,S , 2, -, -, -,  N,-,257,-,-
comp11991_c0_seq1,ocar339,S , 2, -, -, -,  N,-,538,-,-
comp11998_c0_seq2,ocar340,M , 3, -, -, -,  Y,-,255,-,-
