transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
jgi|Nemve1|100237|e_gw.56.84.1|m.21783 jgi|Nemve1|100237|e_gw.56.84.1|g.21783  ,nvec26,_,2,-,-,-,N,-,238,-,-
jgi|Nemve1|100259|e_gw.56.184.1|m.21741 jgi|Nemve1|100259|e_gw.56.184.1|g.21741  ,nvec27,_,2,-,-,-,N,-,133,-,-
jgi|Nemve1|100263|e_gw.56.123.1|m.21688 jgi|Nemve1|100263|e_gw.56.123.1|g.21688  ,nvec28,_,4,-,-,-,N,-,196,-,-
jgi|Nemve1|100266|e_gw.56.95.1|m.21775 jgi|Nemve1|100266|e_gw.56.95.1|g.21775  ,nvec29,_,2,-,-,-,N,-,294,-,-
jgi|Nemve1|100273|e_gw.56.26.1|m.21720 jgi|Nemve1|100273|e_gw.56.26.1|g.21720  ,nvec30,_,3,-,-,-,N,-,319,-,-
jgi|Nemve1|100278|e_gw.56.102.1|m.21781 jgi|Nemve1|100278|e_gw.56.102.1|g.21781  ,nvec31,_,3,hsap1646,mmus1226,-,Y,BCL2L2,143,Bcl2l2,-
jgi|Nemve1|100285|e_gw.56.66.1|m.21692 jgi|Nemve1|100285|e_gw.56.66.1|g.21692  ,nvec32,_,1,-,-,-,N,-,107,-,-
jgi|Nemve1|100297|e_gw.56.61.1|m.21794 jgi|Nemve1|100297|e_gw.56.61.1|g.21794  ,nvec33,_,2,-,-,-,N,-,114,-,-
jgi|Nemve1|100311|e_gw.56.93.1|m.21743 jgi|Nemve1|100311|e_gw.56.93.1|g.21743  ,nvec34,_,5,-,-,-,N,-,213,-,-
jgi|Nemve1|100325|e_gw.56.137.1|m.21697 jgi|Nemve1|100325|e_gw.56.137.1|g.21697  ,nvec35,_,2,-,-,-,N,-,126,-,-
jgi|Nemve1|100326|e_gw.56.129.1|m.21714 jgi|Nemve1|100326|e_gw.56.129.1|g.21714  ,nvec36,_,1,-,-,-,N,-,176,-,-
jgi|Nemve1|100329|e_gw.56.3.1|m.21699 jgi|Nemve1|100329|e_gw.56.3.1|g.21699  ,nvec37,_,2,-,-,-,N,-,156,-,-
jgi|Nemve1|100333|e_gw.56.48.1|m.21773 jgi|Nemve1|100333|e_gw.56.48.1|g.21773  ,nvec38,_,2,-,-,-,N,-,171,-,-
jgi|Nemve1|100342|e_gw.56.108.1|m.21767 jgi|Nemve1|100342|e_gw.56.108.1|g.21767  ,nvec39,_,5,-,-,-,N,-,559,-,-
jgi|Nemve1|100352|e_gw.56.19.1|m.21717 jgi|Nemve1|100352|e_gw.56.19.1|g.21717  ,nvec40,_,2,-,-,-,N,-,618,-,-
jgi|Nemve1|100359|e_gw.56.75.1|m.21778 jgi|Nemve1|100359|e_gw.56.75.1|g.21778  ,nvec41,_,4,-,-,-,N,-,1220,-,-
jgi|Nemve1|100369|e_gw.57.41.1|m.34813 jgi|Nemve1|100369|e_gw.57.41.1|g.34813  ,nvec42,_,2,-,-,-,N,-,376,-,-
jgi|Nemve1|100372|e_gw.57.78.1|m.34774 jgi|Nemve1|100372|e_gw.57.78.1|g.34774  ,nvec43,_,2,-,-,-,N,-,203,-,-
jgi|Nemve1|100379|e_gw.57.17.1|m.34791 jgi|Nemve1|100379|e_gw.57.17.1|g.34791  ,nvec44,_,2,-,-,-,N,-,694,-,-
jgi|Nemve1|100385|e_gw.57.73.1|m.34829 jgi|Nemve1|100385|e_gw.57.73.1|g.34829  ,nvec45,S,1,-,-,-,N,-,305,-,-
jgi|Nemve1|100386|e_gw.57.65.1|m.34745 jgi|Nemve1|100386|e_gw.57.65.1|g.34745  ,nvec46,S,1,-,-,-,N,-,306,-,-
jgi|Nemve1|100394|e_gw.57.49.1|m.34713 jgi|Nemve1|100394|e_gw.57.49.1|g.34713  ,nvec47,_,2,-,-,-,N,-,202,-,-
jgi|Nemve1|10039|gw.203.19.1|m.4737 jgi|Nemve1|10039|gw.203.19.1|g.4737  ,nvec48,S,4,-,-,-,N,-,1041,-,-
jgi|Nemve1|100407|e_gw.57.36.1|m.34806 jgi|Nemve1|100407|e_gw.57.36.1|g.34806  ,nvec49,S,1,-,-,-,N,-,562,-,-
jgi|Nemve1|100423|e_gw.57.68.1|m.34824 jgi|Nemve1|100423|e_gw.57.68.1|g.34824  ,nvec50,S,1,-,-,-,N,-,282,-,-
jgi|Nemve1|100429|e_gw.57.179.1|m.34717 jgi|Nemve1|100429|e_gw.57.179.1|g.34717  ,nvec51,_,1,-,-,-,N,-,137,-,-
jgi|Nemve1|100430|e_gw.57.126.1|m.34724 jgi|Nemve1|100430|e_gw.57.126.1|g.34724  ,nvec52,S,1,-,-,-,N,-,503,-,-
jgi|Nemve1|100433|e_gw.57.71.1|m.34823 jgi|Nemve1|100433|e_gw.57.71.1|g.34823  ,nvec53,S,1,-,-,-,N,-,284,-,-
jgi|Nemve1|100449|e_gw.57.215.1|m.34715 jgi|Nemve1|100449|e_gw.57.215.1|g.34715  ,nvec54,_,3,-,-,-,N,-,111,-,-
jgi|Nemve1|100451|e_gw.57.87.1|m.34714 jgi|Nemve1|100451|e_gw.57.87.1|g.34714  ,nvec55,_,2,-,-,-,N,-,230,-,-
jgi|Nemve1|10046|gw.255.3.1|m.27549 jgi|Nemve1|10046|gw.255.3.1|g.27549  ,nvec56,M,5,-,-,-,N,-,921,-,-
jgi|Nemve1|100473|e_gw.57.21.1|m.34760 jgi|Nemve1|100473|e_gw.57.21.1|g.34760  ,nvec57,M,4,-,-,-,N,-,172,-,-
jgi|Nemve1|100473|e_gw.57.21.1|m.34759 jgi|Nemve1|100473|e_gw.57.21.1|g.34759  ,nvec58,_,1,-,-,-,N,-,406,-,-
jgi|Nemve1|100491|e_gw.57.164.1|m.34784 jgi|Nemve1|100491|e_gw.57.164.1|g.34784  ,nvec59,_,3,-,-,-,N,-,124,-,-
jgi|Nemve1|100491|e_gw.57.164.1|m.34783 jgi|Nemve1|100491|e_gw.57.164.1|g.34783  ,nvec60,_,1,-,-,-,N,-,307,-,-
jgi|Nemve1|100508|e_gw.57.24.1|m.34776 jgi|Nemve1|100508|e_gw.57.24.1|g.34776  ,nvec61,_,5,-,-,-,N,-,476,-,-
jgi|Nemve1|100512|e_gw.57.135.1|m.34729 jgi|Nemve1|100512|e_gw.57.135.1|g.34729  ,nvec62,_,5,-,-,-,N,-,202,-,-
jgi|Nemve1|100515|e_gw.57.2.1|m.34777 jgi|Nemve1|100515|e_gw.57.2.1|g.34777  ,nvec63,_,2,-,-,-,N,-,1730,-,-
jgi|Nemve1|100525|e_gw.57.130.1|m.34727 jgi|Nemve1|100525|e_gw.57.130.1|g.34727  ,nvec64,_,1,-,-,-,N,-,237,-,-
jgi|Nemve1|100526|e_gw.57.175.1|m.34743 jgi|Nemve1|100526|e_gw.57.175.1|g.34743  ,nvec65,_,2,-,-,-,N,-,182,-,-
jgi|Nemve1|100529|e_gw.57.159.1|m.34835 jgi|Nemve1|100529|e_gw.57.159.1|g.34835  ,nvec66,S,2,-,-,-,N,-,556,-,-
jgi|Nemve1|100552|e_gw.57.203.1|m.34742 jgi|Nemve1|100552|e_gw.57.203.1|g.34742  ,nvec67,_,1,-,-,-,N,-,227,-,-
jgi|Nemve1|100576|e_gw.57.165.1|m.34845 jgi|Nemve1|100576|e_gw.57.165.1|g.34845  ,nvec68,_,2,-,-,-,N,-,370,-,-
jgi|Nemve1|100591|e_gw.58.223.1|m.17711 jgi|Nemve1|100591|e_gw.58.223.1|g.17711  ,nvec69,_,3,-,-,-,N,-,128,-,-
jgi|Nemve1|100664|e_gw.58.232.1|m.17756 jgi|Nemve1|100664|e_gw.58.232.1|g.17756  ,nvec70,S,1,-,-,-,N,-,127,-,-
jgi|Nemve1|10066|gw.302.2.1|m.28377 jgi|Nemve1|10066|gw.302.2.1|g.28377  ,nvec71,_,1,-,-,-,N,-,917,-,-
jgi|Nemve1|100670|e_gw.58.199.1|m.17704 jgi|Nemve1|100670|e_gw.58.199.1|g.17704  ,nvec72,_,4,-,-,-,N,-,296,-,-
jgi|Nemve1|100691|e_gw.58.181.1|m.17705 jgi|Nemve1|100691|e_gw.58.181.1|g.17705  ,nvec73,_,2,-,-,-,N,-,837,-,-
jgi|Nemve1|100694|e_gw.58.64.1|m.17798 jgi|Nemve1|100694|e_gw.58.64.1|g.17798  ,nvec74,_,2,-,-,-,N,-,172,-,-
jgi|Nemve1|100698|e_gw.58.157.1|m.17790 jgi|Nemve1|100698|e_gw.58.157.1|g.17790  ,nvec75,M,3,hsap910,mmus514,scer250,Y,ACN9,116,Acn9,SDH7
jgi|Nemve1|100712|e_gw.58.35.1|m.17775 jgi|Nemve1|100712|e_gw.58.35.1|g.17775  ,nvec76,_,1,hsap1825,mmus686,-,Y,PDP2,393,Pdp2,-
jgi|Nemve1|100717|e_gw.58.270.1|m.17773 jgi|Nemve1|100717|e_gw.58.270.1|g.17773  ,nvec77,_,1,-,-,-,N,-,127,-,-
jgi|Nemve1|100718|e_gw.58.19.1|m.17749 jgi|Nemve1|100718|e_gw.58.19.1|g.17749  ,nvec78,_,2,-,-,scer942,N,-,668,-,PPM2
jgi|Nemve1|10072|gw.164.3.1|m.27406 jgi|Nemve1|10072|gw.164.3.1|g.27406  ,nvec79,_,2,-,-,-,N,-,874,-,-
jgi|Nemve1|10072|gw.164.3.1|m.27407 jgi|Nemve1|10072|gw.164.3.1|g.27407  ,nvec80,_,2,-,-,-,N,-,146,-,-
jgi|Nemve1|100734|e_gw.58.107.1|m.17661 jgi|Nemve1|100734|e_gw.58.107.1|g.17661  ,nvec81,_,2,-,-,-,N,-,435,-,-
jgi|Nemve1|100737|e_gw.58.225.1|m.17737 jgi|Nemve1|100737|e_gw.58.225.1|g.17737  ,nvec82,_,4,-,-,-,N,-,147,-,-
jgi|Nemve1|100746|e_gw.58.327.1|m.17765 jgi|Nemve1|100746|e_gw.58.327.1|g.17765  ,nvec83,_,1,-,-,-,N,-,275,-,-
jgi|Nemve1|100754|e_gw.58.330.1|m.17730 jgi|Nemve1|100754|e_gw.58.330.1|g.17730  ,nvec84,_,2,-,-,-,N,-,206,-,-
jgi|Nemve1|100769|e_gw.58.166.1|m.17719 jgi|Nemve1|100769|e_gw.58.166.1|g.17719  ,nvec85,_,3,-,-,-,N,-,437,-,-
jgi|Nemve1|100782|e_gw.58.44.1|m.17800 jgi|Nemve1|100782|e_gw.58.44.1|g.17800  ,nvec86,M,5,-,-,-,N,-,139,-,-
jgi|Nemve1|100782|e_gw.58.44.1|m.17799 jgi|Nemve1|100782|e_gw.58.44.1|g.17799  ,nvec87,S,1,-,-,-,N,-,452,-,-
jgi|Nemve1|100799|e_gw.58.357.1|m.17759 jgi|Nemve1|100799|e_gw.58.357.1|g.17759  ,nvec88,S,1,-,-,-,N,-,126,-,-
jgi|Nemve1|100805|e_gw.58.108.1|m.17702 jgi|Nemve1|100805|e_gw.58.108.1|g.17702  ,nvec89,_,2,-,-,-,N,-,341,-,-
jgi|Nemve1|100834|e_gw.58.191.1|m.17697 jgi|Nemve1|100834|e_gw.58.191.1|g.17697  ,nvec90,_,2,-,-,-,N,-,502,-,-
jgi|Nemve1|100868|e_gw.58.133.1|m.17666 jgi|Nemve1|100868|e_gw.58.133.1|g.17666  ,nvec91,_,2,-,-,-,N,-,144,-,-
jgi|Nemve1|100869|e_gw.58.32.1|m.17748 jgi|Nemve1|100869|e_gw.58.32.1|g.17748  ,nvec92,_,2,-,-,-,N,-,488,-,-
jgi|Nemve1|100873|e_gw.58.24.1|m.17782 jgi|Nemve1|100873|e_gw.58.24.1|g.17782  ,nvec93,_,2,-,-,-,N,-,484,-,-
jgi|Nemve1|100890|e_gw.58.104.1|m.17751 jgi|Nemve1|100890|e_gw.58.104.1|g.17751  ,nvec94,_,2,-,-,-,N,-,411,-,-
jgi|Nemve1|100901|e_gw.58.189.1|m.17741 jgi|Nemve1|100901|e_gw.58.189.1|g.17741  ,nvec95,_,2,-,-,-,N,-,287,-,-
jgi|Nemve1|100902|e_gw.58.324.1|m.17812 jgi|Nemve1|100902|e_gw.58.324.1|g.17812  ,nvec96,_,1,-,-,-,N,-,120,-,-
jgi|Nemve1|100921|e_gw.58.171.1|m.17713 jgi|Nemve1|100921|e_gw.58.171.1|g.17713  ,nvec97,M,2,-,-,-,Y,-,600,-,-
jgi|Nemve1|100921|e_gw.58.171.1|m.17714 jgi|Nemve1|100921|e_gw.58.171.1|g.17714  ,nvec98,M,1,-,-,-,Y,-,600,-,-
jgi|Nemve1|100921|e_gw.58.171.1|m.17712 jgi|Nemve1|100921|e_gw.58.171.1|g.17712  ,nvec99,_,2,-,-,-,N,-,601,-,-
jgi|Nemve1|100925|e_gw.58.54.1|m.17715 jgi|Nemve1|100925|e_gw.58.54.1|g.17715  ,nvec100,_,1,-,-,-,N,-,238,-,-
jgi|Nemve1|10094|gw.178.1.1|m.28658 jgi|Nemve1|10094|gw.178.1.1|g.28658  ,nvec101,_,1,-,-,-,N,-,323,-,-
jgi|Nemve1|10094|gw.178.1.1|m.28657 jgi|Nemve1|10094|gw.178.1.1|g.28657  ,nvec102,_,4,-,-,-,N,-,481,-,-
jgi|Nemve1|100982|e_gw.59.154.1|m.12548 jgi|Nemve1|100982|e_gw.59.154.1|g.12548  ,nvec103,_,2,hsap451,mmus806,-,Y,MRPS22,235,Mrps22,-
jgi|Nemve1|101008|e_gw.59.109.1|m.12524 jgi|Nemve1|101008|e_gw.59.109.1|g.12524  ,nvec104,S,3,-,-,-,N,-,302,-,-
jgi|Nemve1|101008|e_gw.59.109.1|m.12525 jgi|Nemve1|101008|e_gw.59.109.1|g.12525  ,nvec105,_,3,-,-,-,N,-,102,-,-
jgi|Nemve1|101013|e_gw.59.90.1|m.12537 jgi|Nemve1|101013|e_gw.59.90.1|g.12537  ,nvec106,_,3,hsap28,mmus379,-,Y,MFN2,758,Mfn2,-
jgi|Nemve1|101020|e_gw.59.66.1|m.12605 jgi|Nemve1|101020|e_gw.59.66.1|g.12605  ,nvec107,_,4,-,-,-,N,-,199,-,-
jgi|Nemve1|101023|e_gw.59.21.1|m.12579 jgi|Nemve1|101023|e_gw.59.21.1|g.12579  ,nvec108,M,3,-,-,-,Y,-,473,-,-
jgi|Nemve1|101025|e_gw.59.13.1|m.12570 jgi|Nemve1|101025|e_gw.59.13.1|g.12570  ,nvec109,_,2,-,-,-,N,-,588,-,-
jgi|Nemve1|101055|e_gw.59.69.1|m.12601 jgi|Nemve1|101055|e_gw.59.69.1|g.12601  ,nvec110,_,2,-,-,-,N,-,115,-,-
jgi|Nemve1|101069|e_gw.59.139.1|m.12554 jgi|Nemve1|101069|e_gw.59.139.1|g.12554  ,nvec111,_,1,-,-,scer756,N,-,513,-,SPT5
jgi|Nemve1|10106|gw.169.3.1|m.21529 jgi|Nemve1|10106|gw.169.3.1|g.21529  ,nvec112,M,3,-,-,-,Y,-,823,-,-
jgi|Nemve1|10106|gw.169.3.1|m.21530 jgi|Nemve1|10106|gw.169.3.1|g.21530  ,nvec113,_,4,-,-,-,N,-,446,-,-
jgi|Nemve1|101072|e_gw.59.48.1|m.12619 jgi|Nemve1|101072|e_gw.59.48.1|g.12619  ,nvec114,S,1,-,-,-,N,-,296,-,-
jgi|Nemve1|101077|e_gw.59.150.1|m.12557 jgi|Nemve1|101077|e_gw.59.150.1|g.12557  ,nvec115,M,3,-,-,-,Y,-,280,-,-
jgi|Nemve1|101079|e_gw.59.142.1|m.12560 jgi|Nemve1|101079|e_gw.59.142.1|g.12560  ,nvec116,_,1,-,-,-,N,-,401,-,-
jgi|Nemve1|10108|gw.163.2.1|m.28314 jgi|Nemve1|10108|gw.163.2.1|g.28314  ,nvec117,_,2,-,-,-,N,-,678,-,-
jgi|Nemve1|10108|gw.163.2.1|m.28315 jgi|Nemve1|10108|gw.163.2.1|g.28315  ,nvec118,_,4,-,-,-,N,-,664,-,-
jgi|Nemve1|101093|e_gw.59.182.1|m.12644 jgi|Nemve1|101093|e_gw.59.182.1|g.12644  ,nvec119,M,3,-,-,-,Y,-,253,-,-
jgi|Nemve1|101105|e_gw.59.22.1|m.12582 jgi|Nemve1|101105|e_gw.59.22.1|g.12582  ,nvec120,M,3,-,-,-,Y,-,473,-,-
jgi|Nemve1|101112|e_gw.59.70.1|m.12600 jgi|Nemve1|101112|e_gw.59.70.1|g.12600  ,nvec121,_,2,-,-,-,N,-,115,-,-
jgi|Nemve1|101120|e_gw.59.46.1|m.12618 jgi|Nemve1|101120|e_gw.59.46.1|g.12618  ,nvec122,S,1,-,-,-,N,-,292,-,-
jgi|Nemve1|101124|e_gw.59.202.1|m.12538 jgi|Nemve1|101124|e_gw.59.202.1|g.12538  ,nvec123,_,2,-,-,-,N,-,198,-,-
jgi|Nemve1|101127|e_gw.59.140.1|m.12552 jgi|Nemve1|101127|e_gw.59.140.1|g.12552  ,nvec124,_,4,-,-,-,N,-,142,-,-
jgi|Nemve1|101127|e_gw.59.140.1|m.12549 jgi|Nemve1|101127|e_gw.59.140.1|g.12549  ,nvec125,_,4,-,-,-,N,-,328,-,-
jgi|Nemve1|101127|e_gw.59.140.1|m.12551 jgi|Nemve1|101127|e_gw.59.140.1|g.12551  ,nvec126,_,2,-,-,-,N,-,168,-,-
jgi|Nemve1|101127|e_gw.59.140.1|m.12550 jgi|Nemve1|101127|e_gw.59.140.1|g.12550  ,nvec127,_,2,-,-,-,N,-,180,-,-
jgi|Nemve1|10112|gw.209.7.1|m.23311 jgi|Nemve1|10112|gw.209.7.1|g.23311  ,nvec128,S,2,-,-,-,N,-,246,-,-
jgi|Nemve1|10112|gw.209.7.1|m.23310 jgi|Nemve1|10112|gw.209.7.1|g.23310  ,nvec129,_,2,-,-,-,N,-,726,-,-
jgi|Nemve1|101137|e_gw.59.33.1|m.12603 jgi|Nemve1|101137|e_gw.59.33.1|g.12603  ,nvec130,_,1,-,-,-,N,-,253,-,-
jgi|Nemve1|10113|gw.217.3.1|m.28544 jgi|Nemve1|10113|gw.217.3.1|g.28544  ,nvec131,_,3,-,-,-,N,-,1459,-,-
jgi|Nemve1|10114|gw.208.2.1|m.27513 jgi|Nemve1|10114|gw.208.2.1|g.27513  ,nvec132,_,1,-,-,-,N,-,726,-,-
jgi|Nemve1|10114|gw.208.2.1|m.27514 jgi|Nemve1|10114|gw.208.2.1|g.27514  ,nvec133,_,5,-,-,-,N,-,702,-,-
jgi|Nemve1|101150|e_gw.59.65.1|m.12599 jgi|Nemve1|101150|e_gw.59.65.1|g.12599  ,nvec134,_,1,-,-,-,N,-,124,-,-
jgi|Nemve1|101157|e_gw.59.9.1|m.12630 jgi|Nemve1|101157|e_gw.59.9.1|g.12630  ,nvec135,_,4,-,-,-,N,-,567,-,-
jgi|Nemve1|101175|e_gw.60.69.1|m.14646 jgi|Nemve1|101175|e_gw.60.69.1|g.14646  ,nvec136,M,2,-,-,-,Y,-,182,-,-
jgi|Nemve1|101176|e_gw.60.8.1|m.14595 jgi|Nemve1|101176|e_gw.60.8.1|g.14595  ,nvec137,_,4,-,-,-,N,-,252,-,-
jgi|Nemve1|101176|e_gw.60.8.1|m.14596 jgi|Nemve1|101176|e_gw.60.8.1|g.14596  ,nvec138,M,3,-,-,-,Y,-,207,-,-
jgi|Nemve1|10117|gw.267.1.1|m.28762 jgi|Nemve1|10117|gw.267.1.1|g.28762  ,nvec139,_,5,-,-,-,N,-,1030,-,-
jgi|Nemve1|101190|e_gw.60.51.1|m.14613 jgi|Nemve1|101190|e_gw.60.51.1|g.14613  ,nvec140,_,1,-,-,-,N,-,238,-,-
jgi|Nemve1|101196|e_gw.60.139.1|m.14584 jgi|Nemve1|101196|e_gw.60.139.1|g.14584  ,nvec141,_,2,-,-,-,N,-,130,-,-
jgi|Nemve1|101218|e_gw.60.121.1|m.14641 jgi|Nemve1|101218|e_gw.60.121.1|g.14641  ,nvec142,_,1,-,-,-,N,-,264,-,-
jgi|Nemve1|10122|gw.302.3.1|m.28389 jgi|Nemve1|10122|gw.302.3.1|g.28389  ,nvec143,M,3,-,-,-,Y,-,995,-,-
jgi|Nemve1|101238|e_gw.60.65.1|m.14663 jgi|Nemve1|101238|e_gw.60.65.1|g.14663  ,nvec144,S,1,-,-,-,N,-,273,-,-
jgi|Nemve1|101242|e_gw.60.49.1|m.14514 jgi|Nemve1|101242|e_gw.60.49.1|g.14514  ,nvec145,_,2,-,-,-,N,-,255,-,-
jgi|Nemve1|101252|e_gw.60.36.1|m.14659 jgi|Nemve1|101252|e_gw.60.36.1|g.14659  ,nvec146,S,2,-,-,-,N,-,283,-,-
jgi|Nemve1|10127|gw.62.13.1|m.2576 jgi|Nemve1|10127|gw.62.13.1|g.2576  ,nvec147,_,2,hsap1750,mmus632,-,Y,POLG,889,Polg,-
jgi|Nemve1|10127|gw.62.13.1|m.2577 jgi|Nemve1|10127|gw.62.13.1|g.2577  ,nvec148,_,3,-,-,scer1003,N,-,177,-,MIP1
jgi|Nemve1|10128|gw.448.7.1|m.18157 jgi|Nemve1|10128|gw.448.7.1|g.18157  ,nvec149,S,1,-,-,-,N,-,437,-,-
jgi|Nemve1|10129|gw.175.28.1|m.14507 jgi|Nemve1|10129|gw.175.28.1|g.14507  ,nvec150,_,5,-,-,scer304,N,-,1060,-,DNF1
jgi|Nemve1|101342|e_gw.60.83.1|m.14574 jgi|Nemve1|101342|e_gw.60.83.1|g.14574  ,nvec151,_,3,-,-,-,N,-,167,-,-
jgi|Nemve1|101376|e_gw.60.239.1|m.14524 jgi|Nemve1|101376|e_gw.60.239.1|g.14524  ,nvec152,_,1,-,-,-,N,-,140,-,-
jgi|Nemve1|101391|e_gw.60.111.1|m.14664 jgi|Nemve1|101391|e_gw.60.111.1|g.14664  ,nvec153,S,2,-,-,-,N,-,112,-,-
jgi|Nemve1|10139|gw.330.1.1|m.28963 jgi|Nemve1|10139|gw.330.1.1|g.28963  ,nvec154,_,2,-,-,-,N,-,802,-,-
jgi|Nemve1|10139|gw.330.1.1|m.28965 jgi|Nemve1|10139|gw.330.1.1|g.28965  ,nvec155,_,2,-,-,-,N,-,143,-,-
jgi|Nemve1|101414|e_gw.60.39.1|m.14653 jgi|Nemve1|101414|e_gw.60.39.1|g.14653  ,nvec156,_,1,-,-,-,N,-,228,-,-
jgi|Nemve1|101427|e_gw.60.18.1|m.14572 jgi|Nemve1|101427|e_gw.60.18.1|g.14572  ,nvec157,_,2,-,-,-,N,-,503,-,-
jgi|Nemve1|10142|gw.297.2.1|m.9307 jgi|Nemve1|10142|gw.297.2.1|g.9307  ,nvec158,_,4,-,-,-,N,-,997,-,-
jgi|Nemve1|101462|e_gw.61.129.1|m.12073 jgi|Nemve1|101462|e_gw.61.129.1|g.12073  ,nvec159,_,2,-,-,-,N,-,612,-,-
jgi|Nemve1|101464|e_gw.61.35.1|m.12094 jgi|Nemve1|101464|e_gw.61.35.1|g.12094  ,nvec160,S,4,-,-,-,N,-,2212,-,-
jgi|Nemve1|101484|e_gw.61.218.1|m.12036 jgi|Nemve1|101484|e_gw.61.218.1|g.12036  ,nvec161,_,2,-,-,-,N,-,131,-,-
