transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
gb|GBGI01000149.1||m.78 gb|GBGI01000149.1||g.78  ,kiwa73,_,1,hsap800,mmus1394,scer760,Y,RPS18,154,Rps18,RPS18B
gb|GBGI01000150.1||m.79 gb|GBGI01000150.1||g.79  ,kiwa74,_,2,-,-,scer169,Y,-,1002,-,ENA2
gb|GBGI01000151.1||m.81 gb|GBGI01000151.1||g.81  ,kiwa75,_,1,-,-,-,N,-,405,-,-
gb|GBGI01000152.1||m.82 gb|GBGI01000152.1||g.82  ,kiwa76,_,1,-,-,-,N,-,467,-,-
gb|GBGI01000153.1||m.83 gb|GBGI01000153.1||g.83  ,kiwa77,_,2,-,-,-,N,-,330,-,-
gb|GBGI01000154.1||m.84 gb|GBGI01000154.1||g.84  ,kiwa78,_,2,-,-,-,N,-,101,-,-
gb|GBGI01000155.1||m.85 gb|GBGI01000155.1||g.85  ,kiwa79,_,2,-,-,-,N,-,242,-,-
gb|GBGI01000156.1||m.86 gb|GBGI01000156.1||g.86  ,kiwa80,_,3,-,-,-,N,-,267,-,-
gb|GBGI01000157.1||m.87 gb|GBGI01000157.1||g.87  ,kiwa81,_,3,-,-,-,N,-,285,-,-
gb|GBGI01000158.1||m.88 gb|GBGI01000158.1||g.88  ,kiwa82,_,1,-,-,-,N,-,190,-,-
gb|GBGI01000159.1||m.89 gb|GBGI01000159.1||g.89  ,kiwa83,_,1,-,-,-,N,-,336,-,-
gb|GBGI01000160.1||m.90 gb|GBGI01000160.1||g.90  ,kiwa84,M,4,-,-,-,N,-,358,-,-
gb|GBGI01000160.1||m.91 gb|GBGI01000160.1||g.91  ,kiwa85,M,2,-,-,-,Y,-,314,-,-
gb|GBGI01000161.1||m.94 gb|GBGI01000161.1||g.94  ,kiwa86,M,2,-,-,-,Y,-,307,-,-
gb|GBGI01000161.1||m.93 gb|GBGI01000161.1||g.93  ,kiwa87,M,4,hsap2157,mmus187,scer851,Y,IDH3B,358,Idh3b,IDH1
gb|GBGI01000162.1||m.96 gb|GBGI01000162.1||g.96  ,kiwa88,_,2,-,-,-,N,-,271,-,-
gb|GBGI01000163.1||m.98 gb|GBGI01000163.1||g.98  ,kiwa89,_,5,hsap622,mmus284,-,Y,RPL34,110,Rpl34,-
gb|GBGI01000163.1||m.97 gb|GBGI01000163.1||g.97  ,kiwa90,_,2,-,-,-,N,-,546,-,-
gb|GBGI01000164.1||m.99 gb|GBGI01000164.1||g.99  ,kiwa91,_,1,-,-,-,N,-,164,-,-
gb|GBGI01000165.1||m.100 gb|GBGI01000165.1||g.100  ,kiwa92,_,1,-,-,-,N,-,215,-,-
gb|GBGI01000166.1||m.101 gb|GBGI01000166.1||g.101  ,kiwa93,M,4,hsap260,mmus499,scer964,Y,SUCLG1,321,Suclg1,LSC1
gb|GBGI01000166.1||m.102 gb|GBGI01000166.1||g.102  ,kiwa94,_,1,-,-,-,N,-,215,-,-
gb|GBGI01000167.1||m.103 gb|GBGI01000167.1||g.103  ,kiwa95,_,2,-,-,-,N,-,247,-,-
gb|GBGI01000168.1||m.104 gb|GBGI01000168.1||g.104  ,kiwa96,_,3,-,-,-,N,-,354,-,-
gb|GBGI01000169.1||m.105 gb|GBGI01000169.1||g.105  ,kiwa97,_,2,-,-,-,N,-,156,-,-
gb|GBGI01000170.1||m.106 gb|GBGI01000170.1||g.106  ,kiwa98,_,3,-,-,-,N,-,106,-,-
gb|GBGI01000171.1||m.107 gb|GBGI01000171.1||g.107  ,kiwa99,_,2,-,-,-,N,-,205,-,-
gb|GBGI01000172.1||m.108 gb|GBGI01000172.1||g.108  ,kiwa100,_,2,-,-,-,N,-,250,-,-
gb|GBGI01000173.1||m.109 gb|GBGI01000173.1||g.109  ,kiwa101,_,2,-,-,-,N,-,249,-,-
gb|GBGI01000174.1||m.110 gb|GBGI01000174.1||g.110  ,kiwa102,_,3,-,-,-,N,-,219,-,-
gb|GBGI01000175.1||m.111 gb|GBGI01000175.1||g.111  ,kiwa103,M,4,-,-,-,N,-,184,-,-
gb|GBGI01000176.1||m.112 gb|GBGI01000176.1||g.112  ,kiwa104,_,1,hsap1598,mmus696,-,Y,SLC25A15,306,Slc25a15,-
gb|GBGI01000177.1||m.113 gb|GBGI01000177.1||g.113  ,kiwa105,_,3,-,-,-,N,-,201,-,-
gb|GBGI01000178.1||m.114 gb|GBGI01000178.1||g.114  ,kiwa106,_,3,-,-,-,N,-,201,-,-
gb|GBGI01000179.1||m.115 gb|GBGI01000179.1||g.115  ,kiwa107,_,3,hsap1552,mmus462,-,Y,RAB35,201,Rab35,-
gb|GBGI01000180.1||m.116 gb|GBGI01000180.1||g.116  ,kiwa108,_,2,-,-,scer927,Y,-,248,-,PRE6
gb|GBGI01000181.1||m.117 gb|GBGI01000181.1||g.117  ,kiwa109,_,2,-,-,-,N,-,852,-,-
gb|GBGI01000184.1||m.118 gb|GBGI01000184.1||g.118  ,kiwa110,_,1,-,-,-,N,-,504,-,-
gb|GBGI01000185.1||m.119 gb|GBGI01000185.1||g.119  ,kiwa111,M,4,-,-,-,N,-,452,-,-
gb|GBGI01000186.1||m.120 gb|GBGI01000186.1||g.120  ,kiwa112,_,1,-,-,-,N,-,357,-,-
gb|GBGI01000187.1||m.121 gb|GBGI01000187.1||g.121  ,kiwa113,_,2,-,-,-,N,-,165,-,-
gb|GBGI01000188.1||m.122 gb|GBGI01000188.1||g.122  ,kiwa114,_,1,-,-,-,N,-,446,-,-
gb|GBGI01000189.1||m.123 gb|GBGI01000189.1||g.123  ,kiwa115,_,2,-,-,-,N,-,146,-,-
gb|GBGI01000190.1||m.124 gb|GBGI01000190.1||g.124  ,kiwa116,_,1,-,-,-,N,-,542,-,-
gb|GBGI01000191.1||m.125 gb|GBGI01000191.1||g.125  ,kiwa117,_,3,-,-,-,N,-,137,-,-
gb|GBGI01000192.1||m.126 gb|GBGI01000192.1||g.126  ,kiwa118,_,2,-,-,-,N,-,271,-,-
gb|GBGI01000195.1||m.127 gb|GBGI01000195.1||g.127  ,kiwa119,S,1,-,-,-,N,-,332,-,-
gb|GBGI01000196.1||m.128 gb|GBGI01000196.1||g.128  ,kiwa120,_,1,-,-,-,N,-,711,-,-
gb|GBGI01000197.1||m.129 gb|GBGI01000197.1||g.129  ,kiwa121,_,1,-,-,-,N,-,403,-,-
gb|GBGI01000200.1||m.130 gb|GBGI01000200.1||g.130  ,kiwa122,M,3,-,-,-,Y,-,1260,-,-
gb|GBGI01000201.1||m.131 gb|GBGI01000201.1||g.131  ,kiwa123,_,2,-,-,-,N,-,181,-,-
gb|GBGI01000202.1||m.132 gb|GBGI01000202.1||g.132  ,kiwa124,_,5,-,-,-,N,-,836,-,-
gb|GBGI01000203.1||m.133 gb|GBGI01000203.1||g.133  ,kiwa125,_,1,-,-,-,N,-,150,-,-
gb|GBGI01000204.1||m.134 gb|GBGI01000204.1||g.134  ,kiwa126,_,1,-,-,-,N,-,131,-,-
gb|GBGI01000205.1||m.135 gb|GBGI01000205.1||g.135  ,kiwa127,M,5,hsap65,mmus384,-,Y,ATAD3A,610,Atad3a,-
gb|GBGI01000206.1||m.136 gb|GBGI01000206.1||g.136  ,kiwa128,_,5,-,-,-,N,-,330,-,-
gb|GBGI01000207.1||m.137 gb|GBGI01000207.1||g.137  ,kiwa129,_,5,-,-,-,N,-,279,-,-
gb|GBGI01000208.1||m.138 gb|GBGI01000208.1||g.138  ,kiwa130,_,2,-,-,-,N,-,106,-,-
gb|GBGI01000209.1||m.139 gb|GBGI01000209.1||g.139  ,kiwa131,_,3,-,-,-,N,-,325,-,-
gb|GBGI01000210.1||m.140 gb|GBGI01000210.1||g.140  ,kiwa132,_,2,-,-,-,N,-,396,-,-
gb|GBGI01000212.1||m.141 gb|GBGI01000212.1||g.141  ,kiwa133,_,3,-,-,-,N,-,185,-,-
gb|GBGI01000213.1||m.142 gb|GBGI01000213.1||g.142  ,kiwa134,M,4,hsap594,mmus420,scer987,Y,GRPEL1,243,Grpel1,MGE1
gb|GBGI01000214.1||m.143 gb|GBGI01000214.1||g.143  ,kiwa135,M,5,-,-,scer664,Y,-,140,-,RPL40B
gb|GBGI01000215.1||m.145 gb|GBGI01000215.1||g.145  ,kiwa136,_,1,-,-,-,N,-,172,-,-
gb|GBGI01000216.1||m.146 gb|GBGI01000216.1||g.146  ,kiwa137,_,1,-,-,-,N,-,462,-,-
gb|GBGI01000218.1||m.147 gb|GBGI01000218.1||g.147  ,kiwa138,_,2,hsap764,mmus903,-,Y,QRSL1,581,Qrsl1,-
gb|GBGI01000219.1||m.148 gb|GBGI01000219.1||g.148  ,kiwa139,_,2,-,-,-,N,-,690,-,-
gb|GBGI01000220.1||m.151 gb|GBGI01000220.1||g.151  ,kiwa140,_,4,-,-,scer264,Y,-,258,-,RML2
gb|GBGI01000221.1||m.152 gb|GBGI01000221.1||g.152  ,kiwa141,_,2,-,-,-,N,-,183,-,-
gb|GBGI01000222.1||m.153 gb|GBGI01000222.1||g.153  ,kiwa142,_,4,-,-,-,N,-,1086,-,-
gb|GBGI01000223.1||m.155 gb|GBGI01000223.1||g.155  ,kiwa143,_,2,-,-,-,N,-,203,-,-
gb|GBGI01000223.1||m.154 gb|GBGI01000223.1||g.154  ,kiwa144,_,2,-,-,-,N,-,337,-,-
gb|GBGI01000224.1||m.156 gb|GBGI01000224.1||g.156  ,kiwa145,_,2,hsap165,mmus263,-,Y,TDRKH,522,Tdrkh,-
gb|GBGI01000226.1||m.157 gb|GBGI01000226.1||g.157  ,kiwa146,_,1,-,-,-,N,-,338,-,-
gb|GBGI01000226.1||m.158 gb|GBGI01000226.1||g.158  ,kiwa147,S,1,-,-,-,N,-,171,-,-
gb|GBGI01000227.1||m.160 gb|GBGI01000227.1||g.160  ,kiwa148,S,1,-,-,-,N,-,534,-,-
gb|GBGI01000228.1||m.162 gb|GBGI01000228.1||g.162  ,kiwa149,_,1,-,-,-,N,-,144,-,-
gb|GBGI01000229.1||m.163 gb|GBGI01000229.1||g.163  ,kiwa150,_,1,-,-,-,N,-,127,-,-
gb|GBGI01000230.1||m.164 gb|GBGI01000230.1||g.164  ,kiwa151,_,3,-,-,-,N,-,199,-,-
gb|GBGI01000231.1||m.165 gb|GBGI01000231.1||g.165  ,kiwa152,_,2,-,-,scer507,Y,-,253,-,AYR1
gb|GBGI01000232.1||m.166 gb|GBGI01000232.1||g.166  ,kiwa153,_,2,-,-,-,N,-,430,-,-
gb|GBGI01000233.1||m.167 gb|GBGI01000233.1||g.167  ,kiwa154,_,5,hsap811,mmus1400,-,Y,MRPL14,137,Mrpl14,-
gb|GBGI01000234.1||m.168 gb|GBGI01000234.1||g.168  ,kiwa155,_,3,-,-,-,N,-,107,-,-
gb|GBGI01000235.1||m.169 gb|GBGI01000235.1||g.169  ,kiwa156,_,2,-,-,-,N,-,209,-,-
gb|GBGI01000237.1||m.170 gb|GBGI01000237.1||g.170  ,kiwa157,_,2,-,-,-,N,-,923,-,-
gb|GBGI01000238.1||m.171 gb|GBGI01000238.1||g.171  ,kiwa158,_,4,-,-,scer476,Y,-,489,-,GND1
gb|GBGI01000239.1||m.172 gb|GBGI01000239.1||g.172  ,kiwa159,_,4,-,-,-,N,-,531,-,-
gb|GBGI01000240.1||m.173 gb|GBGI01000240.1||g.173  ,kiwa160,S,1,-,-,-,N,-,149,-,-
gb|GBGI01000241.1||m.174 gb|GBGI01000241.1||g.174  ,kiwa161,_,4,-,-,-,N,-,1027,-,-
gb|GBGI01000243.1||m.175 gb|GBGI01000243.1||g.175  ,kiwa162,_,1,-,-,-,N,-,358,-,-
gb|GBGI01000244.1||m.176 gb|GBGI01000244.1||g.176  ,kiwa163,M,4,-,-,-,N,-,117,-,-
gb|GBGI01000245.1||m.177 gb|GBGI01000245.1||g.177  ,kiwa164,_,3,-,-,-,N,-,116,-,-
gb|GBGI01000246.1||m.178 gb|GBGI01000246.1||g.178  ,kiwa165,_,5,-,-,-,N,-,107,-,-
gb|GBGI01000247.1||m.179 gb|GBGI01000247.1||g.179  ,kiwa166,_,3,hsap213,mmus82,-,Y,MRPS14,116,Mrps14,-
gb|GBGI01000248.1||m.180 gb|GBGI01000248.1||g.180  ,kiwa167,_,2,-,-,-,N,-,317,-,-
gb|GBGI01000251.1||m.181 gb|GBGI01000251.1||g.181  ,kiwa168,S,5,-,-,-,N,-,488,-,-
gb|GBGI01000252.1||m.182 gb|GBGI01000252.1||g.182  ,kiwa169,_,2,-,-,-,N,-,228,-,-
gb|GBGI01000254.1||m.183 gb|GBGI01000254.1||g.183  ,kiwa170,_,3,-,-,-,N,-,790,-,-
gb|GBGI01000255.1||m.184 gb|GBGI01000255.1||g.184  ,kiwa171,_,3,-,-,-,N,-,832,-,-
gb|GBGI01000256.1||m.185 gb|GBGI01000256.1||g.185  ,kiwa172,_,1,-,-,-,N,-,482,-,-
gb|GBGI01000257.1||m.187 gb|GBGI01000257.1||g.187  ,kiwa173,_,1,-,-,-,N,-,192,-,-
gb|GBGI01000257.1||m.186 gb|GBGI01000257.1||g.186  ,kiwa174,_,2,-,-,-,N,-,308,-,-
gb|GBGI01000258.1||m.188 gb|GBGI01000258.1||g.188  ,kiwa175,_,2,-,-,-,N,-,541,-,-
gb|GBGI01000262.1||m.189 gb|GBGI01000262.1||g.189  ,kiwa176,_,4,-,-,scer323,Y,-,197,-,LSB3
gb|GBGI01000263.1||m.190 gb|GBGI01000263.1||g.190  ,kiwa177,_,1,-,-,-,N,-,130,-,-
gb|GBGI01000264.1||m.191 gb|GBGI01000264.1||g.191  ,kiwa178,_,2,-,-,-,N,-,271,-,-
gb|GBGI01000265.1||m.192 gb|GBGI01000265.1||g.192  ,kiwa179,M,4,-,-,-,N,-,180,-,-
gb|GBGI01000266.1||m.193 gb|GBGI01000266.1||g.193  ,kiwa180,_,3,-,-,scer469,Y,-,204,-,MRPL6
gb|GBGI01000267.1||m.194 gb|GBGI01000267.1||g.194  ,kiwa181,_,1,-,-,-,N,-,245,-,-
gb|GBGI01000268.1||m.195 gb|GBGI01000268.1||g.195  ,kiwa182,_,4,-,-,-,N,-,398,-,-
gb|GBGI01000269.1||m.196 gb|GBGI01000269.1||g.196  ,kiwa183,_,5,-,-,-,N,-,160,-,-
gb|GBGI01000271.1||m.197 gb|GBGI01000271.1||g.197  ,kiwa184,_,2,-,-,-,N,-,373,-,-
gb|GBGI01000273.1||m.198 gb|GBGI01000273.1||g.198  ,kiwa185,_,1,-,-,-,N,-,154,-,-
gb|GBGI01000274.1||m.199 gb|GBGI01000274.1||g.199  ,kiwa186,_,3,-,-,-,N,-,177,-,-
gb|GBGI01000276.1||m.200 gb|GBGI01000276.1||g.200  ,kiwa187,_,4,-,-,-,N,-,110,-,-
gb|GBGI01000277.1||m.201 gb|GBGI01000277.1||g.201  ,kiwa188,_,2,-,-,-,N,-,152,-,-
gb|GBGI01000278.1||m.202 gb|GBGI01000278.1||g.202  ,kiwa189,_,2,-,-,-,N,-,131,-,-
gb|GBGI01000280.1||m.204 gb|GBGI01000280.1||g.204  ,kiwa190,S,2,-,-,-,N,-,434,-,-
gb|GBGI01000280.1||m.203 gb|GBGI01000280.1||g.203  ,kiwa191,_,2,-,-,-,N,-,740,-,-
gb|GBGI01000281.1||m.208 gb|GBGI01000281.1||g.208  ,kiwa192,_,2,hsap1826,-,-,Y,DDX28,740,-,-
gb|GBGI01000281.1||m.209 gb|GBGI01000281.1||g.209  ,kiwa193,S,2,-,-,-,N,-,417,-,-
gb|GBGI01000283.1||m.213 gb|GBGI01000283.1||g.213  ,kiwa194,_,1,-,-,-,N,-,683,-,-
gb|GBGI01000284.1||m.214 gb|GBGI01000284.1||g.214  ,kiwa195,_,1,-,-,-,N,-,553,-,-
gb|GBGI01000284.1||m.215 gb|GBGI01000284.1||g.215  ,kiwa196,M,5,-,-,-,N,-,129,-,-
gb|GBGI01000285.1||m.216 gb|GBGI01000285.1||g.216  ,kiwa197,_,3,-,-,-,N,-,143,-,-
gb|GBGI01000287.1||m.217 gb|GBGI01000287.1||g.217  ,kiwa198,_,1,-,-,-,N,-,146,-,-
gb|GBGI01000288.1||m.218 gb|GBGI01000288.1||g.218  ,kiwa199,_,3,-,-,-,N,-,247,-,-
gb|GBGI01000289.1||m.219 gb|GBGI01000289.1||g.219  ,kiwa200,_,1,-,-,-,N,-,165,-,-
gb|GBGI01000291.1||m.220 gb|GBGI01000291.1||g.220  ,kiwa201,M,5,-,-,-,N,-,112,-,-
gb|GBGI01000294.1||m.221 gb|GBGI01000294.1||g.221  ,kiwa202,_,1,-,-,-,N,-,241,-,-
gb|GBGI01000295.1||m.222 gb|GBGI01000295.1||g.222  ,kiwa203,_,1,-,-,-,N,-,116,-,-
gb|GBGI01000296.1||m.223 gb|GBGI01000296.1||g.223  ,kiwa204,_,3,-,-,-,N,-,275,-,-
gb|GBGI01000297.1||m.224 gb|GBGI01000297.1||g.224  ,kiwa205,_,1,-,-,-,N,-,160,-,-
gb|GBGI01000298.1||m.225 gb|GBGI01000298.1||g.225  ,kiwa206,_,1,-,-,-,N,-,144,-,-
gb|GBGI01000299.1||m.226 gb|GBGI01000299.1||g.226  ,kiwa207,M,3,-,-,-,Y,-,166,-,-
gb|GBGI01000300.1||m.227 gb|GBGI01000300.1||g.227  ,kiwa208,_,1,hsap618,mmus532,scer958,Y,PPM1K,445,Ppm1k,PTC5
gb|GBGI01000301.1||m.228 gb|GBGI01000301.1||g.228  ,kiwa209,_,5,-,-,-,N,-,670,-,-
gb|GBGI01000303.1||m.229 gb|GBGI01000303.1||g.229  ,kiwa210,_,4,-,-,scer317,Y,-,203,-,YPT1
gb|GBGI01000304.1||m.230 gb|GBGI01000304.1||g.230  ,kiwa211,_,2,hsap548,mmus1343,-,Y,CCDC58,127,Ccdc58,-
gb|GBGI01000305.1||m.231 gb|GBGI01000305.1||g.231  ,kiwa212,_,2,-,-,-,N,-,122,-,-
gb|GBGI01000306.1||m.232 gb|GBGI01000306.1||g.232  ,kiwa213,M,2,hsap1274,mmus1208,scer192,Y,PPIF,186,Ppif,CPR1
gb|GBGI01000307.1||m.233 gb|GBGI01000307.1||g.233  ,kiwa214,_,2,hsap1534,mmus932,scer282,Y,SLC25A3,311,Slc25a3,PIC2
