transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
gi|671187110|gb|GBGH01024489.1||m.36748 gi|671187110|gb|GBGH01024489.1||g.36748  ,phyd23,_,5,-,-,-,N,-,147,-,-
gi|671187111|gb|GBGH01024488.1||m.36747 gi|671187111|gb|GBGH01024488.1||g.36747  ,phyd24,_,3,-,-,-,N,-,109,-,-
gi|671187113|gb|GBGH01024486.1||m.36746 gi|671187113|gb|GBGH01024486.1||g.36746  ,phyd25,_,2,-,-,-,N,-,114,-,-
gi|671187114|gb|GBGH01024485.1||m.36744 gi|671187114|gb|GBGH01024485.1||g.36744  ,phyd26,_,2,-,-,-,N,-,170,-,-
gi|671187115|gb|GBGH01024484.1||m.36743 gi|671187115|gb|GBGH01024484.1||g.36743  ,phyd27,_,1,-,-,-,N,-,103,-,-
gi|671187116|gb|GBGH01024483.1||m.36741 gi|671187116|gb|GBGH01024483.1||g.36741  ,phyd28,_,1,-,-,-,N,-,155,-,-
gi|671187117|gb|GBGH01024482.1||m.36740 gi|671187117|gb|GBGH01024482.1||g.36740  ,phyd29,M,5,-,-,-,N,-,104,-,-
gi|671187118|gb|GBGH01024481.1||m.36739 gi|671187118|gb|GBGH01024481.1||g.36739  ,phyd30,_,3,-,-,-,N,-,135,-,-
gi|671187119|gb|GBGH01024480.1||m.36738 gi|671187119|gb|GBGH01024480.1||g.36738  ,phyd31,S,4,-,-,-,N,-,121,-,-
gi|671187120|gb|GBGH01024479.1||m.36737 gi|671187120|gb|GBGH01024479.1||g.36737  ,phyd32,_,1,-,-,-,N,-,159,-,-
gi|671187121|gb|GBGH01024478.1||m.36736 gi|671187121|gb|GBGH01024478.1||g.36736  ,phyd33,_,1,-,-,-,N,-,104,-,-
gi|671187122|gb|GBGH01024477.1||m.36735 gi|671187122|gb|GBGH01024477.1||g.36735  ,phyd34,_,4,-,-,-,N,-,123,-,-
gi|671187123|gb|GBGH01024476.1||m.36734 gi|671187123|gb|GBGH01024476.1||g.36734  ,phyd35,_,2,-,-,-,N,-,107,-,-
gi|671187124|gb|GBGH01024475.1||m.36733 gi|671187124|gb|GBGH01024475.1||g.36733  ,phyd36,_,3,-,-,-,N,-,106,-,-
gi|671187128|gb|GBGH01024471.1||m.36731 gi|671187128|gb|GBGH01024471.1||g.36731  ,phyd37,M,5,-,-,-,N,-,141,-,-
gi|671187129|gb|GBGH01024470.1||m.36730 gi|671187129|gb|GBGH01024470.1||g.36730  ,phyd38,S,3,-,-,-,N,-,119,-,-
gi|671187132|gb|GBGH01024467.1||m.36729 gi|671187132|gb|GBGH01024467.1||g.36729  ,phyd39,_,1,-,-,-,N,-,140,-,-
gi|671187134|gb|GBGH01024465.1||m.36728 gi|671187134|gb|GBGH01024465.1||g.36728  ,phyd40,_,2,-,-,-,N,-,128,-,-
gi|671187135|gb|GBGH01024464.1||m.36727 gi|671187135|gb|GBGH01024464.1||g.36727  ,phyd41,_,1,-,-,-,N,-,126,-,-
gi|671187136|gb|GBGH01024463.1||m.36726 gi|671187136|gb|GBGH01024463.1||g.36726  ,phyd42,_,1,-,-,-,N,-,111,-,-
gi|671187137|gb|GBGH01024462.1||m.36725 gi|671187137|gb|GBGH01024462.1||g.36725  ,phyd43,_,1,-,-,-,N,-,158,-,-
gi|671187138|gb|GBGH01024461.1||m.36724 gi|671187138|gb|GBGH01024461.1||g.36724  ,phyd44,_,3,-,-,-,N,-,154,-,-
gi|671187143|gb|GBGH01024456.1||m.36723 gi|671187143|gb|GBGH01024456.1||g.36723  ,phyd45,_,3,-,-,-,N,-,146,-,-
gi|671187146|gb|GBGH01024453.1||m.36719 gi|671187146|gb|GBGH01024453.1||g.36719  ,phyd46,S,1,-,-,-,N,-,156,-,-
gi|671187147|gb|GBGH01024452.1||m.36718 gi|671187147|gb|GBGH01024452.1||g.36718  ,phyd47,_,2,-,-,-,N,-,102,-,-
gi|671187150|gb|GBGH01024449.1||m.36715 gi|671187150|gb|GBGH01024449.1||g.36715  ,phyd48,S,5,-,-,-,N,-,108,-,-
gi|671187152|gb|GBGH01024447.1||m.36713 gi|671187152|gb|GBGH01024447.1||g.36713  ,phyd49,_,4,-,-,-,N,-,133,-,-
gi|671187153|gb|GBGH01024446.1||m.36712 gi|671187153|gb|GBGH01024446.1||g.36712  ,phyd50,S,5,-,-,-,N,-,133,-,-
gi|671187154|gb|GBGH01024445.1||m.36711 gi|671187154|gb|GBGH01024445.1||g.36711  ,phyd51,M,4,-,-,-,N,-,131,-,-
gi|671187157|gb|GBGH01024442.1||m.36710 gi|671187157|gb|GBGH01024442.1||g.36710  ,phyd52,M,5,-,-,-,N,-,107,-,-
gi|671187158|gb|GBGH01024441.1||m.36709 gi|671187158|gb|GBGH01024441.1||g.36709  ,phyd53,_,4,-,-,-,N,-,106,-,-
gi|671187160|gb|GBGH01024439.1||m.36706 gi|671187160|gb|GBGH01024439.1||g.36706  ,phyd54,_,2,-,-,-,N,-,102,-,-
gi|671187161|gb|GBGH01024438.1||m.36705 gi|671187161|gb|GBGH01024438.1||g.36705  ,phyd55,S,2,-,-,-,N,-,120,-,-
gi|671187162|gb|GBGH01024437.1||m.36704 gi|671187162|gb|GBGH01024437.1||g.36704  ,phyd56,_,3,-,-,-,N,-,131,-,-
gi|671187164|gb|GBGH01024435.1||m.36702 gi|671187164|gb|GBGH01024435.1||g.36702  ,phyd57,S,2,-,-,-,N,-,101,-,-
gi|671187165|gb|GBGH01024434.1||m.36701 gi|671187165|gb|GBGH01024434.1||g.36701  ,phyd58,_,4,-,-,-,N,-,109,-,-
gi|671187166|gb|GBGH01024433.1||m.36700 gi|671187166|gb|GBGH01024433.1||g.36700  ,phyd59,_,1,-,-,-,N,-,137,-,-
gi|671187167|gb|GBGH01024432.1||m.36698 gi|671187167|gb|GBGH01024432.1||g.36698  ,phyd60,_,4,-,-,-,N,-,112,-,-
gi|671187168|gb|GBGH01024431.1||m.36697 gi|671187168|gb|GBGH01024431.1||g.36697  ,phyd61,_,2,-,-,-,N,-,188,-,-
gi|671187169|gb|GBGH01024430.1||m.36696 gi|671187169|gb|GBGH01024430.1||g.36696  ,phyd62,_,4,-,-,-,N,-,105,-,-
gi|671187170|gb|GBGH01024429.1||m.36695 gi|671187170|gb|GBGH01024429.1||g.36695  ,phyd63,_,1,-,-,-,N,-,108,-,-
gi|671187171|gb|GBGH01024428.1||m.36694 gi|671187171|gb|GBGH01024428.1||g.36694  ,phyd64,_,3,-,-,-,N,-,143,-,-
gi|671187172|gb|GBGH01024427.1||m.36693 gi|671187172|gb|GBGH01024427.1||g.36693  ,phyd65,S,4,-,-,-,N,-,134,-,-
gi|671187178|gb|GBGH01024421.1||m.36690 gi|671187178|gb|GBGH01024421.1||g.36690  ,phyd66,_,5,-,-,-,N,-,112,-,-
gi|671187179|gb|GBGH01024420.1||m.36689 gi|671187179|gb|GBGH01024420.1||g.36689  ,phyd67,_,3,-,-,-,N,-,231,-,-
gi|671187180|gb|GBGH01024419.1||m.36688 gi|671187180|gb|GBGH01024419.1||g.36688  ,phyd68,M,4,-,-,-,N,-,131,-,-
gi|671187181|gb|GBGH01024418.1||m.36687 gi|671187181|gb|GBGH01024418.1||g.36687  ,phyd69,M,4,-,-,-,N,-,136,-,-
gi|671187182|gb|GBGH01024417.1||m.36685 gi|671187182|gb|GBGH01024417.1||g.36685  ,phyd70,_,1,-,-,-,N,-,112,-,-
gi|671187183|gb|GBGH01024416.1||m.36684 gi|671187183|gb|GBGH01024416.1||g.36684  ,phyd71,_,1,-,-,-,N,-,110,-,-
gi|671187187|gb|GBGH01024412.1||m.36680 gi|671187187|gb|GBGH01024412.1||g.36680  ,phyd72,S,3,-,-,-,N,-,120,-,-
gi|671187188|gb|GBGH01024411.1||m.36678 gi|671187188|gb|GBGH01024411.1||g.36678  ,phyd73,_,1,-,-,-,N,-,179,-,-
gi|671187191|gb|GBGH01024408.1||m.36677 gi|671187191|gb|GBGH01024408.1||g.36677  ,phyd74,M,5,-,-,-,N,-,156,-,-
gi|671187193|gb|GBGH01024406.1||m.36676 gi|671187193|gb|GBGH01024406.1||g.36676  ,phyd75,_,5,-,-,-,N,-,102,-,-
gi|671187194|gb|GBGH01024405.1||m.36674 gi|671187194|gb|GBGH01024405.1||g.36674  ,phyd76,_,5,-,-,-,N,-,217,-,-
gi|671187195|gb|GBGH01024404.1||m.36673 gi|671187195|gb|GBGH01024404.1||g.36673  ,phyd77,_,1,-,-,-,N,-,154,-,-
gi|671187196|gb|GBGH01024403.1||m.36671 gi|671187196|gb|GBGH01024403.1||g.36671  ,phyd78,_,2,-,-,-,N,-,103,-,-
gi|671187197|gb|GBGH01024402.1||m.36669 gi|671187197|gb|GBGH01024402.1||g.36669  ,phyd79,_,1,-,-,-,N,-,122,-,-
gi|671187199|gb|GBGH01024400.1||m.36668 gi|671187199|gb|GBGH01024400.1||g.36668  ,phyd80,_,2,-,-,-,N,-,130,-,-
gi|671187200|gb|GBGH01024399.1||m.36667 gi|671187200|gb|GBGH01024399.1||g.36667  ,phyd81,_,1,-,-,-,N,-,198,-,-
gi|671187201|gb|GBGH01024398.1||m.36666 gi|671187201|gb|GBGH01024398.1||g.36666  ,phyd82,S,1,-,-,-,N,-,104,-,-
gi|671187203|gb|GBGH01024396.1||m.36665 gi|671187203|gb|GBGH01024396.1||g.36665  ,phyd83,_,2,-,-,-,N,-,147,-,-
gi|671187204|gb|GBGH01024395.1||m.36664 gi|671187204|gb|GBGH01024395.1||g.36664  ,phyd84,_,1,-,-,-,N,-,106,-,-
gi|671187205|gb|GBGH01024394.1||m.36663 gi|671187205|gb|GBGH01024394.1||g.36663  ,phyd85,_,1,-,-,-,N,-,123,-,-
gi|671187206|gb|GBGH01024393.1||m.36661 gi|671187206|gb|GBGH01024393.1||g.36661  ,phyd86,_,5,-,-,-,N,-,151,-,-
gi|671187207|gb|GBGH01024392.1||m.36660 gi|671187207|gb|GBGH01024392.1||g.36660  ,phyd87,_,2,-,-,-,N,-,224,-,-
gi|671187208|gb|GBGH01024391.1||m.36658 gi|671187208|gb|GBGH01024391.1||g.36658  ,phyd88,_,4,-,-,-,N,-,108,-,-
gi|671187209|gb|GBGH01024390.1||m.36657 gi|671187209|gb|GBGH01024390.1||g.36657  ,phyd89,_,1,-,-,-,N,-,146,-,-
gi|671187211|gb|GBGH01024388.1||m.36656 gi|671187211|gb|GBGH01024388.1||g.36656  ,phyd90,_,1,-,-,-,N,-,102,-,-
gi|671187212|gb|GBGH01024387.1||m.36655 gi|671187212|gb|GBGH01024387.1||g.36655  ,phyd91,_,3,-,-,-,N,-,105,-,-
gi|671187213|gb|GBGH01024386.1||m.36654 gi|671187213|gb|GBGH01024386.1||g.36654  ,phyd92,_,1,-,-,-,N,-,111,-,-
gi|671187214|gb|GBGH01024385.1||m.36653 gi|671187214|gb|GBGH01024385.1||g.36653  ,phyd93,_,5,-,-,-,N,-,119,-,-
gi|671187215|gb|GBGH01024384.1||m.36651 gi|671187215|gb|GBGH01024384.1||g.36651  ,phyd94,_,5,-,-,-,N,-,129,-,-
gi|671187216|gb|GBGH01024383.1||m.36650 gi|671187216|gb|GBGH01024383.1||g.36650  ,phyd95,_,3,-,-,-,N,-,139,-,-
gi|671187218|gb|GBGH01024381.1||m.36649 gi|671187218|gb|GBGH01024381.1||g.36649  ,phyd96,_,4,-,-,-,N,-,140,-,-
gi|671187219|gb|GBGH01024380.1||m.36648 gi|671187219|gb|GBGH01024380.1||g.36648  ,phyd97,_,2,-,-,-,N,-,153,-,-
gi|671187220|gb|GBGH01024379.1||m.36647 gi|671187220|gb|GBGH01024379.1||g.36647  ,phyd98,_,2,-,-,-,N,-,148,-,-
gi|671187221|gb|GBGH01024378.1||m.36646 gi|671187221|gb|GBGH01024378.1||g.36646  ,phyd99,_,4,-,-,-,N,-,100,-,-
gi|671187222|gb|GBGH01024377.1||m.36645 gi|671187222|gb|GBGH01024377.1||g.36645  ,phyd100,S,1,-,-,-,N,-,182,-,-
gi|671187223|gb|GBGH01024376.1||m.36644 gi|671187223|gb|GBGH01024376.1||g.36644  ,phyd101,_,2,-,-,-,N,-,160,-,-
gi|671187225|gb|GBGH01024374.1||m.36643 gi|671187225|gb|GBGH01024374.1||g.36643  ,phyd102,_,1,-,-,-,N,-,109,-,-
gi|671187228|gb|GBGH01024371.1||m.36641 gi|671187228|gb|GBGH01024371.1||g.36641  ,phyd103,_,1,-,-,-,N,-,101,-,-
gi|671187230|gb|GBGH01024369.1||m.36638 gi|671187230|gb|GBGH01024369.1||g.36638  ,phyd104,_,5,-,-,-,N,-,127,-,-
gi|671187231|gb|GBGH01024368.1||m.36637 gi|671187231|gb|GBGH01024368.1||g.36637  ,phyd105,_,2,-,-,-,N,-,117,-,-
gi|671187232|gb|GBGH01024367.1||m.36636 gi|671187232|gb|GBGH01024367.1||g.36636  ,phyd106,S,4,-,-,-,N,-,255,-,-
gi|671187233|gb|GBGH01024366.1||m.36635 gi|671187233|gb|GBGH01024366.1||g.36635  ,phyd107,_,2,-,-,-,N,-,107,-,-
gi|671187234|gb|GBGH01024365.1||m.36634 gi|671187234|gb|GBGH01024365.1||g.36634  ,phyd108,_,2,-,-,-,N,-,174,-,-
gi|671187236|gb|GBGH01024363.1||m.36632 gi|671187236|gb|GBGH01024363.1||g.36632  ,phyd109,_,4,hsap1999,-,-,Y,DCXR,105,-,-
gi|671187237|gb|GBGH01024362.1||m.36631 gi|671187237|gb|GBGH01024362.1||g.36631  ,phyd110,_,2,-,-,-,N,-,158,-,-
gi|671187240|gb|GBGH01024359.1||m.36630 gi|671187240|gb|GBGH01024359.1||g.36630  ,phyd111,_,5,-,-,-,N,-,106,-,-
gi|671187241|gb|GBGH01024358.1||m.36629 gi|671187241|gb|GBGH01024358.1||g.36629  ,phyd112,_,3,-,-,-,N,-,153,-,-
gi|671187242|gb|GBGH01024357.1||m.36628 gi|671187242|gb|GBGH01024357.1||g.36628  ,phyd113,_,3,-,-,-,N,-,108,-,-
gi|671187243|gb|GBGH01024356.1||m.36627 gi|671187243|gb|GBGH01024356.1||g.36627  ,phyd114,M,3,-,-,-,Y,-,101,-,-
gi|671187246|gb|GBGH01024353.1||m.36626 gi|671187246|gb|GBGH01024353.1||g.36626  ,phyd115,M,2,-,-,-,Y,-,101,-,-
gi|671187247|gb|GBGH01024352.1||m.36624 gi|671187247|gb|GBGH01024352.1||g.36624  ,phyd116,_,4,-,-,-,N,-,106,-,-
gi|671187248|gb|GBGH01024351.1||m.36623 gi|671187248|gb|GBGH01024351.1||g.36623  ,phyd117,M,5,-,-,-,N,-,129,-,-
gi|671187249|gb|GBGH01024350.1||m.36622 gi|671187249|gb|GBGH01024350.1||g.36622  ,phyd118,_,2,-,-,-,N,-,175,-,-
gi|671187250|gb|GBGH01024349.1||m.36621 gi|671187250|gb|GBGH01024349.1||g.36621  ,phyd119,_,2,-,-,-,N,-,100,-,-
gi|671187251|gb|GBGH01024348.1||m.36620 gi|671187251|gb|GBGH01024348.1||g.36620  ,phyd120,S,1,-,-,-,N,-,178,-,-
gi|671187253|gb|GBGH01024346.1||m.36619 gi|671187253|gb|GBGH01024346.1||g.36619  ,phyd121,S,4,-,-,-,N,-,111,-,-
gi|671187255|gb|GBGH01024344.1||m.36618 gi|671187255|gb|GBGH01024344.1||g.36618  ,phyd122,_,2,-,-,-,N,-,109,-,-
gi|671187257|gb|GBGH01024342.1||m.36617 gi|671187257|gb|GBGH01024342.1||g.36617  ,phyd123,_,2,-,-,-,N,-,142,-,-
gi|671187258|gb|GBGH01024341.1||m.36616 gi|671187258|gb|GBGH01024341.1||g.36616  ,phyd124,_,4,-,-,-,N,-,124,-,-
gi|671187259|gb|GBGH01024340.1||m.36614 gi|671187259|gb|GBGH01024340.1||g.36614  ,phyd125,_,2,-,-,-,N,-,138,-,-
gi|671187260|gb|GBGH01024339.1||m.36613 gi|671187260|gb|GBGH01024339.1||g.36613  ,phyd126,_,2,-,-,-,N,-,113,-,-
gi|671187261|gb|GBGH01024338.1||m.36612 gi|671187261|gb|GBGH01024338.1||g.36612  ,phyd127,_,3,-,-,-,N,-,104,-,-
gi|671187262|gb|GBGH01024337.1||m.36611 gi|671187262|gb|GBGH01024337.1||g.36611  ,phyd128,_,1,-,-,-,N,-,100,-,-
gi|671187264|gb|GBGH01024335.1||m.36610 gi|671187264|gb|GBGH01024335.1||g.36610  ,phyd129,_,2,-,-,-,N,-,123,-,-
gi|671187265|gb|GBGH01024334.1||m.36608 gi|671187265|gb|GBGH01024334.1||g.36608  ,phyd130,_,3,-,-,-,N,-,110,-,-
gi|671187266|gb|GBGH01024333.1||m.36607 gi|671187266|gb|GBGH01024333.1||g.36607  ,phyd131,S,1,-,-,-,N,-,127,-,-
gi|671187268|gb|GBGH01024331.1||m.36605 gi|671187268|gb|GBGH01024331.1||g.36605  ,phyd132,_,3,-,-,-,N,-,116,-,-
gi|671187269|gb|GBGH01024330.1||m.36604 gi|671187269|gb|GBGH01024330.1||g.36604  ,phyd133,_,1,-,-,-,N,-,109,-,-
gi|671187271|gb|GBGH01024328.1||m.36603 gi|671187271|gb|GBGH01024328.1||g.36603  ,phyd134,_,4,-,-,-,N,-,162,-,-
gi|671187272|gb|GBGH01024327.1||m.36602 gi|671187272|gb|GBGH01024327.1||g.36602  ,phyd135,_,2,-,-,-,N,-,179,-,-
gi|671187273|gb|GBGH01024326.1||m.36601 gi|671187273|gb|GBGH01024326.1||g.36601  ,phyd136,_,2,-,-,-,N,-,109,-,-
gi|671187277|gb|GBGH01024322.1||m.36599 gi|671187277|gb|GBGH01024322.1||g.36599  ,phyd137,_,4,-,-,-,N,-,113,-,-
gi|671187279|gb|GBGH01024320.1||m.36597 gi|671187279|gb|GBGH01024320.1||g.36597  ,phyd138,_,1,-,-,-,N,-,388,-,-
gi|671187280|gb|GBGH01024319.1||m.36596 gi|671187280|gb|GBGH01024319.1||g.36596  ,phyd139,_,5,-,-,-,N,-,136,-,-
gi|671187282|gb|GBGH01024317.1||m.36595 gi|671187282|gb|GBGH01024317.1||g.36595  ,phyd140,_,1,-,-,-,N,-,101,-,-
gi|671187282|gb|GBGH01024317.1||m.36594 gi|671187282|gb|GBGH01024317.1||g.36594  ,phyd141,_,2,-,-,-,N,-,115,-,-
gi|671187283|gb|GBGH01024316.1||m.36592 gi|671187283|gb|GBGH01024316.1||g.36592  ,phyd142,_,3,-,-,-,N,-,175,-,-
gi|671187284|gb|GBGH01024315.1||m.36591 gi|671187284|gb|GBGH01024315.1||g.36591  ,phyd143,_,1,-,-,-,N,-,119,-,-
gi|671187286|gb|GBGH01024313.1||m.36590 gi|671187286|gb|GBGH01024313.1||g.36590  ,phyd144,_,1,-,-,-,N,-,134,-,-
gi|671187287|gb|GBGH01024312.1||m.36589 gi|671187287|gb|GBGH01024312.1||g.36589  ,phyd145,M,3,-,-,-,Y,-,112,-,-
gi|671187290|gb|GBGH01024309.1||m.36587 gi|671187290|gb|GBGH01024309.1||g.36587  ,phyd146,_,2,-,-,-,N,-,301,-,-
gi|671187291|gb|GBGH01024308.1||m.36586 gi|671187291|gb|GBGH01024308.1||g.36586  ,phyd147,_,2,-,-,-,N,-,114,-,-
gi|671187292|gb|GBGH01024307.1||m.36584 gi|671187292|gb|GBGH01024307.1||g.36584  ,phyd148,_,3,-,-,-,N,-,136,-,-
gi|671187293|gb|GBGH01024306.1||m.36583 gi|671187293|gb|GBGH01024306.1||g.36583  ,phyd149,_,2,-,-,-,N,-,101,-,-
gi|671187295|gb|GBGH01024304.1||m.36581 gi|671187295|gb|GBGH01024304.1||g.36581  ,phyd150,_,2,-,-,-,N,-,132,-,-
gi|671187296|gb|GBGH01024303.1||m.36580 gi|671187296|gb|GBGH01024303.1||g.36580  ,phyd151,_,3,-,-,-,N,-,148,-,-
gi|671187298|gb|GBGH01024301.1||m.36579 gi|671187298|gb|GBGH01024301.1||g.36579  ,phyd152,_,5,-,-,-,N,-,269,-,-
gi|671187299|gb|GBGH01024300.1||m.36578 gi|671187299|gb|GBGH01024300.1||g.36578  ,phyd153,_,3,-,-,-,N,-,117,-,-
gi|671187301|gb|GBGH01024298.1||m.36577 gi|671187301|gb|GBGH01024298.1||g.36577  ,phyd154,_,2,-,-,-,N,-,134,-,-
gi|671187303|gb|GBGH01024296.1||m.36576 gi|671187303|gb|GBGH01024296.1||g.36576  ,phyd155,_,2,-,-,-,N,-,101,-,-
gi|671187305|gb|GBGH01024294.1||m.36574 gi|671187305|gb|GBGH01024294.1||g.36574  ,phyd156,_,3,-,-,-,N,-,148,-,-
gi|671187306|gb|GBGH01024293.1||m.36573 gi|671187306|gb|GBGH01024293.1||g.36573  ,phyd157,S,2,-,-,-,N,-,147,-,-
gi|671187307|gb|GBGH01024292.1||m.36572 gi|671187307|gb|GBGH01024292.1||g.36572  ,phyd158,_,4,-,-,-,N,-,104,-,-
gi|671187308|gb|GBGH01024291.1||m.36571 gi|671187308|gb|GBGH01024291.1||g.36571  ,phyd159,_,2,-,-,-,N,-,142,-,-
gi|671187309|gb|GBGH01024290.1||m.36570 gi|671187309|gb|GBGH01024290.1||g.36570  ,phyd160,_,3,-,-,-,N,-,128,-,-
gi|671187310|gb|GBGH01024289.1||m.36569 gi|671187310|gb|GBGH01024289.1||g.36569  ,phyd161,_,2,-,-,-,N,-,107,-,-
gi|671187311|gb|GBGH01024288.1||m.36568 gi|671187311|gb|GBGH01024288.1||g.36568  ,phyd162,_,2,-,-,-,N,-,136,-,-
gi|671187312|gb|GBGH01024287.1||m.36567 gi|671187312|gb|GBGH01024287.1||g.36567  ,phyd163,_,4,-,-,-,N,-,127,-,-
gi|671187314|gb|GBGH01024285.1||m.36566 gi|671187314|gb|GBGH01024285.1||g.36566  ,phyd164,_,2,-,-,-,N,-,136,-,-
gi|671187315|gb|GBGH01024284.1||m.36565 gi|671187315|gb|GBGH01024284.1||g.36565  ,phyd165,_,1,-,-,scer543,Y,-,165,-,UTP10
gi|671187316|gb|GBGH01024283.1||m.36563 gi|671187316|gb|GBGH01024283.1||g.36563  ,phyd166,_,4,-,-,-,N,-,147,-,-
gi|671187317|gb|GBGH01024282.1||m.36562 gi|671187317|gb|GBGH01024282.1||g.36562  ,phyd167,_,3,-,-,-,N,-,224,-,-
gi|671187318|gb|GBGH01024281.1||m.36561 gi|671187318|gb|GBGH01024281.1||g.36561  ,phyd168,S,1,-,-,-,N,-,146,-,-
gi|671187319|gb|GBGH01024280.1||m.36560 gi|671187319|gb|GBGH01024280.1||g.36560  ,phyd169,_,4,-,-,-,N,-,180,-,-
gi|671187320|gb|GBGH01024279.1||m.36558 gi|671187320|gb|GBGH01024279.1||g.36558  ,phyd170,_,2,-,-,-,N,-,127,-,-
gi|671187322|gb|GBGH01024277.1||m.36555 gi|671187322|gb|GBGH01024277.1||g.36555  ,phyd171,_,1,-,-,-,N,-,180,-,-
gi|671187323|gb|GBGH01024276.1||m.36554 gi|671187323|gb|GBGH01024276.1||g.36554  ,phyd172,_,2,-,-,-,N,-,126,-,-
gi|671187325|gb|GBGH01024274.1||m.36553 gi|671187325|gb|GBGH01024274.1||g.36553  ,phyd173,S,2,-,-,-,N,-,102,-,-
gi|671187326|gb|GBGH01024273.1||m.36552 gi|671187326|gb|GBGH01024273.1||g.36552  ,phyd174,_,4,-,-,-,N,-,137,-,-
gi|671187327|gb|GBGH01024272.1||m.36550 gi|671187327|gb|GBGH01024272.1||g.36550  ,phyd175,S,1,-,-,-,N,-,111,-,-
gi|671187330|gb|GBGH01024269.1||m.36549 gi|671187330|gb|GBGH01024269.1||g.36549  ,phyd176,_,4,-,-,-,N,-,125,-,-
gi|671187332|gb|GBGH01024267.1||m.36548 gi|671187332|gb|GBGH01024267.1||g.36548  ,phyd177,M,1,-,-,-,Y,-,108,-,-
gi|671187333|gb|GBGH01024266.1||m.36547 gi|671187333|gb|GBGH01024266.1||g.36547  ,phyd178,M,3,-,-,-,Y,-,160,-,-
gi|671187335|gb|GBGH01024264.1||m.36546 gi|671187335|gb|GBGH01024264.1||g.36546  ,phyd179,_,1,-,-,-,N,-,118,-,-
