transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
comp10018_c0_seq1|m.8185,avas23,_ , 1, -, -, -,  N,-,357,-,-
comp10020_c0_seq1|m.8187,avas24,S , 5, -, -, -,  N,-,352,-,-
comp10020_c0_seq2|m.8188,avas25,M , 4, -, -, -,  N,-,396,-,-
comp10022_c0_seq1|m.8189,avas26,S , 1, -, -, -,  N,-,1284,-,-
comp10026_c0_seq1|m.8191,avas27,_ , 1, -, -, -,  N,-,842,-,-
comp10028_c0_seq1|m.8193,avas28,_ , 2, -, -, -,  N,-,845,-,-
comp10029_c0_seq1|m.8196,avas29,_ , 1, -, -, -,  N,-,566,-,-
comp10029_c0_seq2|m.8197,avas30,_ , 1, -, -, -,  N,-,566,-,-
comp10030_c0_seq1|m.8198,avas31,_ , 5, -, -, -,  N,-,909,-,-
comp10031_c0_seq1|m.8200,avas32,_ , 2, -, -, -,  N,-,310,-,-
comp10032_c0_seq1|m.8201,avas33,_ , 1, -, -, -,  N,-,371,-,-
comp10032_c0_seq2|m.8203,avas34,_ , 1, -, -, -,  N,-,371,-,-
comp10034_c0_seq1|m.8205,avas35,_ , 4, -, -, -,  N,-,184,-,-
comp10035_c0_seq1|m.8206,avas36,_ , 2, -, -, -,  N,-,303,-,-
comp10037_c0_seq1|m.8209,avas37,_ , 2, -, -, -,  N,-,908,-,-
comp10038_c0_seq1|m.8213,avas38,S , 1, -, -, -,  N,-,211,-,-
comp10038_c0_seq2|m.8214,avas39,S , 1, -, -, -,  N,-,216,-,-
comp10039_c0_seq1|m.8215,avas40,_ , 2, -, -, -,  N,-,436,-,-
comp10040_c0_seq1|m.8216,avas41,_ , 2, -, -, -,  N,-,344,-,-
comp10041_c0_seq1|m.8217,avas42,S , 4, -, -, -,  N,-,1906,-,-
comp10042_c0_seq1|m.8218,avas43,_ , 4, -, -, -,  N,-,254,-,-
comp10043_c0_seq1|m.8219,avas44,_ , 2, -, -, -,  N,-,332,-,-
comp10044_c0_seq1|m.8220,avas45,_ , 1, -, -, -,  N,-,407,-,-
comp10044_c0_seq2|m.8221,avas46,_ , 1, -, -, -,  N,-,407,-,-
comp10045_c0_seq1|m.8222,avas47,_ , 1, -, -, -,  N,-,401,-,-
comp10046_c0_seq1|m.8224,avas48,_ , 3, -, -, -,  N,-,252,-,-
comp10047_c0_seq1|m.8225,avas49,_ , 2, -, -, -,  N,-,407,-,-
comp10049_c0_seq1|m.8226,avas50,_ , 2, -, -, -,  N,-,303,-,-
comp10050_c0_seq1|m.8229,avas51,S , 1, -, -, -,  N,-,560,-,-
comp10051_c0_seq1|m.8231,avas52,M , 5, -, -, -,  N,-,129,-,-
comp10052_c0_seq1|m.8232,avas53,_ , 1, -, -, -,  N,-,432,-,-
comp10053_c0_seq1|m.8233,avas54,M , 2, -, -, -,  Y,-,157,-,-
comp10053_c0_seq2|m.8234,avas55,M , 3, -, -, -,  Y,-,153,-,-
comp10054_c0_seq1|m.8235,avas56,_ , 1, -, -, -,  N,-,565,-,-
comp10058_c0_seq1|m.8236,avas57,S , 1, -, -, -,  N,-,271,-,-
comp10059_c0_seq1|m.8238,avas58,_ , 3, -, -, -,  N,-,258,-,-
comp10059_c0_seq1|m.8237,avas59,_ , 2, -, -, -,  N,-,306,-,-
comp10060_c0_seq1|m.8240,avas60,S , 1, -, -, -,  N,-,259,-,-
comp10061_c0_seq1|m.8241,avas61,_ , 1, -, -, -,  N,-,365,-,-
comp10063_c0_seq1|m.8242,avas62,_ , 3, -, -, -,  N,-,313,-,-
comp10063_c0_seq2|m.8243,avas63,_ , 3, -, -, -,  N,-,313,-,-
comp10064_c0_seq1|m.8244,avas64,_ , 2, -, -, -,  N,-,310,-,-
comp10065_c0_seq1|m.8245,avas65,_ , 3, -, -, -,  N,-,105,-,-
comp10066_c0_seq1|m.8246,avas66,_ , 2, -, -, -,  N,-,777,-,-
comp10067_c0_seq1|m.8247,avas67,M , 5, -, -, -,  N,-,438,-,-
comp10068_c0_seq1|m.8248,avas68,S , 5, -, -, -,  N,-,776,-,-
comp10069_c0_seq1|m.8249,avas69,_ , 4, -, -, -,  N,-,845,-,-
comp1006_c0_seq1|m.377,avas70,S , 5, -, -, -,  N,-,102,-,-
comp10070_c0_seq1|m.8251,avas71,_ , 2, -, -, -,  N,-,322,-,-
comp10071_c0_seq1|m.8252,avas72,_ , 2, -, -, -,  N,-,166,-,-
comp10072_c0_seq1|m.8253,avas73,_ , 3, -, -, -,  N,-,121,-,-
comp10073_c0_seq1|m.8254,avas74,_ , 2, -, -, -,  N,-,128,-,-
comp10074_c0_seq1|m.8255,avas75,_ , 1, -, -, -,  N,-,286,-,-
comp10075_c0_seq1|m.8256,avas76,_ , 3, -, -, -,  N,-,236,-,-
comp10076_c0_seq1|m.8258,avas77,_ , 1, -, -, -,  N,-,1237,-,-
comp10077_c0_seq1|m.8267,avas78,S , 1, -, -, -,  N,-,504,-,-
comp10078_c0_seq1|m.8268,avas79,_ , 1, -, -, -,  N,-,1089,-,-
comp10079_c0_seq1|m.8269,avas80,_ , 4, -, -, -,  N,-,286,-,-
comp10080_c0_seq1|m.8270,avas81,M , 5, -, -, -,  N,-,314,-,-
comp10081_c0_seq1|m.8271,avas82,_ , 5, -, -, -,  N,-,218,-,-
comp10082_c0_seq1|m.8272,avas83,_ , 3, -, -, -,  N,-,269,-,-
comp10083_c0_seq1|m.8274,avas84,_ , 1, -, -, -,  N,-,319,-,-
comp10084_c0_seq1|m.8275,avas85,_ , 4, -, -, -,  N,-,590,-,-
comp10086_c0_seq1|m.8277,avas86,S , 1, -, -, -,  N,-,657,-,-
comp10087_c0_seq1|m.8278,avas87,_ , 4, -, -, -,  N,-,332,-,-
comp10088_c0_seq1|m.8280,avas88,S , 2, -, -, -,  N,-,143,-,-
comp1008_c0_seq1|m.378,avas89,_ , 5, -, -, -,  N,-,138,-,-
comp10090_c0_seq1|m.8281,avas90,_ , 1, -, -, -,  N,-,275,-,-
comp10091_c0_seq1|m.8283,avas91,_ , 1, -, -, -,  N,-,1255,-,-
comp10093_c0_seq1|m.8287,avas92,_ , 4, -, -, -,  N,-,346,-,-
comp10093_c0_seq2|m.8289,avas93,_ , 4, -, -, -,  N,-,346,-,-
comp10094_c0_seq1|m.8291,avas94,M , 5, -, -, -,  N,-,280,-,-
comp10095_c0_seq2|m.8292,avas95,_ , 3, -, -, -,  N,-,347,-,-
comp10095_c0_seq3|m.8294,avas96,_ , 3, -, -, -,  N,-,410,-,-
comp10097_c0_seq1|m.8295,avas97,_ , 5, -, -, -,  N,-,472,-,-
comp10097_c0_seq2|m.8296,avas98,_ , 5, -, -, -,  N,-,464,-,-
comp10098_c0_seq1|m.8297,avas99,_ , 1, -, -, -,  N,-,1234,-,-
comp10099_c0_seq1|m.8298,avas100,_ , 1, -, -, -,  N,-,277,-,-
comp10102_c0_seq1|m.8299,avas101,_ , 3, -, -, -,  N,-,386,-,-
comp10102_c0_seq2|m.8300,avas102,_ , 3, -, -, -,  N,-,386,-,-
comp10103_c0_seq1|m.8301,avas103,_ , 1, -, -, -,  N,-,255,-,-
comp10104_c0_seq1|m.8302,avas104,_ , 2, -, -, -,  N,-,294,-,-
comp10107_c0_seq1|m.8303,avas105,_ , 1, -, -, -,  N,-,122,-,-
comp10109_c0_seq1|m.8304,avas106,S , 1, -, -, -,  N,-,629,-,-
comp1010_c0_seq1|m.379,avas107,S , 5, -, -, -,  N,-,220,-,-
comp10110_c0_seq1|m.8305,avas108,_ , 4, -, -, -,  N,-,390,-,-
comp10111_c0_seq1|m.8306,avas109,_ , 5, -, -, -,  N,-,101,-,-
comp10113_c0_seq1|m.8307,avas110,S , 3, -, -, -,  N,-,564,-,-
comp10114_c0_seq1|m.8308,avas111,_ , 5, -, -, -,  N,-,580,-,-
comp10116_c0_seq1|m.8309,avas112,_ , 4, -, -, -,  N,-,286,-,-
comp10116_c0_seq2|m.8310,avas113,_ , 4, -, -, -,  N,-,286,-,-
comp10118_c0_seq1|m.8311,avas114,_ , 3, -, -, -,  N,-,293,-,-
comp1011_c0_seq1|m.381,avas115,_ , 1, -, -, -,  N,-,99,-,-
comp10120_c0_seq1|m.8313,avas116,_ , 1, -, -, -,  N,-,115,-,-
comp10120_c1_seq1|m.8314,avas117,_ , 1, -, -, -,  N,-,115,-,-
comp10121_c0_seq1|m.8315,avas118,_ , 2, -, -, -,  N,-,437,-,-
comp10122_c0_seq1|m.8317,avas119,_ , 2, -, -, -,  N,-,507,-,-
comp10125_c0_seq1|m.8319,avas120,M , 4, -, -, -,  N,-,720,-,-
comp10125_c0_seq2|m.8321,avas121,M , 2, -, -, -,  Y,-,709,-,-
comp10125_c0_seq3|m.8323,avas122,M , 4, -, -, -,  N,-,718,-,-
comp10125_c0_seq3|m.8324,avas123,_ , 2, -, -, -,  N,-,280,-,-
comp10125_c0_seq4|m.8327,avas124,M , 2, -, -, -,  Y,-,707,-,-
comp10125_c0_seq4|m.8328,avas125,_ , 2, -, -, -,  N,-,280,-,-
comp10125_c0_seq5|m.8331,avas126,_ , 2, -, -, -,  N,-,280,-,-
comp10128_c0_seq1|m.8332,avas127,_ , 1, -, -, -,  N,-,394,-,-
comp10129_c0_seq1|m.8333,avas128,_ , 2, -, -, -,  N,-,285,-,-
comp10129_c0_seq2|m.8335,avas129,_ , 1, -, -, -,  N,-,305,-,-
comp10130_c0_seq1|m.8337,avas130,_ , 2, -, -, -,  N,-,330,-,-
comp10130_c1_seq1|m.8338,avas131,_ , 3, -, -, -,  N,-,330,-,-
comp10131_c0_seq1|m.8339,avas132,_ , 5, -, -, -,  N,-,301,-,-
comp10135_c0_seq1|m.8341,avas133,_ , 2, -, -, -,  N,-,324,-,-
comp10136_c0_seq1|m.8342,avas134,S , 3, -, -, -,  N,-,201,-,-
comp10138_c0_seq1|m.8344,avas135,_ , 2, -, -, -,  N,-,181,-,-
comp10140_c0_seq1|m.8345,avas136,_ , 1, -, -, -,  N,-,120,-,-
comp10141_c0_seq1|m.8346,avas137,_ , 1, -, -, -,  N,-,167,-,-
comp10143_c0_seq1|m.8347,avas138,_ , 2, -, -, -,  N,-,294,-,-
comp10144_c0_seq1|m.8348,avas139,S , 1, -, -, -,  N,-,229,-,-
comp10145_c0_seq1|m.8349,avas140,_ , 1, -, -, -,  N,-,204,-,-
comp10147_c0_seq1|m.8350,avas141,M , 3, -, -, -,  Y,-,336,-,-
comp10148_c0_seq1|m.8351,avas142,S , 4, -, -, -,  N,-,155,-,-
comp10149_c0_seq1|m.8352,avas143,_ , 3, -, -, -,  N,-,162,-,-
comp10153_c0_seq1|m.8353,avas144,_ , 3, -, -, -,  N,-,194,-,-
comp10153_c0_seq2|m.8354,avas145,_ , 3, -, -, -,  N,-,194,-,-
comp10157_c0_seq1|m.8355,avas146,_ , 1, -, -, -,  N,-,194,-,-
comp10162_c0_seq1|m.8357,avas147,M , 4, -, -, -,  N,-,167,-,-
comp10163_c0_seq1|m.8360,avas148,_ , 1, -, -, -,  N,-,265,-,-
comp10167_c1_seq1|m.8362,avas149,_ , 2, -, -, -,  N,-,156,-,-
comp10168_c0_seq1|m.8363,avas150,M , 5, -, -, -,  N,-,286,-,-
comp10172_c0_seq1|m.8364,avas151,_ , 2, -, -, -,  N,-,113,-,-
comp10178_c0_seq1|m.8366,avas152,S , 1, -, -, -,  N,-,414,-,-
comp10182_c0_seq1|m.8367,avas153,_ , 1, -, -, -,  N,-,239,-,-
comp10182_c0_seq2|m.8369,avas154,_ , 1, -, -, -,  N,-,266,-,-
comp10182_c0_seq3|m.8371,avas155,_ , 1, -, -, -,  N,-,230,-,-
comp10183_c0_seq1|m.8373,avas156,_ , 2, -, -, -,  N,-,676,-,-
comp10184_c0_seq1|m.8374,avas157,_ , 2, -, -, -,  N,-,281,-,-
comp10186_c0_seq1|m.8375,avas158,_ , 3, -, -, -,  N,-,155,-,-
comp10188_c0_seq1|m.8376,avas159,_ , 4, -, -, -,  N,-,229,-,-
comp10190_c0_seq1|m.8377,avas160,_ , 2, -, -, -,  N,-,377,-,-
comp10191_c0_seq1|m.8380,avas161,_ , 2, -, -, -,  N,-,853,-,-
comp10191_c0_seq2|m.8383,avas162,_ , 2, -, -, -,  N,-,853,-,-
comp10192_c0_seq1|m.8386,avas163,_ , 2, -, -, -,  N,-,505,-,-
comp10194_c0_seq1|m.8389,avas164,_ , 3, -, -, -,  N,-,104,-,-
comp10194_c0_seq2|m.8391,avas165,_ , 3, -, -, -,  N,-,104,-,-
comp10194_c0_seq3|m.8393,avas166,_ , 3, -, -, -,  N,-,104,-,-
comp1019_c0_seq1|m.382,avas167,_ , 3, -, -, -,  N,-,244,-,-
comp10200_c0_seq1|m.8395,avas168,_ , 3, -, -, -,  N,-,237,-,-
comp10200_c0_seq1|m.8394,avas169,_ , 2, -, -, -,  N,-,535,-,-
comp10205_c0_seq1|m.8396,avas170,_ , 1, -, -, -,  N,-,116,-,-
comp10206_c0_seq1|m.8397,avas171,_ , 2, -, -, -,  N,-,203,-,-
comp10207_c0_seq1|m.8398,avas172,_ , 2, -, -, -,  N,-,955,-,-
comp10208_c0_seq1|m.8399,avas173,_ , 3, -, -, -,  N,-,306,-,-
comp1020_c0_seq1|m.383,avas174,_ , 4, -, -, -,  N,-,393,-,-
comp10210_c0_seq1|m.8403,avas175,S , 3, -, -, -,  N,-,231,-,-
comp10212_c0_seq1|m.8404,avas176,_ , 3, -, -, -,  N,-,293,-,-
comp10214_c0_seq1|m.8406,avas177,_ , 3, -, -, -,  N,-,209,-,-
comp10216_c0_seq1|m.8408,avas178,_ , 3, -, -, -,  N,-,169,-,-
comp10218_c0_seq1|m.8410,avas179,S , 5, -, -, -,  N,-,413,-,-
comp10219_c0_seq1|m.8412,avas180,_ , 1, -, -, -,  N,-,456,-,-
comp10219_c0_seq2|m.8413,avas181,_ , 1, -, -, -,  N,-,446,-,-
comp10219_c0_seq3|m.8414,avas182,_ , 1, -, -, -,  N,-,436,-,-
comp1021_c0_seq1|m.385,avas183,S , 2, -, -, -,  N,-,548,-,-
comp10221_c0_seq1|m.8415,avas184,_ , 3, -, -, -,  N,-,169,-,-
comp10223_c0_seq1|m.8417,avas185,_ , 1, -, -, -,  N,-,180,-,-
comp10223_c1_seq1|m.8418,avas186,_ , 3, -, -, -,  N,-,342,-,-
comp10224_c0_seq1|m.8420,avas187,_ , 2, -, -, -,  N,-,557,-,-
comp10226_c0_seq1|m.8421,avas188,_ , 1, -, -, -,  N,-,156,-,-
comp10228_c0_seq1|m.8422,avas189,S , 3, -, -, -,  N,-,507,-,-
comp10229_c0_seq1|m.8423,avas190,_ , 1, -, -, -,  N,-,265,-,-
comp1022_c0_seq1|m.386,avas191,_ , 3, -, -, -,  N,-,140,-,-
comp10230_c0_seq1|m.8424,avas192,_ , 2, -, -, -,  N,-,541,-,-
comp10230_c0_seq2|m.8425,avas193,_ , 2, -, -, -,  N,-,541,-,-
comp10231_c0_seq1|m.8427,avas194,_ , 2, -, -, -,  N,-,120,-,-
comp10232_c0_seq1|m.8428,avas195,_ , 4, -, -, -,  N,-,161,-,-
comp10234_c0_seq1|m.8429,avas196,_ , 2, -, -, -,  N,-,202,-,-
comp10240_c0_seq1|m.8430,avas197,_ , 1, -, -, -,  N,-,373,-,-
comp10241_c0_seq1|m.8431,avas198,_ , 2, -, -, -,  N,-,575,-,-
comp10243_c0_seq1|m.8432,avas199,_ , 2, -, -, -,  N,-,770,-,-
comp10243_c0_seq2|m.8434,avas200,_ , 2, -, -, -,  N,-,508,-,-
comp10243_c0_seq2|m.8435,avas201,_ , 1, -, -, -,  N,-,240,-,-
comp10243_c0_seq3|m.8437,avas202,_ , 2, -, -, -,  N,-,508,-,-
comp10243_c0_seq3|m.8438,avas203,_ , 2, -, -, -,  N,-,248,-,-
comp10243_c0_seq4|m.8440,avas204,_ , 1, -, -, -,  N,-,762,-,-
comp10244_c0_seq1|m.8442,avas205,_ , 2, -, -, -,  N,-,466,-,-
comp10245_c0_seq1|m.8444,avas206,_ , 2, -, -, -,  N,-,324,-,-
comp10246_c1_seq1|m.8445,avas207,_ , 5, -, -, -,  N,-,303,-,-
comp10249_c0_seq1|m.8446,avas208,_ , 2, -, -, -,  N,-,437,-,-
comp1024_c0_seq1|m.387,avas209,_ , 2, -, -, -,  N,-,398,-,-
comp10251_c0_seq1|m.8448,avas210,_ , 2, -, -, -,  N,-,597,-,-
comp10252_c1_seq1|m.8450,avas211,_ , 2, -, -, -,  N,-,112,-,-
comp10257_c0_seq1|m.8451,avas212,_ , 3, hsap1889, -, -,  Y,WDR81,1031,-,-
comp10259_c0_seq1|m.8453,avas213,_ , 4, -, -, -,  N,-,355,-,-
comp10260_c0_seq1|m.8454,avas214,_ , 2, -, -, -,  N,-,437,-,-
comp10260_c1_seq1|m.8456,avas215,M , 5, -, -, -,  N,-,304,-,-
comp10262_c0_seq1|m.8460,avas216,M , 5, -, -, -,  N,-,152,-,-
comp10262_c0_seq1|m.8459,avas217,S , 5, -, -, -,  N,-,262,-,-
comp10265_c0_seq1|m.8461,avas218,M , 5, -, -, -,  N,-,441,-,-
comp10267_c0_seq1|m.8463,avas219,_ , 2, -, -, -,  N,-,222,-,-
comp10267_c1_seq1|m.8464,avas220,_ , 1, -, -, -,  N,-,108,-,-
comp10268_c0_seq1|m.8465,avas221,_ , 4, -, -, -,  N,-,114,-,-
comp1026_c0_seq1|m.389,avas222,_ , 2, -, -, -,  N,-,336,-,-
comp10271_c0_seq1|m.8466,avas223,_ , 1, -, -, -,  N,-,466,-,-
comp10272_c0_seq1|m.8467,avas224,_ , 2, -, -, -,  N,-,363,-,-
comp10277_c0_seq1|m.8470,avas225,_ , 1, -, -, -,  N,-,178,-,-
comp10277_c0_seq1|m.8469,avas226,_ , 1, -, -, -,  N,-,371,-,-
comp10278_c0_seq1|m.8472,avas227,_ , 3, -, -, -,  N,-,481,-,-
comp10278_c0_seq2|m.8475,avas228,_ , 3, -, -, -,  N,-,258,-,-
comp10284_c0_seq1|m.8480,avas229,_ , 2, -, -, -,  N,-,315,-,-
comp10286_c0_seq1|m.8482,avas230,M , 5, -, -, -,  N,-,185,-,-
comp10288_c0_seq1|m.8483,avas231,_ , 1, -, -, -,  N,-,393,-,-
comp10288_c0_seq2|m.8484,avas232,_ , 4, -, -, -,  N,-,206,-,-
comp10288_c0_seq3|m.8485,avas233,_ , 1, -, -, -,  N,-,353,-,-
comp10289_c0_seq1|m.8486,avas234,_ , 3, -, -, -,  N,-,206,-,-
comp10290_c0_seq1|m.8487,avas235,_ , 1, -, -, -,  N,-,531,-,-
comp10291_c0_seq1|m.8489,avas236,_ , 2, -, -, -,  N,-,236,-,-
comp10293_c0_seq1|m.8490,avas237,M , 5, -, -, -,  N,-,314,-,-
comp10294_c0_seq1|m.8491,avas238,_ , 2, -, -, -,  N,-,263,-,-
comp10296_c1_seq1|m.8492,avas239,_ , 3, -, -, -,  N,-,109,-,-
comp10297_c0_seq1|m.8493,avas240,_ , 3, -, -, -,  N,-,383,-,-
comp10299_c0_seq1|m.8494,avas241,_ , 4, -, -, -,  N,-,309,-,-
comp10300_c0_seq1|m.8498,avas242,_ , 2, -, -, -,  N,-,115,-,-
comp10300_c0_seq1|m.8495,avas243,_ , 4, -, -, -,  N,-,2100,-,-
comp10300_c0_seq2|m.8499,avas244,_ , 4, -, -, -,  N,-,2100,-,-
comp10300_c0_seq3|m.8506,avas245,_ , 2, -, -, -,  N,-,115,-,-
comp10300_c0_seq3|m.8503,avas246,_ , 4, -, -, -,  N,-,2131,-,-
comp10300_c0_seq4|m.8507,avas247,_ , 4, -, -, -,  N,-,2131,-,-
comp10302_c0_seq1|m.8511,avas248,_ , 2, -, -, -,  N,-,1365,-,-
comp10302_c0_seq2|m.8512,avas249,_ , 2, -, -, -,  N,-,1365,-,-
comp103051_c0_seq1|m.61205,avas250,S , 1, -, -, -,  N,-,104,-,-
comp103061_c0_seq1|m.61206,avas251,_ , 1, -, -, -,  N,-,156,-,-
comp10306_c0_seq1|m.8513,avas252,_ , 2, -, -, -,  N,-,254,-,-
comp10307_c0_seq1|m.8514,avas253,_ , 2, -, -, -,  N,-,416,-,-
comp10309_c0_seq1|m.8515,avas254,_ , 1, -, -, -,  N,-,442,-,-
comp10309_c0_seq2|m.8516,avas255,_ , 1, -, -, -,  N,-,442,-,-
comp10310_c0_seq1|m.8517,avas256,_ , 3, -, -, -,  N,-,775,-,-
comp10310_c1_seq1|m.8518,avas257,_ , 1, -, -, -,  N,-,202,-,-
comp10313_c0_seq1|m.8519,avas258,_ , 3, -, -, -,  N,-,1188,-,-
comp103154_c0_seq1|m.61207,avas259,_ , 3, -, -, -,  N,-,119,-,-
comp10317_c0_seq1|m.8520,avas260,_ , 2, -, -, -,  N,-,348,-,-
comp10322_c0_seq1|m.8522,avas261,_ , 4, -, -, -,  N,-,152,-,-
comp10322_c1_seq1|m.8523,avas262,_ , 2, -, -, -,  N,-,122,-,-
comp103231_c0_seq1|m.61208,avas263,S , 4, -, -, -,  N,-,102,-,-
comp10323_c0_seq1|m.8524,avas264,S , 1, -, -, -,  N,-,288,-,-
comp10327_c0_seq1|m.8525,avas265,_ , 2, -, -, -,  N,-,1010,-,-
comp10329_c0_seq1|m.8527,avas266,_ , 1, -, -, -,  N,-,180,-,-
comp10330_c0_seq1|m.8528,avas267,_ , 2, -, -, -,  N,-,305,-,-
comp10331_c0_seq2|m.8529,avas268,M , 5, -, -, -,  N,-,215,-,-
comp10333_c0_seq1|m.8531,avas269,_ , 3, -, -, -,  N,-,210,-,-
comp10334_c0_seq1|m.8534,avas270,_ , 4, -, -, -,  N,-,113,-,-
comp10334_c0_seq1|m.8532,avas271,_ , 1, -, -, -,  N,-,694,-,-
comp10334_c0_seq1|m.8533,avas272,_ , 5, -, -, -,  N,-,129,-,-
comp10335_c0_seq1|m.8536,avas273,_ , 1, -, -, -,  N,-,339,-,-
comp10336_c0_seq1|m.8537,avas274,_ , 1, -, -, -,  N,-,140,-,-
comp10337_c0_seq1|m.8538,avas275,_ , 3, -, -, -,  N,-,231,-,-
comp10337_c1_seq1|m.8539,avas276,_ , 3, -, -, -,  N,-,103,-,-
comp10339_c0_seq1|m.8540,avas277,_ , 3, -, -, -,  N,-,115,-,-
comp10340_c0_seq1|m.8541,avas278,_ , 4, -, -, -,  N,-,373,-,-
comp10341_c0_seq1|m.8542,avas279,_ , 2, -, -, -,  N,-,281,-,-
comp10343_c0_seq1|m.8543,avas280,_ , 2, -, -, -,  N,-,119,-,-
comp10344_c0_seq1|m.8544,avas281,_ , 3, -, -, -,  N,-,194,-,-
comp10344_c0_seq2|m.8545,avas282,_ , 3, -, -, scer1104,  Y,-,194,-,RHO1
comp10348_c0_seq1|m.8546,avas283,_ , 2, -, -, -,  N,-,124,-,-
comp10349_c0_seq1|m.8547,avas284,_ , 4, -, -, -,  N,-,286,-,-
comp10349_c0_seq2|m.8548,avas285,_ , 4, -, -, -,  N,-,286,-,-
comp10351_c0_seq1|m.8549,avas286,S , 1, -, -, -,  N,-,288,-,-
comp10352_c0_seq1|m.8550,avas287,_ , 2, -, -, -,  N,-,239,-,-
comp10352_c0_seq2|m.8551,avas288,_ , 1, -, -, -,  N,-,220,-,-
comp10353_c0_seq1|m.8552,avas289,M , 5, -, -, -,  N,-,606,-,-
comp10354_c0_seq1|m.8553,avas290,_ , 5, -, -, -,  N,-,129,-,-
comp10355_c0_seq1|m.8554,avas291,_ , 3, -, -, -,  N,-,281,-,-
comp10355_c0_seq2|m.8555,avas292,_ , 3, -, -, -,  N,-,278,-,-
comp10357_c0_seq1|m.8556,avas293,_ , 4, -, -, -,  N,-,402,-,-
comp10359_c0_seq1|m.8557,avas294,_ , 5, -, -, -,  N,-,273,-,-
comp1035_c0_seq1|m.392,avas295,_ , 1, -, -, -,  N,-,113,-,-
comp10363_c0_seq1|m.8558,avas296,_ , 1, -, -, -,  N,-,107,-,-
comp10364_c0_seq1|m.8559,avas297,_ , 2, -, -, -,  N,-,1049,-,-
comp10367_c0_seq1|m.8561,avas298,_ , 3, -, -, -,  N,-,333,-,-
comp10368_c0_seq1|m.8562,avas299,_ , 2, -, -, -,  N,-,115,-,-
comp10369_c0_seq1|m.8563,avas300,_ , 1, -, -, -,  N,-,526,-,-
comp10372_c0_seq1|m.8565,avas301,S , 1, -, -, -,  N,-,337,-,-
comp10373_c0_seq1|m.8567,avas302,_ , 1, -, -, -,  N,-,216,-,-
comp10373_c0_seq2|m.8568,avas303,_ , 1, -, -, -,  N,-,216,-,-
comp10373_c0_seq3|m.8569,avas304,_ , 1, -, -, -,  N,-,216,-,-
comp10378_c0_seq1|m.8570,avas305,_ , 2, -, -, -,  N,-,356,-,-
comp10379_c0_seq1|m.8571,avas306,_ , 2, -, -, -,  N,-,345,-,-
comp10380_c0_seq1|m.8572,avas307,_ , 4, -, -, -,  N,-,420,-,-
comp10381_c0_seq1|m.8574,avas308,M , 4, -, -, -,  N,-,704,-,-
comp10384_c0_seq1|m.8576,avas309,_ , 2, -, -, -,  N,-,361,-,-
comp10388_c0_seq1|m.8577,avas310,_ , 1, -, -, -,  N,-,294,-,-
comp10390_c0_seq1|m.8578,avas311,S , 4, -, -, -,  N,-,360,-,-
comp10392_c0_seq1|m.8579,avas312,_ , 3, -, -, -,  N,-,636,-,-
comp10392_c0_seq1|m.8580,avas313,S , 1, -, -, -,  N,-,275,-,-
comp10395_c0_seq1|m.8584,avas314,_ , 5, -, -, -,  N,-,401,-,-
comp10395_c0_seq1|m.8585,avas315,S , 4, -, -, -,  N,-,108,-,-
