transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
sctid100162,scil98,_ , 2, -, -, -,  N,-,107,-,-
sctid100163,scil99,_ , 5, -, -, -,  N,-,137,-,-
sctid100165,scil100,_ , 3, -, -, -,  N,-,110,-,-
sctid10016,scil101,S , 2, -, -, -,  N,-,1547,-,-
sctid100170,scil102,_ , 2, -, -, -,  N,-,251,-,-
sctid100173,scil103,_ , 1, -, -, -,  N,-,437,-,-
sctid100178,scil104,_ , 4, -, -, -,  N,-,117,-,-
sctid100181,scil105,_ , 4, -, -, -,  N,-,142,-,-
sctid100184,scil106,_ , 3, -, -, -,  N,-,194,-,-
sctid100187,scil107,S , 1, -, -, -,  N,-,198,-,-
sctid100188,scil108,S , 1, -, -, -,  N,-,187,-,-
sctid10018,scil109,M , 4, -, -, -,  N,-,1681,-,-
sctid100192,scil110,S , 1, -, -, -,  N,-,252,-,-
sctid100194,scil111,S , 1, -, -, -,  N,-,229,-,-
sctid100196,scil112,_ , 3, -, -, -,  N,-,120,-,-
sctid100197,scil113,_ , 4, -, -, -,  N,-,163,-,-
sctid100199,scil114,_ , 5, -, -, -,  N,-,176,-,-
sctid100200,scil115,_ , 3, -, -, -,  N,-,191,-,-
sctid100201,scil116,_ , 2, -, -, -,  N,-,217,-,-
sctid100202,scil117,M , 4, -, -, -,  N,-,289,-,-
sctid100205,scil118,_ , 2, -, -, -,  N,-,203,-,-
sctid100208,scil119,S , 2, -, -, -,  N,-,113,-,-
sctid100209,scil120,S , 5, -, -, -,  N,-,216,-,-
sctid100213,scil121,_ , 1, -, -, -,  N,-,126,-,-
sctid100214,scil122,M , 5, -, -, -,  N,-,160,-,-
sctid100217,scil123,_ , 2, -, -, -,  N,-,289,-,-
sctid100218,scil124,S , 3, -, -, -,  N,-,219,-,-
sctid100221,scil125,_ , 2, -, -, -,  N,-,202,-,-
sctid100224,scil126,_ , 1, -, -, -,  N,-,288,-,-
sctid100227,scil127,_ , 2, -, -, -,  N,-,203,-,-
sctid100231,scil128,_ , 1, -, -, -,  N,-,239,-,-
sctid100232,scil129,_ , 1, -, -, -,  N,-,288,-,-
sctid100236,scil130,M , 5, -, -, -,  N,-,265,-,-
sctid100237,scil131,_ , 1, -, -, -,  N,-,277,-,-
sctid100238,scil132,S , 1, -, -, -,  N,-,260,-,-
sctid100239,scil133,_ , 2, -, -, -,  N,-,187,-,-
sctid100240,scil134,_ , 5, -, -, -,  N,-,105,-,-
sctid100241,scil135,S , 1, -, -, -,  N,-,288,-,-
sctid100243,scil136,_ , 3, -, -, -,  N,-,179,-,-
sctid100244,scil137,_ , 1, -, -, -,  N,-,288,-,-
sctid100248,scil138,_ , 1, -, -, -,  N,-,207,-,-
sctid10024,scil139,_ , 2, -, -, -,  N,-,1900,-,-
sctid100253,scil140,_ , 2, -, -, -,  N,-,178,-,-
sctid100254,scil141,_ , 3, -, -, -,  N,-,134,-,-
sctid100255,scil142,_ , 2, -, -, -,  N,-,288,-,-
sctid100256,scil143,_ , 2, -, -, -,  N,-,289,-,-
sctid100257,scil144,S , 4, -, -, -,  N,-,105,-,-
sctid100258,scil145,_ , 2, -, -, -,  N,-,289,-,-
sctid100260,scil146,_ , 3, -, -, -,  N,-,289,-,-
sctid100261,scil147,_ , 1, -, -, -,  N,-,289,-,-
sctid100262,scil148,_ , 5, -, -, -,  N,-,234,-,-
sctid100264,scil149,_ , 1, -, -, -,  N,-,105,-,-
sctid100265,scil150,_ , 3, -, -, -,  N,-,206,-,-
sctid100267,scil151,_ , 4, -, -, -,  N,-,288,-,-
sctid100270,scil152,_ , 1, -, -, -,  N,-,114,-,-
sctid100271,scil153,M , 5, -, -, -,  N,-,288,-,-
sctid100273,scil154,_ , 3, -, -, -,  N,-,259,-,-
sctid100278,scil155,M , 4, -, -, -,  N,-,159,-,-
sctid100278,scil156,_ , 3, -, -, -,  N,-,104,-,-
sctid100280,scil157,_ , 4, -, -, -,  N,-,288,-,-
sctid100281,scil158,_ , 1, -, -, -,  N,-,269,-,-
sctid100283,scil159,_ , 2, -, -, -,  N,-,281,-,-
sctid100284,scil160,_ , 2, -, -, -,  N,-,302,-,-
sctid100286,scil161,_ , 4, -, -, -,  N,-,225,-,-
sctid100289,scil162,_ , 5, -, -, -,  N,-,129,-,-
sctid10028,scil163,_ , 3, -, -, -,  N,-,1320,-,-
sctid100290,scil164,_ , 1, -, -, -,  N,-,288,-,-
sctid100292,scil165,_ , 2, -, -, -,  N,-,264,-,-
sctid100294,scil166,M , 2, -, -, -,  Y,-,237,-,-
sctid100298,scil167,_ , 3, -, -, -,  N,-,288,-,-
sctid100299,scil168,_ , 5, -, -, -,  N,-,288,-,-
sctid100301,scil169,_ , 2, -, -, -,  N,-,288,-,-
sctid100303,scil170,_ , 4, -, -, -,  N,-,194,-,-
sctid100305,scil171,M , 5, -, -, -,  N,-,287,-,-
sctid100307,scil172,_ , 3, -, -, -,  N,-,185,-,-
sctid100308,scil173,M , 3, -, -, -,  Y,-,288,-,-
sctid100309,scil174,_ , 2, -, -, -,  N,-,288,-,-
sctid100311,scil175,S , 4, -, -, -,  N,-,400,-,-
sctid100311,scil176,_ , 1, -, -, -,  N,-,558,-,-
sctid100314,scil177,_ , 2, -, -, -,  N,-,272,-,-
sctid100316,scil178,_ , 1, -, -, -,  N,-,287,-,-
sctid100320,scil179,_ , 3, -, -, -,  N,-,287,-,-
sctid100323,scil180,_ , 1, -, -, -,  N,-,287,-,-
sctid100327,scil181,_ , 2, -, -, -,  N,-,218,-,-
sctid100328,scil182,_ , 5, -, -, -,  N,-,232,-,-
sctid100330,scil183,M , 2, -, -, -,  Y,-,201,-,-
sctid100330,scil184,_ , 1, -, -, -,  N,-,115,-,-
sctid100333,scil185,_ , 1, -, -, -,  N,-,287,-,-
sctid100338,scil186,_ , 4, -, -, -,  N,-,287,-,-
sctid100341,scil187,_ , 1, -, -, -,  N,-,168,-,-
sctid100344,scil188,_ , 3, -, -, -,  N,-,126,-,-
sctid100345,scil189,_ , 2, -, -, -,  N,-,280,-,-
sctid100346,scil190,_ , 2, -, -, -,  N,-,287,-,-
sctid100348,scil191,_ , 1, -, -, -,  N,-,287,-,-
sctid100349,scil192,_ , 5, -, -, -,  N,-,199,-,-
sctid100350,scil193,S , 1, -, -, -,  N,-,194,-,-
sctid100351,scil194,_ , 5, -, -, -,  N,-,287,-,-
sctid100353,scil195,_ , 5, -, -, -,  N,-,264,-,-
sctid100354,scil196,_ , 5, -, -, -,  N,-,270,-,-
sctid100355,scil197,_ , 1, -, -, -,  N,-,103,-,-
sctid100356,scil198,_ , 1, -, -, -,  N,-,210,-,-
sctid100359,scil199,_ , 1, -, -, -,  N,-,287,-,-
sctid10035,scil200,_ , 4, -, -, -,  N,-,1512,-,-
sctid100361,scil201,S , 5, -, -, -,  N,-,221,-,-
sctid100362,scil202,_ , 2, -, -, -,  N,-,229,-,-
sctid100365,scil203,_ , 4, -, -, -,  N,-,173,-,-
sctid100368,scil204,M , 3, hsap159, mmus269, -,  Y,BOLA1,126,Bola1,-
sctid100369,scil205,_ , 4, -, -, -,  N,-,287,-,-
sctid100370,scil206,S , 1, -, -, -,  N,-,148,-,-
sctid100371,scil207,S , 5, -, -, -,  N,-,116,-,-
sctid100374,scil208,_ , 2, -, -, -,  N,-,208,-,-
sctid100377,scil209,S , 2, -, -, -,  N,-,234,-,-
sctid100378,scil210,_ , 5, -, -, -,  N,-,111,-,-
sctid100379,scil211,_ , 2, -, -, -,  N,-,287,-,-
sctid100380,scil212,_ , 1, -, -, -,  N,-,398,-,-
sctid100381,scil213,_ , 1, -, -, -,  N,-,286,-,-
sctid100382,scil214,_ , 2, -, -, -,  N,-,217,-,-
sctid100386,scil215,_ , 4, -, -, -,  N,-,121,-,-
sctid100387,scil216,_ , 4, -, -, -,  N,-,169,-,-
sctid100388,scil217,_ , 5, -, -, -,  N,-,183,-,-
sctid100389,scil218,S , 1, -, -, -,  N,-,146,-,-
sctid100390,scil219,M , 2, -, -, -,  Y,-,262,-,-
sctid100392,scil220,S , 3, -, -, -,  N,-,103,-,-
sctid100395,scil221,_ , 2, -, -, -,  N,-,219,-,-
sctid100396,scil222,S , 1, -, -, -,  N,-,316,-,-
sctid100399,scil223,_ , 1, -, -, -,  N,-,286,-,-
sctid100403,scil224,_ , 2, -, -, -,  N,-,151,-,-
sctid100406,scil225,M , 5, -, -, -,  N,-,164,-,-
sctid100408,scil226,_ , 3, -, -, -,  N,-,194,-,-
sctid100409,scil227,_ , 5, -, -, -,  N,-,116,-,-
sctid100410,scil228,_ , 2, -, -, -,  N,-,254,-,-
sctid100411,scil229,M , 5, -, -, -,  N,-,529,-,-
sctid100412,scil230,_ , 2, -, -, -,  N,-,248,-,-
sctid100414,scil231,S , 2, -, -, -,  N,-,103,-,-
sctid100416,scil232,M , 5, -, -, -,  N,-,136,-,-
sctid100418,scil233,_ , 5, -, -, -,  N,-,122,-,-
sctid100419,scil234,_ , 2, -, -, -,  N,-,481,-,-
sctid100421,scil235,M , 5, -, -, -,  N,-,213,-,-
sctid100422,scil236,_ , 1, -, -, -,  N,-,286,-,-
sctid100424,scil237,M , 4, -, -, -,  N,-,253,-,-
sctid100427,scil238,_ , 2, -, -, -,  N,-,107,-,-
sctid100428,scil239,_ , 1, -, -, -,  N,-,286,-,-
sctid10042,scil240,S , 4, -, -, -,  N,-,296,-,-
sctid100430,scil241,_ , 3, -, -, -,  N,-,286,-,-
sctid100431,scil242,_ , 3, -, -, -,  N,-,286,-,-
sctid100433,scil243,_ , 3, -, -, -,  N,-,167,-,-
sctid100434,scil244,_ , 2, -, -, -,  N,-,242,-,-
sctid100435,scil245,_ , 2, -, -, -,  N,-,261,-,-
sctid100436,scil246,M , 5, -, -, -,  N,-,118,-,-
sctid100438,scil247,M , 4, -, -, -,  N,-,112,-,-
sctid100439,scil248,_ , 2, -, -, -,  N,-,285,-,-
sctid100440,scil249,S , 5, -, -, -,  N,-,255,-,-
sctid100442,scil250,M , 4, -, -, -,  N,-,172,-,-
sctid100445,scil251,_ , 4, -, -, -,  N,-,160,-,-
sctid100446,scil252,_ , 3, -, -, -,  N,-,101,-,-
sctid100447,scil253,_ , 4, -, -, -,  N,-,100,-,-
sctid100448,scil254,_ , 3, -, -, -,  N,-,285,-,-
sctid100449,scil255,_ , 5, -, -, -,  N,-,191,-,-
sctid100450,scil256,S , 2, -, -, -,  N,-,479,-,-
sctid100452,scil257,_ , 2, -, -, -,  N,-,207,-,-
sctid100454,scil258,_ , 2, -, -, -,  N,-,128,-,-
sctid100455,scil259,_ , 2, -, -, -,  N,-,138,-,-
sctid100457,scil260,_ , 1, -, -, -,  N,-,286,-,-
sctid100459,scil261,S , 1, -, -, -,  N,-,137,-,-
sctid100460,scil262,_ , 2, -, -, -,  N,-,225,-,-
sctid100462,scil263,_ , 1, -, -, -,  N,-,285,-,-
sctid100466,scil264,_ , 5, -, -, -,  N,-,146,-,-
sctid100467,scil265,M , 1, -, -, -,  Y,-,184,-,-
sctid100468,scil266,S , 1, -, -, -,  N,-,208,-,-
sctid10046,scil267,_ , 2, -, -, -,  N,-,1899,-,-
sctid100470,scil268,_ , 2, -, -, -,  N,-,134,-,-
sctid100471,scil269,M , 3, -, -, -,  Y,-,121,-,-
sctid100472,scil270,M , 5, -, -, -,  N,-,231,-,-
sctid100473,scil271,S , 1, -, -, -,  N,-,208,-,-
sctid100474,scil272,_ , 1, -, -, -,  N,-,246,-,-
sctid100476,scil273,M , 5, -, -, -,  N,-,270,-,-
sctid100478,scil274,S , 5, -, -, -,  N,-,285,-,-
sctid100482,scil275,_ , 4, -, -, -,  N,-,285,-,-
sctid100485,scil276,_ , 2, -, -, -,  N,-,279,-,-
sctid100486,scil277,_ , 1, -, -, -,  N,-,151,-,-
sctid100487,scil278,_ , 1, -, -, -,  N,-,128,-,-
sctid100488,scil279,_ , 3, -, -, -,  N,-,128,-,-
sctid100492,scil280,S , 2, -, -, -,  N,-,145,-,-
sctid100493,scil281,S , 4, -, -, -,  N,-,124,-,-
sctid100494,scil282,_ , 2, -, -, -,  N,-,214,-,-
sctid100495,scil283,_ , 2, -, -, -,  N,-,247,-,-
sctid100498,scil284,_ , 3, -, -, -,  N,-,202,-,-
sctid100499,scil285,S , 1, -, -, -,  N,-,226,-,-
sctid100500,scil286,S , 4, -, -, -,  N,-,267,-,-
sctid100502,scil287,_ , 3, -, -, -,  N,-,166,-,-
sctid100504,scil288,M , 2, -, -, -,  Y,-,198,-,-
sctid100505,scil289,_ , 3, -, -, -,  N,-,216,-,-
sctid100506,scil290,_ , 3, -, -, -,  N,-,284,-,-
sctid100507,scil291,S , 1, -, -, -,  N,-,243,-,-
sctid100508,scil292,_ , 2, -, -, -,  N,-,209,-,-
sctid100509,scil293,_ , 1, -, -, -,  N,-,198,-,-
sctid10050,scil294,_ , 3, -, -, -,  N,-,1269,-,-
sctid100514,scil295,M , 3, -, -, -,  Y,-,185,-,-
sctid100515,scil296,_ , 5, -, -, -,  N,-,106,-,-
sctid100517,scil297,_ , 1, -, -, -,  N,-,181,-,-
sctid100518,scil298,_ , 5, -, -, -,  N,-,100,-,-
sctid100519,scil299,S , 1, -, -, -,  N,-,285,-,-
sctid100521,scil300,_ , 3, -, -, -,  N,-,284,-,-
sctid100524,scil301,S , 1, -, -, -,  N,-,162,-,-
sctid100525,scil302,_ , 5, -, -, -,  N,-,217,-,-
sctid100526,scil303,M , 3, -, -, -,  Y,-,185,-,-
sctid100528,scil304,S , 1, -, -, -,  N,-,165,-,-
sctid100529,scil305,_ , 3, -, -, -,  N,-,188,-,-
sctid100531,scil306,_ , 2, -, -, -,  N,-,273,-,-
sctid100532,scil307,_ , 1, -, -, -,  N,-,101,-,-
sctid100535,scil308,_ , 2, -, -, -,  N,-,284,-,-
sctid100536,scil309,_ , 4, -, -, -,  N,-,284,-,-
sctid100538,scil310,S , 1, -, -, -,  N,-,284,-,-
sctid100540,scil311,M , 3, -, -, -,  Y,-,218,-,-
sctid100543,scil312,_ , 1, -, -, -,  N,-,162,-,-
sctid100544,scil313,_ , 1, -, -, -,  N,-,208,-,-
sctid100548,scil314,_ , 5, -, -, -,  N,-,230,-,-
sctid10054,scil315,_ , 4, -, -, -,  N,-,893,-,-
sctid100550,scil316,M , 4, -, -, -,  N,-,223,-,-
sctid100553,scil317,_ , 2, -, -, -,  N,-,237,-,-
sctid100555,scil318,M , 3, -, -, -,  Y,-,134,-,-
sctid100558,scil319,_ , 5, -, -, -,  N,-,129,-,-
sctid100559,scil320,_ , 1, -, -, -,  N,-,284,-,-
sctid10055,scil321,_ , 3, -, -, -,  N,-,399,-,-
sctid100560,scil322,_ , 3, -, -, -,  N,-,255,-,-
sctid100562,scil323,_ , 2, -, -, -,  N,-,117,-,-
sctid100563,scil324,_ , 3, -, -, -,  N,-,200,-,-
sctid100564,scil325,M , 5, -, -, -,  N,-,241,-,-
sctid100567,scil326,S , 1, -, -, -,  N,-,222,-,-
sctid100569,scil327,_ , 2, -, -, -,  N,-,187,-,-
sctid100571,scil328,_ , 2, -, -, -,  N,-,284,-,-
sctid100573,scil329,_ , 5, -, -, -,  N,-,177,-,-
sctid100574,scil330,_ , 1, -, -, -,  N,-,204,-,-
sctid100575,scil331,_ , 1, -, -, -,  N,-,265,-,-
sctid100576,scil332,M , 2, -, -, -,  Y,-,149,-,-
sctid100578,scil333,_ , 2, -, -, -,  N,-,214,-,-
sctid100581,scil334,_ , 3, -, -, -,  N,-,108,-,-
sctid100583,scil335,_ , 1, -, -, -,  N,-,213,-,-
sctid100586,scil336,_ , 2, -, -, -,  N,-,145,-,-
sctid100587,scil337,S , 3, -, -, -,  N,-,185,-,-
sctid100588,scil338,_ , 2, -, -, -,  N,-,143,-,-
sctid100589,scil339,_ , 3, -, -, -,  N,-,158,-,-
sctid100590,scil340,_ , 3, -, -, -,  N,-,284,-,-
sctid100591,scil341,_ , 5, -, -, -,  N,-,283,-,-
sctid100592,scil342,M , 2, -, -, -,  Y,-,197,-,-
sctid100592,scil343,_ , 1, -, -, -,  N,-,115,-,-
sctid100595,scil344,_ , 2, -, -, -,  N,-,283,-,-
sctid100597,scil345,_ , 2, -, -, -,  N,-,283,-,-
sctid100598,scil346,S , 2, -, -, -,  N,-,140,-,-
sctid100599,scil347,_ , 4, -, -, -,  N,-,239,-,-
sctid10059,scil348,_ , 2, -, -, -,  N,-,680,-,-
sctid100600,scil349,M , 4, -, -, -,  N,-,110,-,-
sctid100601,scil350,_ , 3, -, -, -,  N,-,158,-,-
sctid100603,scil351,_ , 3, -, -, -,  N,-,251,-,-
sctid100605,scil352,M , 5, -, -, -,  N,-,176,-,-
sctid100606,scil353,_ , 2, -, -, -,  N,-,158,-,-
sctid100607,scil354,_ , 1, -, -, -,  N,-,115,-,-
sctid100607,scil355,M , 1, -, -, -,  Y,-,197,-,-
sctid100610,scil356,_ , 2, -, -, -,  N,-,149,-,-
sctid100611,scil357,_ , 1, -, -, -,  N,-,283,-,-
sctid100615,scil358,_ , 2, -, -, -,  N,-,283,-,-
sctid100617,scil359,_ , 3, -, -, -,  N,-,356,-,-
sctid100618,scil360,_ , 5, -, -, -,  N,-,272,-,-
sctid100622,scil361,_ , 1, -, -, -,  N,-,283,-,-
sctid100626,scil362,_ , 1, -, -, -,  N,-,284,-,-
sctid100627,scil363,_ , 1, -, -, -,  N,-,283,-,-
sctid100629,scil364,M , 3, -, -, -,  Y,-,260,-,-
sctid100630,scil365,_ , 2, -, -, -,  N,-,161,-,-
sctid100632,scil366,_ , 4, -, -, -,  N,-,106,-,-
sctid100634,scil367,S , 4, -, -, -,  N,-,283,-,-
sctid100635,scil368,_ , 1, -, -, -,  N,-,114,-,-
sctid100638,scil369,_ , 3, -, -, -,  N,-,190,-,-
sctid100639,scil370,_ , 4, -, -, -,  N,-,264,-,-
sctid10063,scil371,S , 5, -, -, -,  N,-,1771,-,-
sctid100640,scil372,M , 5, -, -, -,  N,-,204,-,-
sctid100641,scil373,_ , 3, -, -, -,  N,-,142,-,-
sctid100642,scil374,_ , 4, -, -, -,  N,-,114,-,-
sctid100644,scil375,_ , 3, -, -, -,  N,-,246,-,-
sctid100645,scil376,_ , 3, -, -, -,  N,-,250,-,-
sctid100649,scil377,_ , 2, -, -, -,  N,-,192,-,-
sctid100651,scil378,_ , 2, -, -, -,  N,-,158,-,-
sctid100654,scil379,_ , 4, -, -, -,  N,-,151,-,-
sctid100655,scil380,_ , 4, -, -, -,  N,-,150,-,-
sctid100656,scil381,S , 1, -, -, -,  N,-,163,-,-
sctid100658,scil382,_ , 2, -, -, -,  N,-,186,-,-
sctid100660,scil383,_ , 2, -, -, -,  N,-,282,-,-
sctid100661,scil384,_ , 1, -, -, -,  N,-,283,-,-
sctid100663,scil385,_ , 3, -, -, -,  N,-,267,-,-
sctid100664,scil386,_ , 3, -, -, -,  N,-,184,-,-
sctid100666,scil387,_ , 2, -, -, -,  N,-,221,-,-
sctid100668,scil388,_ , 4, -, -, -,  N,-,134,-,-
sctid100669,scil389,S , 4, -, -, -,  N,-,220,-,-
sctid10066,scil390,M , 2, -, -, -,  Y,-,1259,-,-
sctid100670,scil391,_ , 1, -, -, -,  N,-,283,-,-
sctid100671,scil392,_ , 1, -, -, -,  N,-,229,-,-
sctid100672,scil393,_ , 3, -, -, -,  N,-,113,-,-
sctid100673,scil394,_ , 2, -, -, -,  N,-,204,-,-
sctid100676,scil395,S , 1, -, -, -,  N,-,171,-,-
sctid100678,scil396,S , 3, -, -, -,  N,-,122,-,-
sctid100679,scil397,_ , 2, -, -, -,  N,-,283,-,-
sctid100681,scil398,M , 1, hsap1936, mmus1045, -,  Y,MRPL10,226,Mrpl10,-
sctid100684,scil399,S , 5, -, -, -,  N,-,101,-,-
sctid100685,scil400,M , 3, -, -, -,  Y,-,126,-,-
sctid100686,scil401,_ , 4, -, -, -,  N,-,218,-,-
sctid100688,scil402,_ , 3, -, -, -,  N,-,146,-,-
sctid100690,scil403,M , 5, -, -, -,  N,-,145,-,-
sctid100691,scil404,_ , 1, -, -, -,  N,-,282,-,-
sctid100695,scil405,_ , 3, -, -, -,  N,-,282,-,-
sctid100696,scil406,_ , 3, -, -, -,  N,-,261,-,-
sctid100697,scil407,_ , 1, -, -, -,  N,-,269,-,-
sctid100698,scil408,_ , 2, -, -, -,  N,-,176,-,-
sctid100699,scil409,_ , 2, -, -, -,  N,-,180,-,-
sctid100700,scil410,_ , 4, -, -, -,  N,-,282,-,-
sctid100701,scil411,_ , 3, -, -, -,  N,-,127,-,-
sctid100702,scil412,S , 1, -, -, -,  N,-,162,-,-
sctid100703,scil413,M , 4, hsap341, mmus41, -,  Y,COX5B,159,Cox5b,-
sctid100706,scil414,_ , 3, -, -, -,  N,-,233,-,-
sctid100707,scil415,S , 1, -, -, -,  N,-,151,-,-
sctid100708,scil416,_ , 4, -, -, -,  N,-,102,-,-
sctid100708,scil417,S , 1, -, -, -,  N,-,165,-,-
sctid100709,scil418,_ , 4, -, -, -,  N,-,102,-,-
sctid100711,scil419,_ , 1, -, -, -,  N,-,141,-,-
sctid100712,scil420,_ , 2, -, -, -,  N,-,223,-,-
