transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
jgi|Triad1|10795|gw1.8.189.1|m.10495 jgi|Triad1|10795|gw1.8.189.1|g.10495  ,tadh19,_,1,-,-,-,N,-,642,-,-
jgi|Triad1|10828|gw1.11.240.1|m.10755 jgi|Triad1|10828|gw1.11.240.1|g.10755  ,tadh20,M,5,-,-,-,N,-,557,-,-
jgi|Triad1|1085|gw1.1.112.1|m.6875 jgi|Triad1|1085|gw1.1.112.1|g.6875  ,tadh21,_,3,-,-,-,N,-,602,-,-
jgi|Triad1|10902|gw1.4.790.1|m.1343 jgi|Triad1|10902|gw1.4.790.1|g.1343  ,tadh22,_,2,-,-,-,N,-,851,-,-
jgi|Triad1|10976|gw1.3.874.1|m.1196 jgi|Triad1|10976|gw1.3.874.1|g.1196  ,tadh23,_,1,-,-,-,N,-,771,-,-
jgi|Triad1|1100|gw1.1.114.1|m.7094 jgi|Triad1|1100|gw1.1.114.1|g.7094  ,tadh24,_,5,-,-,-,N,-,619,-,-
jgi|Triad1|11098|gw1.5.790.1|m.3107 jgi|Triad1|11098|gw1.5.790.1|g.3107  ,tadh25,_,2,-,-,-,N,-,807,-,-
jgi|Triad1|11108|gw1.7.448.1|m.5742 jgi|Triad1|11108|gw1.7.448.1|g.5742  ,tadh26,S,1,-,-,-,N,-,827,-,-
jgi|Triad1|11163|gw1.11.253.1|m.10733 jgi|Triad1|11163|gw1.11.253.1|g.10733  ,tadh27,S,1,-,-,-,N,-,278,-,-
jgi|Triad1|11173|gw1.1.1299.1|m.7671 jgi|Triad1|11173|gw1.1.1299.1|g.7671  ,tadh28,_,5,hsap1040,-,-,Y,RECQL4,725,-,-
jgi|Triad1|11177|gw1.10.257.1|m.11195 jgi|Triad1|11177|gw1.10.257.1|g.11195  ,tadh29,_,1,-,-,-,N,-,774,-,-
jgi|Triad1|11246|gw1.1.1308.1|m.7091 jgi|Triad1|11246|gw1.1.1308.1|g.7091  ,tadh30,S,1,-,-,-,N,-,604,-,-
jgi|Triad1|11272|gw1.5.802.1|m.3032 jgi|Triad1|11272|gw1.5.802.1|g.3032  ,tadh31,_,4,-,-,-,N,-,633,-,-
jgi|Triad1|11306|gw1.1.1323.1|m.6711 jgi|Triad1|11306|gw1.1.1323.1|g.6711  ,tadh32,_,2,-,-,-,N,-,603,-,-
jgi|Triad1|11320|gw1.11.256.1|m.10907 jgi|Triad1|11320|gw1.11.256.1|g.10907  ,tadh33,_,5,-,-,-,N,-,819,-,-
jgi|Triad1|1133|gw1.7.56.1|m.5884 jgi|Triad1|1133|gw1.7.56.1|g.5884  ,tadh34,_,5,-,-,-,N,-,574,-,-
jgi|Triad1|11340|gw1.4.831.1|m.1420 jgi|Triad1|11340|gw1.4.831.1|g.1420  ,tadh35,S,3,-,-,-,N,-,753,-,-
jgi|Triad1|1135|gw1.41.1.1|m.11908 jgi|Triad1|1135|gw1.41.1.1|g.11908  ,tadh36,_,2,-,-,-,N,-,345,-,-
jgi|Triad1|11395|gw1.13.128.1|m.10996 jgi|Triad1|11395|gw1.13.128.1|g.10996  ,tadh37,_,3,-,-,-,N,-,308,-,-
jgi|Triad1|11420|gw1.6.691.1|m.4500 jgi|Triad1|11420|gw1.6.691.1|g.4500  ,tadh38,S,5,-,-,scer171,Y,-,375,-,BAP3
jgi|Triad1|11427|gw1.11.261.1|m.10886 jgi|Triad1|11427|gw1.11.261.1|g.10886  ,tadh39,_,1,-,-,-,N,-,775,-,-
jgi|Triad1|11431|gw1.11.262.1|m.10963 jgi|Triad1|11431|gw1.11.262.1|g.10963  ,tadh40,S,1,-,-,-,N,-,469,-,-
jgi|Triad1|11565|gw1.6.706.1|m.4115 jgi|Triad1|11565|gw1.6.706.1|g.4115  ,tadh41,_,3,-,-,-,N,-,526,-,-
jgi|Triad1|11569|gw1.8.208.1|m.10196 jgi|Triad1|11569|gw1.8.208.1|g.10196  ,tadh42,S,4,-,-,-,N,-,602,-,-
jgi|Triad1|11602|gw1.15.139.1|m.3793 jgi|Triad1|11602|gw1.15.139.1|g.3793  ,tadh43,_,1,-,-,-,N,-,461,-,-
jgi|Triad1|11614|gw1.5.836.1|m.3559 jgi|Triad1|11614|gw1.5.836.1|g.3559  ,tadh44,_,1,-,-,-,N,-,764,-,-
jgi|Triad1|11617|gw1.1.1363.1|m.7096 jgi|Triad1|11617|gw1.1.1363.1|g.7096  ,tadh45,S,2,-,-,-,N,-,620,-,-
jgi|Triad1|11627|gw1.11.275.1|m.10962 jgi|Triad1|11627|gw1.11.275.1|g.10962  ,tadh46,S,4,-,-,-,N,-,493,-,-
jgi|Triad1|11683|gw1.31.59.1|m.3681 jgi|Triad1|11683|gw1.31.59.1|g.3681  ,tadh47,S,2,-,-,-,N,-,620,-,-
jgi|Triad1|1172|gw1.12.48.1|m.2557 jgi|Triad1|1172|gw1.12.48.1|g.2557  ,tadh48,_,1,-,-,-,N,-,570,-,-
jgi|Triad1|11737|gw1.4.865.1|m.1509 jgi|Triad1|11737|gw1.4.865.1|g.1509  ,tadh49,S,1,-,-,-,N,-,502,-,-
jgi|Triad1|11741|gw1.10.279.1|m.11414 jgi|Triad1|11741|gw1.10.279.1|g.11414  ,tadh50,S,2,-,-,-,N,-,479,-,-
jgi|Triad1|1179|gw1.36.15.1|m.11719 jgi|Triad1|1179|gw1.36.15.1|g.11719  ,tadh51,S,1,-,-,-,N,-,611,-,-
jgi|Triad1|11804|gw1.11.285.1|m.10873 jgi|Triad1|11804|gw1.11.285.1|g.10873  ,tadh52,S,1,-,-,-,N,-,589,-,-
jgi|Triad1|11807|gw1.7.512.1|m.5562 jgi|Triad1|11807|gw1.7.512.1|g.5562  ,tadh53,_,2,-,-,-,N,-,365,-,-
jgi|Triad1|11844|gw1.3.985.1|m.82 jgi|Triad1|11844|gw1.3.985.1|g.82  ,tadh54,_,3,-,-,-,N,-,490,-,-
jgi|Triad1|11846|gw1.15.145.1|m.3710 jgi|Triad1|11846|gw1.15.145.1|g.3710  ,tadh55,_,2,-,-,-,N,-,547,-,-
jgi|Triad1|11855|gw1.8.218.1|m.10203 jgi|Triad1|11855|gw1.8.218.1|g.10203  ,tadh56,_,1,-,-,-,N,-,507,-,-
jgi|Triad1|11944|gw1.2.1009.1|m.8763 jgi|Triad1|11944|gw1.2.1009.1|g.8763  ,tadh57,_,3,-,-,-,N,-,201,-,-
jgi|Triad1|11949|gw1.7.521.1|m.5481 jgi|Triad1|11949|gw1.7.521.1|g.5481  ,tadh58,_,1,-,-,-,N,-,616,-,-
jgi|Triad1|12078|gw1.5.879.1|m.2765 jgi|Triad1|12078|gw1.5.879.1|g.2765  ,tadh59,_,1,-,-,-,N,-,440,-,-
jgi|Triad1|1215|gw1.4.99.1|m.1278 jgi|Triad1|1215|gw1.4.99.1|g.1278  ,tadh60,_,4,-,-,-,N,-,543,-,-
jgi|Triad1|12196|gw1.3.1016.1|m.565 jgi|Triad1|12196|gw1.3.1016.1|g.565  ,tadh61,_,2,-,-,-,N,-,485,-,-
jgi|Triad1|12205|gw1.3.1017.1|m.750 jgi|Triad1|12205|gw1.3.1017.1|g.750  ,tadh62,_,2,-,-,-,N,-,599,-,-
jgi|Triad1|12208|gw1.3.1018.1|m.876 jgi|Triad1|12208|gw1.3.1018.1|g.876  ,tadh63,_,1,-,-,-,N,-,295,-,-
jgi|Triad1|12344|gw1.8.232.1|m.10472 jgi|Triad1|12344|gw1.8.232.1|g.10472  ,tadh64,_,1,-,-,-,N,-,372,-,-
jgi|Triad1|1234|gw1.12.50.1|m.2596 jgi|Triad1|1234|gw1.12.50.1|g.2596  ,tadh65,_,3,-,-,-,N,-,587,-,-
jgi|Triad1|12445|gw1.3.1044.1|m.183 jgi|Triad1|12445|gw1.3.1044.1|g.183  ,tadh66,_,1,-,-,-,N,-,451,-,-
jgi|Triad1|12520|gw1.1.1487.1|m.7456 jgi|Triad1|12520|gw1.1.1487.1|g.7456  ,tadh67,_,3,-,-,scer430,Y,-,595,-,ZUO1
jgi|Triad1|12560|gw1.5.918.1|m.3226 jgi|Triad1|12560|gw1.5.918.1|g.3226  ,tadh68,_,2,-,-,-,N,-,358,-,-
jgi|Triad1|12575|gw1.2.1078.1|m.8229 jgi|Triad1|12575|gw1.2.1078.1|g.8229  ,tadh69,_,4,-,-,-,N,-,475,-,-
jgi|Triad1|12692|gw1.2.1088.1|m.8304 jgi|Triad1|12692|gw1.2.1088.1|g.8304  ,tadh70,_,1,-,-,-,N,-,483,-,-
jgi|Triad1|12696|gw1.11.305.1|m.10858 jgi|Triad1|12696|gw1.11.305.1|g.10858  ,tadh71,S,1,-,-,-,N,-,586,-,-
jgi|Triad1|12709|gw1.2.1090.1|m.8172 jgi|Triad1|12709|gw1.2.1090.1|g.8172  ,tadh72,S,1,-,-,-,N,-,450,-,-
jgi|Triad1|12737|gw1.5.943.1|m.3616 jgi|Triad1|12737|gw1.5.943.1|g.3616  ,tadh73,_,2,-,-,-,N,-,408,-,-
jgi|Triad1|12811|gw1.1.1522.1|m.6444 jgi|Triad1|12811|gw1.1.1522.1|g.6444  ,tadh74,_,1,-,-,-,N,-,406,-,-
jgi|Triad1|12816|gw1.12.257.1|m.2600 jgi|Triad1|12816|gw1.12.257.1|g.2600  ,tadh75,_,5,-,-,-,N,-,565,-,-
jgi|Triad1|1282|gw1.1.141.1|m.6388 jgi|Triad1|1282|gw1.1.141.1|g.6388  ,tadh76,_,1,-,-,-,N,-,619,-,-
jgi|Triad1|12911|gw1.4.963.1|m.1277 jgi|Triad1|12911|gw1.4.963.1|g.1277  ,tadh77,_,2,hsap1717,mmus799,-,Y,LACTB,418,Lactb,-
jgi|Triad1|12963|gw1.1.1551.1|m.6572 jgi|Triad1|12963|gw1.1.1551.1|g.6572  ,tadh78,_,4,-,-,-,N,-,307,-,-
jgi|Triad1|12969|gw1.5.966.1|m.3425 jgi|Triad1|12969|gw1.5.966.1|g.3425  ,tadh79,_,2,-,-,-,N,-,420,-,-
jgi|Triad1|13000|gw1.1.1560.1|m.7560 jgi|Triad1|13000|gw1.1.1560.1|g.7560  ,tadh80,_,2,-,-,-,N,-,344,-,-
jgi|Triad1|13008|gw1.5.971.1|m.3442 jgi|Triad1|13008|gw1.5.971.1|g.3442  ,tadh81,_,3,-,mmus813,-,Y,-,461,Ppm1m,-
jgi|Triad1|13058|gw1.4.977.1|m.1617 jgi|Triad1|13058|gw1.4.977.1|g.1617  ,tadh82,_,3,-,-,-,N,-,376,-,-
jgi|Triad1|1306|gw1.24.19.1|m.10152 jgi|Triad1|1306|gw1.24.19.1|g.10152  ,tadh83,_,3,-,-,-,N,-,277,-,-
jgi|Triad1|13081|gw1.7.611.1|m.5916 jgi|Triad1|13081|gw1.7.611.1|g.5916  ,tadh84,_,3,-,-,-,N,-,402,-,-
jgi|Triad1|13097|gw1.11.316.1|m.10777 jgi|Triad1|13097|gw1.11.316.1|g.10777  ,tadh85,_,1,-,-,-,N,-,460,-,-
jgi|Triad1|1311|gw1.24.20.1|m.10151 jgi|Triad1|1311|gw1.24.20.1|g.10151  ,tadh86,_,2,-,-,-,N,-,268,-,-
jgi|Triad1|13142|gw1.11.318.1|m.10961 jgi|Triad1|13142|gw1.11.318.1|g.10961  ,tadh87,M,5,-,-,-,N,-,339,-,-
jgi|Triad1|13161|gw1.9.354.1|m.5163 jgi|Triad1|13161|gw1.9.354.1|g.5163  ,tadh88,_,1,-,-,-,N,-,296,-,-
jgi|Triad1|13187|gw1.1.1589.1|m.6679 jgi|Triad1|13187|gw1.1.1589.1|g.6679  ,tadh89,_,1,-,-,-,N,-,364,-,-
jgi|Triad1|13189|gw1.1.1590.1|m.7877 jgi|Triad1|13189|gw1.1.1590.1|g.7877  ,tadh90,_,5,-,-,-,N,-,535,-,-
jgi|Triad1|13231|gw1.3.1132.1|m.843 jgi|Triad1|13231|gw1.3.1132.1|g.843  ,tadh91,_,1,-,-,-,N,-,348,-,-
jgi|Triad1|13274|gw1.5.1008.1|m.3043 jgi|Triad1|13274|gw1.5.1008.1|g.3043  ,tadh92,_,3,-,-,-,N,-,352,-,-
jgi|Triad1|13325|gw1.5.1020.1|m.2824 jgi|Triad1|13325|gw1.5.1020.1|g.2824  ,tadh93,_,2,-,-,-,N,-,474,-,-
jgi|Triad1|13360|gw1.3.1149.1|m.792 jgi|Triad1|13360|gw1.3.1149.1|g.792  ,tadh94,_,3,-,-,-,N,-,372,-,-
jgi|Triad1|13382|gw1.11.325.1|m.10887 jgi|Triad1|13382|gw1.11.325.1|g.10887  ,tadh95,_,2,-,-,-,N,-,338,-,-
jgi|Triad1|13389|gw1.2.1146.1|m.8063 jgi|Triad1|13389|gw1.2.1146.1|g.8063  ,tadh96,S,1,-,-,-,N,-,460,-,-
jgi|Triad1|13425|gw1.1.1634.1|m.6668 jgi|Triad1|13425|gw1.1.1634.1|g.6668  ,tadh97,_,4,-,-,-,N,-,337,-,-
jgi|Triad1|1344|gw1.3.140.1|m.390 jgi|Triad1|1344|gw1.3.140.1|g.390  ,tadh98,S,5,-,-,-,N,-,405,-,-
jgi|Triad1|13451|gw1.6.869.1|m.4748 jgi|Triad1|13451|gw1.6.869.1|g.4748  ,tadh99,_,2,-,-,-,N,-,451,-,-
jgi|Triad1|13460|gw1.30.49.1|m.11808 jgi|Triad1|13460|gw1.30.49.1|g.11808  ,tadh100,_,1,-,-,-,N,-,305,-,-
jgi|Triad1|13664|gw1.5.1054.1|m.2798 jgi|Triad1|13664|gw1.5.1054.1|g.2798  ,tadh101,S,5,-,-,-,N,-,475,-,-
jgi|Triad1|13672|gw1.3.1180.1|m.414 jgi|Triad1|13672|gw1.3.1180.1|g.414  ,tadh102,_,3,-,-,-,N,-,461,-,-
jgi|Triad1|13686|gw1.2.1183.1|m.8272 jgi|Triad1|13686|gw1.2.1183.1|g.8272  ,tadh103,_,2,-,-,-,N,-,444,-,-
jgi|Triad1|13732|gw1.4.1035.1|m.1252 jgi|Triad1|13732|gw1.4.1035.1|g.1252  ,tadh104,_,2,-,-,-,N,-,470,-,-
jgi|Triad1|13757|gw1.13.169.1|m.11120 jgi|Triad1|13757|gw1.13.169.1|g.11120  ,tadh105,_,1,-,-,-,N,-,199,-,-
jgi|Triad1|1375|gw1.22.31.1|m.10731 jgi|Triad1|1375|gw1.22.31.1|g.10731  ,tadh106,_,2,-,-,-,N,-,382,-,-
jgi|Triad1|13778|gw1.17.200.1|m.6162 jgi|Triad1|13778|gw1.17.200.1|g.6162  ,tadh107,_,1,-,-,-,N,-,197,-,-
jgi|Triad1|13796|gw1.3.1193.1|m.1075 jgi|Triad1|13796|gw1.3.1193.1|g.1075  ,tadh108,_,2,-,-,-,N,-,213,-,-
jgi|Triad1|13829|gw1.11.347.1|m.10900 jgi|Triad1|13829|gw1.11.347.1|g.10900  ,tadh109,_,2,-,-,-,N,-,415,-,-
jgi|Triad1|13868|gw1.4.1045.1|m.1645 jgi|Triad1|13868|gw1.4.1045.1|g.1645  ,tadh110,_,1,-,-,-,N,-,302,-,-
jgi|Triad1|13887|gw1.5.1083.1|m.2864 jgi|Triad1|13887|gw1.5.1083.1|g.2864  ,tadh111,_,3,-,-,-,N,-,436,-,-
jgi|Triad1|13890|gw1.5.1084.1|m.3372 jgi|Triad1|13890|gw1.5.1084.1|g.3372  ,tadh112,_,1,-,-,-,N,-,378,-,-
jgi|Triad1|13916|gw1.33.89.1|m.11694 jgi|Triad1|13916|gw1.33.89.1|g.11694  ,tadh113,_,2,hsap1954,mmus1039,-,Y,RSAD1,343,Rsad1,-
jgi|Triad1|14010|gw1.10.376.1|m.11325 jgi|Triad1|14010|gw1.10.376.1|g.11325  ,tadh114,_,4,-,-,-,N,-,436,-,-
jgi|Triad1|14211|gw1.3.1240.1|m.659 jgi|Triad1|14211|gw1.3.1240.1|g.659  ,tadh115,_,1,-,-,-,N,-,370,-,-
jgi|Triad1|14248|gw1.40.97.1|m.9624 jgi|Triad1|14248|gw1.40.97.1|g.9624  ,tadh116,_,5,-,-,-,N,-,203,-,-
jgi|Triad1|14293|gw1.5.1134.1|m.3063 jgi|Triad1|14293|gw1.5.1134.1|g.3063  ,tadh117,_,2,-,-,-,N,-,330,-,-
jgi|Triad1|14382|gw1.4.1095.1|m.1445 jgi|Triad1|14382|gw1.4.1095.1|g.1445  ,tadh118,S,5,-,-,-,N,-,385,-,-
jgi|Triad1|14401|gw1.10.389.1|m.11407 jgi|Triad1|14401|gw1.10.389.1|g.11407  ,tadh119,S,1,-,-,-,N,-,303,-,-
jgi|Triad1|14428|gw1.1.1789.1|m.6981 jgi|Triad1|14428|gw1.1.1789.1|g.6981  ,tadh120,_,1,-,-,-,N,-,301,-,-
jgi|Triad1|14457|gw1.7.694.1|m.5629 jgi|Triad1|14457|gw1.7.694.1|g.5629  ,tadh121,_,3,-,-,-,N,-,341,-,-
jgi|Triad1|14507|gw1.19.163.1|m.9301 jgi|Triad1|14507|gw1.19.163.1|g.9301  ,tadh122,_,2,-,-,scer597,Y,-,394,-,TFA1
jgi|Triad1|14559|gw1.13.189.1|m.11167 jgi|Triad1|14559|gw1.13.189.1|g.11167  ,tadh123,S,2,-,-,-,N,-,293,-,-
jgi|Triad1|14565|gw1.5.1166.1|m.2874 jgi|Triad1|14565|gw1.5.1166.1|g.2874  ,tadh124,_,4,-,-,-,N,-,332,-,-
jgi|Triad1|14573|gw1.1.1811.1|m.7711 jgi|Triad1|14573|gw1.1.1811.1|g.7711  ,tadh125,_,2,-,-,-,N,-,217,-,-
jgi|Triad1|14574|gw1.1.1812.1|m.6358 jgi|Triad1|14574|gw1.1.1812.1|g.6358  ,tadh126,_,1,hsap129,mmus343,-,Y,MRPL37,278,Mrpl37,-
jgi|Triad1|14615|gw1.2.1271.1|m.8589 jgi|Triad1|14615|gw1.2.1271.1|g.8589  ,tadh127,S,1,-,-,-,N,-,290,-,-
jgi|Triad1|14661|gw1.19.165.1|m.9287 jgi|Triad1|14661|gw1.19.165.1|g.9287  ,tadh128,_,1,-,-,-,N,-,290,-,-
jgi|Triad1|14672|gw1.6.968.1|m.4641 jgi|Triad1|14672|gw1.6.968.1|g.4641  ,tadh129,_,4,-,-,-,N,-,257,-,-
jgi|Triad1|14770|gw1.4.1136.1|m.2202 jgi|Triad1|14770|gw1.4.1136.1|g.2202  ,tadh130,S,1,-,-,-,N,-,282,-,-
jgi|Triad1|14780|gw1.8.311.1|m.10418 jgi|Triad1|14780|gw1.8.311.1|g.10418  ,tadh131,_,2,-,-,-,N,-,138,-,-
jgi|Triad1|14791|gw1.4.1141.1|m.1206 jgi|Triad1|14791|gw1.4.1141.1|g.1206  ,tadh132,_,1,-,-,-,N,-,238,-,-
jgi|Triad1|14802|gw1.7.710.1|m.5821 jgi|Triad1|14802|gw1.7.710.1|g.5821  ,tadh133,_,2,-,-,-,N,-,262,-,-
jgi|Triad1|14805|gw1.1.1843.1|m.7268 jgi|Triad1|14805|gw1.1.1843.1|g.7268  ,tadh134,_,4,-,-,-,N,-,286,-,-
jgi|Triad1|14836|gw1.2.1291.1|m.8573 jgi|Triad1|14836|gw1.2.1291.1|g.8573  ,tadh135,_,1,-,-,-,N,-,215,-,-
jgi|Triad1|14880|gw1.3.1311.1|m.605 jgi|Triad1|14880|gw1.3.1311.1|g.605  ,tadh136,_,2,-,-,-,N,-,311,-,-
jgi|Triad1|14897|gw1.2.1296.1|m.8569 jgi|Triad1|14897|gw1.2.1296.1|g.8569  ,tadh137,_,2,-,-,-,N,-,238,-,-
jgi|Triad1|14905|gw1.11.372.1|m.10766 jgi|Triad1|14905|gw1.11.372.1|g.10766  ,tadh138,_,2,-,-,-,N,-,293,-,-
jgi|Triad1|14906|gw1.6.989.1|m.4280 jgi|Triad1|14906|gw1.6.989.1|g.4280  ,tadh139,_,5,-,-,-,N,-,267,-,-
jgi|Triad1|14952|gw1.5.1217.1|m.3077 jgi|Triad1|14952|gw1.5.1217.1|g.3077  ,tadh140,S,1,-,-,-,N,-,293,-,-
jgi|Triad1|14966|gw1.11.375.1|m.10891 jgi|Triad1|14966|gw1.11.375.1|g.10891  ,tadh141,_,3,-,-,-,N,-,338,-,-
jgi|Triad1|14979|gw1.2.1303.1|m.8196 jgi|Triad1|14979|gw1.2.1303.1|g.8196  ,tadh142,_,4,-,-,-,N,-,311,-,-
jgi|Triad1|15005|gw1.5.1221.1|m.2747 jgi|Triad1|15005|gw1.5.1221.1|g.2747  ,tadh143,_,4,-,-,-,N,-,240,-,-
jgi|Triad1|15044|gw1.3.1327.1|m.115 jgi|Triad1|15044|gw1.3.1327.1|g.115  ,tadh144,_,5,hsap2200,mmus1356,-,Y,DNAJC28,303,Dnajc28,-
jgi|Triad1|15077|gw1.1.1891.1|m.7123 jgi|Triad1|15077|gw1.1.1891.1|g.7123  ,tadh145,S,1,-,-,-,N,-,280,-,-
jgi|Triad1|15129|gw1.8.318.1|m.10323 jgi|Triad1|15129|gw1.8.318.1|g.10323  ,tadh146,S,2,-,-,-,N,-,291,-,-
jgi|Triad1|15161|gw1.6.1019.1|m.4710 jgi|Triad1|15161|gw1.6.1019.1|g.4710  ,tadh147,_,1,-,-,-,N,-,218,-,-
jgi|Triad1|15193|gw1.1.1908.1|m.7287 jgi|Triad1|15193|gw1.1.1908.1|g.7287  ,tadh148,_,1,-,-,-,N,-,335,-,-
jgi|Triad1|15221|gw1.3.1345.1|m.9 jgi|Triad1|15221|gw1.3.1345.1|g.9  ,tadh149,_,4,-,-,-,N,-,225,-,-
jgi|Triad1|15248|gw1.4.1180.1|m.2180 jgi|Triad1|15248|gw1.4.1180.1|g.2180  ,tadh150,_,2,-,-,scer581,Y,-,266,-,AIM25
jgi|Triad1|15287|gw1.10.411.1|m.11357 jgi|Triad1|15287|gw1.10.411.1|g.11357  ,tadh151,_,2,-,-,-,N,-,256,-,-
jgi|Triad1|15307|gw1.13.203.1|m.11048 jgi|Triad1|15307|gw1.13.203.1|g.11048  ,tadh152,_,1,-,-,-,N,-,143,-,-
jgi|Triad1|15334|gw1.5.1246.1|m.3279 jgi|Triad1|15334|gw1.5.1246.1|g.3279  ,tadh153,S,4,-,-,-,N,-,305,-,-
jgi|Triad1|1535|gw1.7.76.1|m.5589 jgi|Triad1|1535|gw1.7.76.1|g.5589  ,tadh154,_,2,-,-,-,N,-,364,-,-
jgi|Triad1|15365|gw1.3.1354.1|m.933 jgi|Triad1|15365|gw1.3.1354.1|g.933  ,tadh155,_,3,-,-,-,N,-,287,-,-
jgi|Triad1|15366|gw1.4.1195.1|m.2219 jgi|Triad1|15366|gw1.4.1195.1|g.2219  ,tadh156,S,1,-,-,-,N,-,279,-,-
jgi|Triad1|15389|gw1.3.1356.1|m.984 jgi|Triad1|15389|gw1.3.1356.1|g.984  ,tadh157,S,1,-,-,-,N,-,278,-,-
jgi|Triad1|15433|gw1.3.1361.1|m.3 jgi|Triad1|15433|gw1.3.1361.1|g.3  ,tadh158,S,4,-,-,-,N,-,223,-,-
jgi|Triad1|15459|gw1.10.419.1|m.11212 jgi|Triad1|15459|gw1.10.419.1|g.11212  ,tadh159,S,2,-,-,-,N,-,287,-,-
jgi|Triad1|15472|gw1.4.1217.1|m.2233 jgi|Triad1|15472|gw1.4.1217.1|g.2233  ,tadh160,S,1,-,-,-,N,-,291,-,-
jgi|Triad1|15474|gw1.6.1044.1|m.4056 jgi|Triad1|15474|gw1.6.1044.1|g.4056  ,tadh161,_,4,-,-,-,N,-,310,-,-
jgi|Triad1|15482|gw1.3.1365.1|m.215 jgi|Triad1|15482|gw1.3.1365.1|g.215  ,tadh162,_,2,-,-,-,N,-,239,-,-
jgi|Triad1|15553|gw1.8.325.1|m.10445 jgi|Triad1|15553|gw1.8.325.1|g.10445  ,tadh163,S,1,-,-,-,N,-,280,-,-
jgi|Triad1|15610|gw1.5.1268.1|m.3227 jgi|Triad1|15610|gw1.5.1268.1|g.3227  ,tadh164,S,4,-,-,-,N,-,274,-,-
jgi|Triad1|15639|gw1.18.213.1|m.9208 jgi|Triad1|15639|gw1.18.213.1|g.9208  ,tadh165,S,5,-,-,-,N,-,268,-,-
jgi|Triad1|15646|gw1.2.1366.1|m.9081 jgi|Triad1|15646|gw1.2.1366.1|g.9081  ,tadh166,S,2,-,-,-,N,-,268,-,-
jgi|Triad1|15663|gw1.6.1059.1|m.4103 jgi|Triad1|15663|gw1.6.1059.1|g.4103  ,tadh167,_,2,-,-,-,N,-,264,-,-
